repository_id,sub_project,project,number_resources,sla_ord_distribution
160,Guitar - An Tuệ,Guitar Original,20,156.6000000000000000
385,Indie Pop - 2 - Red One,Indie Pop - 2,30,138.5000000000000000
954343caed6de11d5eea3cd868102c34,Không có dự án con,Jazz,12,26.0000000000000000
481,Jazz - 2 - Red One,Jazz,30,48.0000000000000000
480,Jazz - 2 - FM,Jazz,81,9.6774193548387097
446,Jazz - 2 - FM,Jazz,35,29.0000000000000000
445,Jazz - 2 - FM,Jazz,21,29.0000000000000000
444,Jazz - 2 - FM,Jazz,75,29.0000000000000000
430,Jazz - An Tuệ,Jazz,11,105.5000000000000000
420,Jazz - FM,Jazz,12,88.0895522388059701
419,Jazz - FM,Jazz,12,100.6000000000000000
417,Jazz - FM,Jazz,12,96.0714285714285714
384,Jazz - Red One,Jazz,15,173.6000000000000000
99,Kid Song Cover,Kids,23,128.4597701149425287
98,Kid Song Cover,Kids,6,216.6333333333333333
100,Kid Song Original có lời,Kids,17,201.3294117647058824
416,Lofi - 2 - An Tuệ,Lofi,40,60.0000000000000000
366,Lofi - 2 - An Tuệ,Lofi,50,140.6000000000000000
162,Lofi - An Tuệ,Lofi,6,140.0769230769230769
161,Lofi - An Tuệ,Lofi,9,144.6666666666666667
147,Lofi - Red One,Lofi,2,179.0000000000000000
463,Phúc Âm (có lời) Cover - 2 - An Tuệ,Phúc Âm (có lời),34,30.1111111111111111
365,Phúc Âm (có lời) - 2 - An Tuệ,Phúc Âm (có lời),111,104.0664335664335664
360,Piano Cover - 1 - 2,Piano Cover - 0,37,268.0000000000000000
408,R&B - 2 - Red One,R&B,113,112.5000000000000000
b67111b99e30a1e85832e62e7160282c,Không có dự án con,Relax,2,111.5000000000000000
475,Piano - Label,Relax,20,42.1000000000000000
466,Piano - An Tuệ,Relax,2,87.5000000000000000
431,Piano - An Tuệ,Relax,5,136.3333333333333333
423,Piano - Red One,Relax,10,83.8333333333333333
421,Piano - Red One,Relax,30,70.4017857142857143
396,Piano - An Tuệ,Relax,83,127.5614754098360656
205,Piano - Red One,Relax,35,178.0978260869565217
167,Piano - An Tuệ,Relax,14,239.8888888888888889
166,Piano - An Tuệ,Relax,42,223.2857142857142857
457,Sóng âm - An Tuệ,Sóng âm,30,74.4782608695652174
378,Sóng âm - An Tuệ,Sóng âm,33,124.0724637681159420
374,Sóng âm - Red One,Sóng âm,10,119.1794871794871795
172,Sóng âm - An Tuệ,Sóng âm,20,122.5833333333333333
171,Sóng âm - An Tuệ,Sóng âm,22,74.4878048780487805
152,Sóng âm - Red One,Sóng âm,26,121.8620689655172414
473,Downtempo - 2 - Red One,Downtempo,20,63.3333333333333333
369,Downtempo - Red One,Downtempo,8,155.0000000000000000
145,Downtempo - Red One,Downtempo,6,117.1000000000000000
451,Jazz House - 2 - Label,Jazz House,47,69.6545454545454545
449,Jazz House - Label,Jazz House,9,91.2727272727272727
433,Jazz House - 2 - Label,Jazz House,10,88.3333333333333333
412,Jazz House - Label,Jazz House,10,139.0000000000000000
410,Jazz House - 2 - Label,Jazz House,10,124.6521739130434783
403,Jazz House - Label,Jazz House,20,120.9473684210526316
381,Jazz House - 2 - An Tuệ,Jazz House,30,31.6666666666666667
207,Jazz House - Label,Jazz House,12,198.5806451612903226
361,Indie/folk - 2 - Red One,Indie/Folk,99,121.9296482412060302
367,Chillout - 2 - An Tuệ,Chillout,208,85.5854430379746835
e92a108e25961666639b9ab5337a88ff,Không có dự án con,Om Healing,10,56.6666666666666667
407,Om Healing - Label,Om Healing,10,127.5714285714285714
406,Om Healing - Label,Om Healing,10,117.0000000000000000
405,Om Healing - Label,Om Healing,10,142.3333333333333333
404,Om Healing - Label,Om Healing,10,126.7500000000000000
370,Om Healing - Label,Om Healing,60,128.5000000000000000
387,Deep Chill House - 2 - An Tuệ,Deep Chill House,27,
390,Deep Chill House - 2 - Red One,Deep Chill House,100,108.6071428571428571
379,Nhạc Trung - 2 - Red One,Nhạc Pop Trung Quốc,50,77.5723270440251572
434,French Instrumental - 2 - Red One,French Instrumental,50,71.4827586206896552
7d8718eb848bcb92ee8c1593a280bd2a,Không có dự án con,Sáo Nam Mỹ,1,103.0000000000000000
458,Sáo Nam Mỹ - Red One,Sáo Nam Mỹ,20,59.2253521126760563
436,Sáo Nam Mỹ - 2 - Red One,Sáo Nam Mỹ,20,88.1250000000000000
465,Neo Classical - Label,Neo Classical,5,85.0000000000000000
462,Neo Classical - An Tuệ,Neo Classical,10,112.0000000000000000
447,Neo Classical - 2 - Label,Neo Classical,20,95.2187500000000000
486,Baladas Romantic Cover - 1 - 2,Latin Cover - 1,44,19.7500000000000000
485,Piano Cover - 1 - 2 - Red One,Piano Cover - 1,50,16.4000000000000000
491,Rock Cover - 1 - 2 - An Tuệ,Rock Ballad Cover - 1,50,24.5806451612903226
488,Saxophone Cover - 1 - 2 - Red One,Saxophone Cover - 1,20,18.0000000000000000
484,Saxophone Cover - 1 - 2 - Red One,Saxophone Cover - 1,50,18.5714285714285714
490,Indie Folk Cover - 1 - 2 - An Tuệ,Indie Folk Cover - 1,25,21.6666666666666667
489,Pop Cover - 1 - 2 - Red One,Pop Cover - 1,20,12.0000000000000000
495,Reggae Cover - 1 - 2 - An Tuệ,Reggae Cover - 1,33,22.6666666666666667
496,Afro Cover - 1 - 2 - An Tuệ,Afro Cover - 1,22,29.8333333333333333
380,Cinematic - 2 - An Tuệ,Cinematic,70,40.5925925925925926
da9b8a27125758893affbbe495e6d583,Classical - 2 - Red One,Classical,6,35.2142857142857143
504,Classical - 2 - Red One,Classical,20,18.0000000000000000
471,Classical - Red One,Classical,30,47.5714285714285714
470,Classical - Red One,Classical,30,50.4555555555555556
469,Classical - 2 - Red One,Classical,12,64.6666666666666667
468,Classical - 2 - Red One,Classical,27,45.8333333333333333
467,Classical - 2 - Red One,Classical,10,50.5000000000000000
459,Classical - 2 - Red One,Classical,41,45.6504424778761062
363,Symphony Orchestra - 2 - Red One,Classical,26,86.9051724137931034
19ce854745dfabefc4ec4044d6bd52f7,Không có dự án con,Classical,11,36.2307692307692308
138,Classical - Red One,Classical,52,114.5000000000000000
ece6ae9e201ccb06233fadbb49a5d3a2,Không có dự án con,Relax - Sóng âm,2,68.0000000000000000
402,Dark Ambience - 2 - An Tuệ,Dark Ambience,40,51.0000000000000000
dc969b0f00ad84ab4da2e9c153a25fcf,Deep House - 2 - MKT1,Deep House,4,
87d8acde97c70ede8a13e5ab27925698,Không có dự án con,Deep House,8,
478,Deep House - 2 - Red One,Deep House,50,54.6666666666666667
474,Deep House - 2 - An Tuệ,Deep House,40,25.0000000000000000
472,Deep House - 2 - Red One,Deep House,50,39.2972972972972973
437,Deep House - 2 - Red One,Deep House,25,88.8805970149253731
432,Deep House - 2 - An Tuệ,Deep House,30,83.5000000000000000
422,Deep House - 2 - Red One,Deep House,192,75.2826603325415677
340,Deep House - 2 - An Tuệ,Deep House,394,90.3288288288288288
339,Deep House - 2 - An Tuệ,Deep House,403,99.6285714285714286
338,Deep House - 2 - An Tuệ,Deep House,239,89.5965909090909091
337,Deep House - 2 - Red One,Deep House,311,
281,Deep House - Red One,Deep House,4,179.0000000000000000
156,Deep House - An Tuệ,Deep House,6,123.3333333333333333
155,Deep House - An Tuệ,Deep House,13,125.6750000000000000
494,Deep House Cover - 1 - 2 - An Tuệ,Deep House Cover - 1,56,20.2695652173913043
487,Deep House Cover - 1 - 2 - Red One,Deep House Cover - 1,29,11.6619718309859155
