mart_repository_resource_performance_sk,project_id,project,sub_project_id,sub_project,repository_id,repository,number_resources,used_resources,revenue,standard_cost,purchase_cost,total_cost,acceptance_score,total_resource_usage_published,usage_position_1,usage_position_2_3,usage_position_4_5,usage_position_gt_5,usage_position_1_pct,usage_position_2_3_pct,usage_position_4_5_pct,usage_position_gt_5_pct
1110197f1648ae800ca09412d7e7c6c0,126,Pop Cover - 0,667,Pop - 2 - FM,000ac09a8b61fd5647da565e83c69a90,Không có kho,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
f622485a70e302e6fc7c99a55d5c7038,97,Deep House Cover - 0,371,Deep House Cover - 0 - FM,001f481a6759f82ffa9a25984c172c13,Không có kho,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
5e10cc52f6d3f4d2e40c020bc091b2d3,ea852e9e51de51354925b7a5177a4f2d,Deep House Cover (Chillout) - 1 - FMG,862af18f740fe5d5be97614d20420d6a,Deep House Cover (Chillout) - 1 - FMG | Chillout,0057ee56f3834b16b156a12b9c2c8589,Không có kho,4,0,0,910.00,0,910.00,8.5250000000000000,0,0,0,0,0,0,0,0,0
be9fea76f09c302b94e4bd89902119dd,8e87abbaa7e70dbd53470200ebbc6e9b,Cinematic - MKT2,a80a4d430b1ecff725ae73a3a5d4bb19,Cinematic - MKT2 | Phiêu lưu,0100130ba21e46b90eb90da474ff1d3a,Không có kho,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
66f2a64f1a9765b4659c853e551e8801,58c206ed536c406844931eac8cfd143d,House bật CID,b0247ba319755f6a3e3aaa2a9deb248d,Không có dự án con,01018b41a94bf37fb6bd1b6060c08f39,Không có kho,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
5886527211aac7010f55f06ef1c5ac59,99,Deep House Cover (Chillout) - 0,369,Deep House Cover (Chillout) - 0 - FM,012a32081afc7e0e489363867cd0ae5f,Không có kho,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
e12c81f889abfb79f8eea7fb8c51b487,112,Jazz,718,Jazz - 2 - FM,01d4cbc2034acc3e997a133e5409033a,Không có kho,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
94e106a00973573a189ec081435c8dac,132,Sóng âm,41d40978ddd8f83daf9bec2502f9128e,SÓNG ÂM MUA KHÔNG ĐỘC QUYỀN Tài nguyên công ty,02b58afcb940ef100f3618b2bb371362,Không có kho,1,1,0,0,0,0,,1,0,0,0,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1.00000000000000000000
dd20dc22f55d289c9aeff0ced98df724,130,Relax,096abb0ccd7ea756dbb01a39409c46b4,Không có dự án con,02bd9359f3e6b88264d2f4af7aff2834,Audiojungle - MKT1 - Kid Ngủ Tài nguyên công ty,3,1,0,0,0,0,,1,0,0,1,0,0.00000000000000000000,0.00000000000000000000,1.00000000000000000000,0.00000000000000000000
3889d89222afe4d974088a7024ce12e3,98,Deep House Cover - 1,771,Deep House Cover - 1 - 2 - An Tuệ,02bea180ee8d0a9bb9a6e336303ee532,Không có kho,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
