mart_resource_usage_sk,resource_id,resource_name,stock_name,isrc,resource_origin,source,repository,repository_id,sub_project_name,sub_project_id,project,project_id,stock_status,stock_stored_date,resource_age_days,distribution_team,last_distribution_date,ar_name,seo_employee_id,seo_name,used_video_count,last_used_published_date,days_since_last_usage,inventory_unused_days
09bf786af45c3f547ed6dc5ffa65cb2f,HGFA000130EFEE054B2897CF572350E9F433,Madara,Madara_HGFA000130EFEE054B2897CF572350E9F433.wav,,purchased,,Street Phonk' Records,10aa08b8be49bda02c0567c12d4470f9,Không có dự án con,b9aa1c50b3b80df8ff8cfff1b52e3a60,Phonk,122,Tồn kho,2022-12-05,1361,"VH Core Youtube, MKT2 - Team anh Tài, Phòng Sáng Tạo, Runway gen 3 MKT2, Quản lý MKT3, Quản lý An Tuệ",2025-07-30,,,,0,,,1361
09a3fee00e09042d46c811276dd8b74b,HGFA00017A1B32C04566963EB7BE0B54D26E,,Never-Let-Me-Go-(Official-Video)-｜-#FutureHouse_HGFA72A2164D9A524010990686F97B5CED3F.wav,,,,,,,,,,Tồn kho,2024-08-09,748,,,,,,0,,,748
945bd4f3017d1a89dc0e0a490bbcad62,HGFA000277727543400DB72A67D5F7515660,,Poking-Around_HGFA76F59995CAF74FC5B6E4ACAD4C974CD3.wav,,,,,,,,,,Tồn kho,2024-08-09,748,,,,,,0,,,748
fb701b1458e5f08eb60eac210e4b9777,HGFA0002AE56B48F4E288E4D99D9102BBA08,,Nando Fortunato - Falling.mp3,,,,,,,,,,Tồn kho,2025-12-03,267,,,,,,0,,,267
fedee5a27ec9bab04be40872a27c8d7a,HGFA00030CF43E00444993A231056E4129FB,,Heavenly Peace.wav,,,,,,,,,,Tồn kho,2024-09-18,708,,,,,,0,,,708
be30b23ac1c2ae45d04bd0a1fbc879e9,HGFA0003E36DDC8C4AABB290C3ADADC7BE1F,,MoonWater-23_HGFAF74956C2E4E9470280FCEC1EA539D0D4.wav,,,,,,,,,,Tồn kho,2024-11-22,643,,,,,,0,,,643
c7a7c6c7066142f0fed776b8295a75e4,HGFA000490721CBD4DC8A84FEE21070A9A28,,Handel Society Choir - Acis & Galatea - Part II - 16. Helpgalatea.wav,,,,,,,,,,Tồn kho,2026-05-26,93,,,,,,0,,,93
34fb2f7cd20b863c66c2bad205b54d0b,HGFA00049640E2994465932BB5425D279854,,"Organ Sonata no. 5 in C major, BWV 529 (Lute and Harpsichord).wav",,,,,,,,,,Tồn kho,2026-05-26,93,,,,,,0,,,93
cefaf51463620b528b80b5575a28dbc0,HGFA00053D2CA36A4CB4BFA9B65777EF74FA,,MoonWater-25---Relaxed-Reflections_HGFA2FD64B59F3554D6DA1144320E492B40C.wav,,,,,,,,,,Tồn kho,2024-11-23,642,,,,,,0,,,642
0f3fe9eaa0fe72224ac3559b231d0a11,HGFA00059BFED58A4081804D769C0D6CAF9E,,Tell-Me-(Official-Audio)_HGFACD5B1595C5C64FC08A40AAD09A37E962.wav,,,,,,,,,,Tồn kho,2024-08-09,748,,,,,,0,,,748
79499c70b8e8b9a2ba9b01af9da36010,HGFA0005F36F655B40C6BCCE7E0C6BDC9BE7,Into The Blue,Into-The-Blue_HGFA0005F36F655B40C6BCCE7E0C6BDC9BE7.mp3,,purchased,,Deep Disco,3fadca28270ea5c05545c736c988c2d8,Không có dự án con,b03bbf0c6df6daa75fb563bc69bef781,Deep House,96,Sử dụng,2022-07-15,1504,"DEEP HOUSE - HG - KHO NỘI DUNG CHUNG, Forest Music Group - ADMIN, FMG - Audio, FMG SG - Trường Anh",2026-08-14,,,,516,2026-08-04,23,
