mart_team_usage_sk,team,distributed_resources,usage_resources,view,revenue,growth_view,growth_revenue
9cc1630519d111599932bb60ef57138f,AI Visual,0,0,0,0,,
ba48292bc72f150b5d13d1790dad4d33,An Tuệ,25,0,0,0,,
559d78cd4518ba45bebc487b84ef708c,Bùi Thể,55,51,289473,30.939,-0.95523513913451474357,4.3464615384615385
6b4a5e6c9cd616225a85db1c0dcbde64,Design HN,0,0,0,0,,
608ee01e8b1830f329d2e5821a1cc0c8,Editor HCM,0,0,0,0,,
19392ec197aeb2c9ade8321312fc68c5,Editor HN,0,0,0,0,,
097c315f0f013022374aca3ce73df7b6,Forest Music,1533,936,431633433,2686976.561,-0.95456105583422934452,-0.96816038199019321127
a7dad12303827ade1d10b44776da3ed9,HCNS,0,0,0,0,,
eeca419455074ed28731c07c0fc1448a,"HCNS, Team Tuyên, Vận Hành, Hải Nam, Kế toán & Pháp chế, Vận Hành 3, MKT Label, Tuấn 2K, Vận Hành 4, Sáng tạo, Tài, Vận Hành Youtube, MKT2, MKT3, IT, Trọng, Creative Studio, Vĩnh Kinh, AI Visual, BD, HG La Giang, Quang Duy, Tâm Tuệ, Sản xuất nhạc HN, Tinh Tuệ, Vận Hành 1, Bùi Thể, Vibe Media, Vận Hành 2, Thông Tuệ, BOD, Sáng tạo, Tài Trung, RedOne, AI, An Tuệ, MKT1",1,0,0,0,,
404651f063809e96cb9eb6d53a17ffee,HG La Giang,0,0,0,0,,
03f15de87532a6c2aedf108a19c38df0,"Hải Nam, MKT2",260,0,0,0,,
6e8d4a2d18a7f8441ab4d4c2e1adedbe,"Hải Nam, Tuấn 2K, MKT2, MKT3, Bùi Thể, RedOne",20,0,0,0,,
ea724dba1df3a7369d535728a624ca51,"Hải Nam, Tuấn 2K, MKT2, MKT3, Vĩnh Kinh, AI Visual, XTeam, Sáng tạo, RedOne, MKT1",30,25,48975,0,-0.93919166727792855571,
cd32106bcb6de321930cf34574ea388c,IT,430,321,123305038,740203.437,-0.95937775553454732632,-0.97781562336058499520
f39fe4e2221f0f54408d621b9720aef6,"Khai thác, Ban Giám đốc, Hậu kỳ, Ban Trợ lý",0,0,0,0,,
3869fa2774e3731473bf1f50c140e709,"Khai thác, Ban Giám đốc, RnD, Hậu kỳ, Ban Trợ lý",337,107,158574348,965888.472,-0.95272879027857366649,-0.96777722233277963248
3f69f50b92a4b2bec4d0bf309f8ac50f,"Khai thác, Marketing HCM",0,0,0,0,,
6a2501803fde50885e92f08b34fbd307,"MKT CS2, Tâm Tuệ, Tinh Tuệ, Vibe Media, Thông Tuệ, Tài Trung, An Tuệ",0,0,0,0,,
83055ac8e1370bbe9b334b16853953c3,"MKT CS2, Vũ Đình Hội, Nguyễn Hải Nam, Sáng tạo, Tài, Phạm Văn Thịnh, Lê Đức Bằng, Nguyễn Văn Bình, Bùi Tuấn Anh, Đinh Thanh Long, Phạm Tiến Quang, HG La Giang, Tâm Tuệ, Tinh Tuệ, Lê Minh Đức, Vibe Media, Thông Tuệ, Phạm Kiều Giang, Mai Thu Thảo, Nguyễn Thị Vân Anh, Lê Trung Đức, An Tuệ, Lê Hồng Phong",409,318,145918615,1070911.646,-0.96314226879181007334,-0.96289360340851243772
36905dac84dfb3782afcf39ce34df909,MKT Label,62,5,45,0,,
888d4447be9ea29db42ea62292a0c5ac,MKT1,4,0,0,0,,
ab4283e98653a0570cded5f648bf68ba,MKT2,0,0,0,0,,
b9f8b9364cfbaceaad757e055ddfc51b,"MKT2, MKT3, RedOne",43,19,55454414,258476.377,-0.98268232481786426880,-0.98362393156650951240
d060d35af636f476825fd5a92a3d9e49,MKT3,10,10,24006,123.592,-0.99839603382910469525,-0.99796817208487444033
025cb8c81fb275f22682ce6d6b6f73dd,"MKT3, Bùi Thể",61,55,289479,30.939,-0.95523610850452583407,4.3464615384615385
91d5eef2a50eef255a2374488f2be595,"Marketing HN, Khai thác, Ban Giám đốc, RnD, Marketing HCM",80,73,75601,530.180,-0.97704298535663675012,-0.98057409517608117641
9af65e800a753a5341e1a0004037d6ef,"Marketing HN, Lê Tài Nguyên, Marketing HCM, Nguyễn Thị Ánh Tuyết",8,4,0,0,,
6fa1d82b88a7dc79424a1aa1ee240cf2,Production HN,0,0,0,0,,
d77a82b8ee20918893e066f6d5a4bb6d,RedOne,791,317,120694351,719858.935,-0.96454857281317601767,-0.97789336528627696499
a42a861493a3264d8fe83f401e4752cd,"RedOne, An Tuệ",4364,945,576994728,4164484.569,-0.96828433531216264172,-0.97446074790737593598
d963590748dc08c745ed92deee387bf9,"RedOne, MKT1",0,0,0,0,,
d7c0577030c2c9f066aca298ea86cac4,Sáng tạo,0,0,0,0,,
b9076d18834952156a1f6224a5969cdb,"Team Tuyên, Hải Nam, Tuấn 2K, MKT2, MKT3, Vĩnh Kinh, AI Visual, Quang Duy, XTeam, Bùi Thể, Sáng tạo, RedOne, MKT1",621,165,125188227,585318.520,-0.94609663826446903009,-0.98154652464693116713
63619627840a010989574012af84e61f,"Team Tuyên, Hải Nam, Tuấn 2K, MKT2, MKT3, Vĩnh Kinh, Bùi Thể, RedOne, MKT1",0,0,0,0,,
38cc6b757909a0c5f86d5952984c2108,"Team Tuyên, Hải Nam, Tuấn 2K, MKT2, MKT3, Vĩnh Kinh, Quang Duy, XTeam, Bùi Thể, RedOne, MKT1",19,10,1872980,6808.381,-0.97511718033988844955,-0.97889584935919359099
26e82f1925125366adc2b9248a180667,"Team Tuyên, Hải Nam, Tuấn 2K, MKT2, MKT3, Vĩnh Kinh, Quang Duy, XTeam, Bùi Thể, Sáng tạo, RedOne, AI, MKT1",20,10,15110828,29609.378,-0.97341036215178596030,-0.98925680061031848149
a676b8f1215426d94758eb676274758a,"Team Tuyên, Hải Nam, Tuấn 2K, MKT2, MKT3, Vĩnh Kinh, Quang Duy, XTeam, Bùi Thể, Sáng tạo, RedOne, MKT1",1,1,454925,1026.551,-0.95052557813594954450,-0.98946803870952532504
43b5c195db3c78bdf9c15ec54bac24f9,"Team Tuyên, MKT2, MKT3, Quang Duy, XTeam, Sáng tạo, RedOne, MKT1",30,30,8798218,19241.396,-0.97021146774365665510,-0.98458762979086424247
604510e7418aae451feaaab36d496662,"Team Tuyên, MKT2, MKT3, RedOne, MKT1",23,23,3846889,48116.765,-0.98012986491063893306,-0.99165869084846533496
560e0650b6705c791c45d83c5c4a4472,Tinh Tuệ,0,0,0,0,,
9e80344d6a53faf8ea779acb08a2cdba,Tuấn 2K,551,6,26619596,164908.478,-0.96302968779663451087,-0.96371767855448309637
1e98287db11d745fada2a04acfddb0c8,"Tuấn 2K, MKT3",96,0,0,0,,
44aea1159174c8a513a6142f686a1e87,"Tuấn 2K, MKT3, Bùi Thể",228,30,53368,169.146,-0.94558817718417829059,-0.92632982099784181795
71ca270822376da15d404b8d3a3f1917,Vibe Media,20,19,592045,11357.058,-0.99577992506408992309,-0.99761879833879640592
a482d19fe6c25bb12763503584c6ef7c,"Vibe Media, An Tuệ",0,0,0,0,,
8a653899b0a792fe1af9731ce4bf1e8c,"Vibe Media, RedOne, An Tuệ",146,125,2001350,10032.959,-0.95565888169644255895,-0.97076865390814566240
43e5ee2b2b3268e6b59ecd187a93f3d6,Vận Hành Youtube,2823,783,634385935,6048316.679,-0.96447853449150288319,-0.96893387768780176816
55f49ac65b08a4e87b77bd903725c5cf,"Vận Hành Youtube, An Tuệ",1218,0,0,0,,
dc938972b1059a94d603f46d258f731f,prjs,31,0,0,0,,
8fb6f904b1b0ccf0b989b1fef823a1fc,Đối ngoại,2,0,0,0,,
