hg_stock_id,last_distribution_date,last_published_date,inventory_start_date,inventory_age_days,inventory_age_sort,inventory_age_group,acceptance_score,score_sort,score_group,usage_status
HGFA000130EFEE054B2897CF572350E9F433,2025-07-30,,2025-07-30,389,3,Tồn kho > 60 ngày,,6,Khác/chưa có điểm,Chưa từng sử dụng
HGFA0005F36F655B40C6BCCE7E0C6BDC9BE7,2026-08-14,2026-08-04,2026-08-04,19,1,Tồn kho 0-30 ngày,,6,Khác/chưa có điểm,Đã từng sử dụng
HGFA00081CA02ED649CF88EF8D3B0117AAF0,2026-04-28,,2026-04-28,117,3,Tồn kho > 60 ngày,,6,Khác/chưa có điểm,Chưa từng sử dụng
HGFA0008BC51CFA54DB2A51055FA5161C0E2,2026-04-28,,2026-04-28,117,3,Tồn kho > 60 ngày,,6,Khác/chưa có điểm,Chưa từng sử dụng
HGFA000B9A5F9E934BF199CAC93364698443,2026-07-31,,2026-07-31,23,1,Tồn kho 0-30 ngày,,6,Khác/chưa có điểm,Chưa từng sử dụng
HGFA000D631157B6452398FC32FC71ACF357,2025-11-13,2026-04-09,2026-04-09,136,3,Tồn kho > 60 ngày,0.00,6,Khác/chưa có điểm,Đã từng sử dụng
HGFA000DAC633FF247B8B4937B6A0DFE740C,2026-08-20,,2026-08-20,3,1,Tồn kho 0-30 ngày,,6,Khác/chưa có điểm,Chưa từng sử dụng
HGFA000EE8FF16A64ABD95245E31B6C5EB54,2025-07-30,2026-07-20,2026-07-20,34,2,Tồn kho 30-60 ngày,,6,Khác/chưa có điểm,Đã từng sử dụng
HGFA001096A2044B4D42BD8B76EFA2087B5F,2025-05-05,2025-03-17,2025-03-17,524,3,Tồn kho > 60 ngày,,6,Khác/chưa có điểm,Đã từng sử dụng
HGFA0012CE32BC6B419484C035420436A520,2025-05-05,,2025-05-05,475,3,Tồn kho > 60 ngày,,6,Khác/chưa có điểm,Chưa từng sử dụng
HGFA001458AAC95349FBAD1E531FD9F9F8E2,2026-04-28,,2026-04-28,117,3,Tồn kho > 60 ngày,,6,Khác/chưa có điểm,Chưa từng sử dụng
HGFA0014EADA40B24FDDB80B41E86D4CEAD7,2026-07-18,,2026-07-18,36,2,Tồn kho 30-60 ngày,,6,Khác/chưa có điểm,Chưa từng sử dụng
