resource_video_sk,video_id,hg_stock_id,published_date,first_position,position_group
814cf632177159d0b3cd25d9aed16bd6,--4vaZP-M_I,HGFAA34B4256C42B4523B7896CF3EFFB3996,2026-06-12 09:47:42,3,2-3
c934b4399bcdfb94c62d3d3c55c0c716,--4vaZP-M_I,HGFAAF8BE53858B34B2382F17107323ADAE3,2026-06-12 09:47:42,4,4-5
68a7c8bb34f97a25ed72cf50d6634ddf,--4vaZP-M_I,HGFAE132804351404433B84BE7CEED3BAB51,2026-06-12 09:47:42,2,2-3
2ef7199f0c0f271da3549b8045936f9a,--4vaZP-M_I,HGFAE85A1CB72A3B4E4093BD0C5FF21F1F6A,2026-06-12 09:47:42,1,1
5b436e281b1d59fa850a034f1dbd5b5f,--5_lQqhP8U,HGFA0CA81C6BEE884B7D870502F331B2FFCB,2026-06-17 03:30:06,20,>5
5bdc55744c97b1615c70574dceaa106e,--5_lQqhP8U,HGFA0D85E969906645849F3EDB83D7564732,2026-06-17 03:30:06,16,>5
5df00df6f230c0b641c8cc6dba8155e8,--5_lQqhP8U,HGFA0E646C6E997D4093964FF673DEC18B44,2026-06-17 03:30:06,18,>5
fab1e6b2a11440127757c2b0ddc8600b,--5_lQqhP8U,HGFA11BE35293A9649FF9797E27ADE80FBF1,2026-06-17 03:30:06,12,>5
aa6985e666dcff004a8d1d0a88337709,--5_lQqhP8U,HGFA2160A7E274D944D18F3B0E1994FCAF5D,2026-06-17 03:30:06,5,4-5
8df7b5409f52ad1084798b6398feb7f8,--5_lQqhP8U,HGFA27B0AA26B89A434AA8A7405EFC1B8238,2026-06-17 03:30:06,15,>5
4b41b6419660d3d435e9ad07790f6321,--5_lQqhP8U,HGFA421B55D9A97B4BEF802384958C6F9818,2026-06-17 03:30:06,2,2-3
16bdaa82a5a1729ad64b9c38c1508b00,--5_lQqhP8U,HGFA6059C6AECF054752A7F4A44E652457B4,2026-06-17 03:30:06,22,>5
c9fc5d5b7e21a24f4a31c4a025e22407,--5_lQqhP8U,HGFA609B6BDEC60842FBA6ED005175529391,2026-06-17 03:30:06,26,>5
a76923760e7f11b7b63bd9bc073e3d42,--5_lQqhP8U,HGFA62E5FE90A5DB4E87A3E2AC736952950D,2026-06-17 03:30:06,19,>5
69c6372b603104f82dc92fea7970060e,--5_lQqhP8U,HGFA666A7A0204AE482E8E051FB23B4EAECF,2026-06-17 03:30:06,24,>5
a65dfca9bfe7062ce0091d0914744492,--5_lQqhP8U,HGFA67B088BE538F4E01BB97C8DD52E66BC9,2026-06-17 03:30:06,11,>5
5922ec3b4aaf1177105a3775d733ac85,--5_lQqhP8U,HGFA6D9B03B6094344B5B8B444DA434282F5,2026-06-17 03:30:06,1,1
1e8e6e72496e110b546267eb413f996e,--5_lQqhP8U,HGFA8053915B23D04CA1918E7F79F29B8432,2026-06-17 03:30:06,9,>5
65523aee4411e321e25e16a0cd978dcf,--5_lQqhP8U,HGFA8E69CC9E815B401FB6F8A37BCCB27295,2026-06-17 03:30:06,10,>5
821e0e7f84b7d64671472abf637188ef,--5_lQqhP8U,HGFA907B7BB88CD244BAB9DC3EE536AA3FFF,2026-06-17 03:30:06,14,>5
7b03074886569a144da67f3757d58c71,--5_lQqhP8U,HGFA9415BADAA955456DA92D91D282C67E09,2026-06-17 03:30:06,17,>5
32383f020e270b36064da66ab86fb85f,--5_lQqhP8U,HGFAA48420C75DAC45BDA561F19EFF192CD4,2026-06-17 03:30:06,6,>5
b8328714086bfabe5babcfef15f1921f,--5_lQqhP8U,HGFAB417E44050494B2CA7138002403F1FDB,2026-06-17 03:30:06,21,>5
85ed64416a04b9f1e6d90bce7aba3399,--5_lQqhP8U,HGFAB47B35B054F04A8BBE7C28048591053C,2026-06-17 03:30:06,27,>5
d4d237352377717d75c3e4ce4e82aac8,--5_lQqhP8U,HGFAC409CFFD185A42BBBB4821C802AABBE7,2026-06-17 03:30:06,13,>5
dc7337c3335e6381cdc4265616d6af3b,--5_lQqhP8U,HGFAC61EE256612F408FBC247509BFDC03CA,2026-06-17 03:30:06,23,>5
f1c1e20d3b84afd1bc73838de6605a30,--5_lQqhP8U,HGFAC74AA6DB45804E1AA0C314D6474DD43A,2026-06-17 03:30:06,7,>5
d21f6d289123ac9928b807fd63bc9c6e,--5_lQqhP8U,HGFACA02B967E63E4E0B8305BED6E635DBCD,2026-06-17 03:30:06,25,>5
