schema,table,rows,status,file,error
gold,fact_hao_hut,1000,success,gold.fact_hao_hut.csv,
gold,mart_avg_sla_ord_disribution,110,success,gold.mart_avg_sla_ord_disribution.csv,
gold,mart_repository_usage,975,success,gold.mart_repository_usage.csv,
gold,mart_resource_channel,1000,success,gold.mart_resource_channel.csv,
gold,mart_resource_usage,1000,success,gold.mart_resource_usage.csv,
gold,mart_resources_video_channel,1000,success,gold.mart_resources_video_channel.csv,
gold,mart_team_usage,50,success,gold.mart_team_usage.csv,
gold,mart_ton_kho,1000,success,gold.mart_ton_kho.csv,
gold,mart_video_performance_monthly,1000,success,gold.mart_video_performance_monthly.csv,
gold,resources_useage_number,1000,success,gold.resources_useage_number.csv,
silver,bridge_bt_vid,1000,success,silver.bridge_bt_vid.csv,
silver,dim_ar,1000,success,silver.dim_ar.csv,
silver,dim_artist,1000,success,silver.dim_artist.csv,
silver,dim_artist_distro,292,success,silver.dim_artist_distro.csv,
silver,dim_channel,1000,success,silver.dim_channel.csv,
silver,dim_company,16,success,silver.dim_company.csv,
silver,dim_company_stock,5,success,silver.dim_company_stock.csv,
silver,dim_department,110,success,silver.dim_department.csv,
silver,dim_distributed_employee,1000,success,silver.dim_distributed_employee.csv,
silver,dim_editing,1000,success,silver.dim_editing.csv,
silver,dim_isrc,1000,success,silver.dim_isrc.csv,
silver,dim_khsx,33,success,silver.dim_khsx.csv,
silver,dim_net,232,success,silver.dim_net.csv,
silver,dim_order_employee,60,success,silver.dim_order_employee.csv,
silver,dim_partners,42,success,silver.dim_partners.csv,
silver,dim_platform,82,success,silver.dim_platform.csv,
silver,dim_po,1000,success,silver.dim_po.csv,
silver,dim_project,166,success,silver.dim_project.csv,
silver,dim_project_stock,139,success,silver.dim_project_stock.csv,
silver,dim_purchased_resource,1000,success,silver.dim_purchased_resource.csv,
silver,dim_repository,975,success,silver.dim_repository.csv,
silver,dim_resource,1000,success,silver.dim_resource.csv,
silver,dim_resource_before_odoo,1000,success,silver.dim_resource_before_odoo.csv,
silver,dim_resources,1000,success,silver.dim_resources.csv,
silver,dim_so,766,success,silver.dim_so.csv,
silver,dim_stock,1000,success,silver.dim_stock.csv,
silver,dim_sub_project,543,success,silver.dim_sub_project.csv,
silver,dim_subproject_stock,32,success,silver.dim_subproject_stock.csv,
silver,dim_usd,398,success,silver.dim_usd.csv,
silver,dim_video,1000,success,silver.dim_video.csv,
silver,fact_artist_assignment,1000,success,silver.fact_artist_assignment.csv,
silver,fact_distribution,1000,success,silver.fact_distribution.csv,
silver,fact_editing,1000,success,silver.fact_editing.csv,
silver,fact_evaluation_assignment,1000,success,silver.fact_evaluation_assignment.csv,
silver,fact_khsx_detail,1000,success,silver.fact_khsx_detail.csv,
silver,fact_label_operation,1000,success,silver.fact_label_operation.csv,
silver,fact_music_evaluation,1000,success,silver.fact_music_evaluation.csv,
silver,fact_po_detail,1000,success,silver.fact_po_detail.csv,
silver,fact_purchase_cost,1000,success,silver.fact_purchase_cost.csv,
silver,fact_revenue_by_resources,1000,success,silver.fact_revenue_by_resources.csv,
silver,fact_revenue_distro,1000,success,silver.fact_revenue_distro.csv,
silver,fact_revenue_stream_distro,1000,success,silver.fact_revenue_stream_distro.csv,
silver,fact_revenue_view_youtube,1000,success,silver.fact_revenue_view_youtube.csv,
silver,fact_revenue_yt,1000,success,silver.fact_revenue_yt.csv,
silver,fact_so_detail,766,success,silver.fact_so_detail.csv,
silver,fact_view_stream_distro,1000,success,silver.fact_view_stream_distro.csv,
silver,fact_view_yt,1000,success,silver.fact_view_yt.csv,
silver,fact_youtube_operation,1000,success,silver.fact_youtube_operation.csv,
silver,in_stock_video,1000,success,silver.in_stock_video.csv,
silver,int_excluded_stock_codes,1000,success,silver.int_excluded_stock_codes.csv,
silver,int_stock_video,1000,success,silver.int_stock_video.csv,
silver,manual_excluded_stock_codes,1000,success,silver.manual_excluded_stock_codes.csv,
staging,channel,1000,success,staging.channel.csv,
staging,channel_company,1000,success,staging.channel_company.csv,
staging,channel_deal,1000,success,staging.channel_deal.csv,
staging,channel_project,1000,success,staging.channel_project.csv,
staging,channel_user,1000,success,staging.channel_user.csv,
staging,channel_video_info,1000,success,staging.channel_video_info.csv,
staging,channel_video_metric,1000,success,staging.channel_video_metric.csv,
staging,channeldepartment,1000,success,staging.channeldepartment.csv,
staging,cms,279,success,staging.cms.csv,
staging,company,7,success,staging.company.csv,
staging,department,121,success,staging.department.csv,
staging,departmentlevel,121,success,staging.departmentlevel.csv,
staging,distribution_media_history,1000,success,staging.distribution_media_history.csv,
staging,distribution_media_history_backup,1000,success,staging.distribution_media_history_backup.csv,
staging,distro_infomation,1000,success,staging.distro_infomation.csv,
staging,editings,1000,success,staging.editings.csv,
staging,groups,273,success,staging.groups.csv,
staging,groups_backup,259,success,staging.groups_backup.csv,
staging,hr_department,110,success,staging.hr_department.csv,
staging,hr_employee,1000,success,staging.hr_employee.csv,
staging,hr_job,192,success,staging.hr_job.csv,
staging,network,245,success,staging.network.csv,
staging,partners,51,success,staging.partners.csv,
staging,position,137,success,staging.position.csv,
staging,project,171,success,staging.project.csv,
staging,purchase_cost,154,success,staging.purchase_cost.csv,
staging,purchase_order,1000,success,staging.purchase_order.csv,
staging,purchase_order_line,1000,success,staging.purchase_order_line.csv,
staging,purchased_resource,1000,success,staging.purchased_resource.csv,
staging,recording_sound,1000,success,staging.recording_sound.csv,
staging,recording_sound_version,1000,success,staging.recording_sound_version.csv,
staging,repository_name_alias,9,success,staging.repository_name_alias.csv,
staging,res_company,16,success,staging.res_company.csv,
staging,res_partner,1000,success,staging.res_partner.csv,
staging,res_users,1000,success,staging.res_users.csv,
staging,resource,1000,success,staging.resource.csv,
staging,resource_before_odoo,1000,success,staging.resource_before_odoo.csv,
staging,resource_editings,1000,success,staging.resource_editings.csv,
staging,resource_file_action,1000,success,staging.resource_file_action.csv,
staging,resource_file_info,1000,success,staging.resource_file_info.csv,
staging,resource_file_info_backup,1000,success,staging.resource_file_info_backup.csv,
staging,resource_files,1000,success,staging.resource_files.csv,
staging,resource_files_backup,1000,success,staging.resource_files_backup.csv,
staging,resource_folders,1000,success,staging.resource_folders.csv,
staging,resource_infomation_add,1000,success,staging.resource_infomation_add.csv,
staging,resource_performance,1000,success,staging.resource_performance.csv,
staging,resource_storage_history,1000,success,staging.resource_storage_history.csv,
staging,resource_storage_history_backup,1000,success,staging.resource_storage_history_backup.csv,
staging,review,1000,success,staging.review.csv,
staging,review_user,362,success,staging.review_user.csv,
staging,roles,15,success,staging.roles.csv,
staging,roles_backup,13,success,staging.roles_backup.csv,
staging,sale,1000,success,staging.sale.csv,
staging,sale_backup,1000,success,staging.sale_backup.csv,
staging,sale_order,183,success,staging.sale_order.csv,
staging,sale_order_line,838,success,staging.sale_order_line.csv,
staging,stream_distro,0,success,staging.stream_distro.csv,
staging,tracking_video_publish_infos,1000,success,staging.tracking_video_publish_infos.csv,
staging,tracking_video_publish_infos_backup,1000,success,staging.tracking_video_publish_infos_backup.csv,
staging,usd_rate,446,success,staging.usd_rate.csv,
staging,user,731,success,staging.user.csv,
staging,user_comment_version,1000,success,staging.user_comment_version.csv,
staging,user_departments,998,success,staging.user_departments.csv,
staging,user_departments_backup,998,success,staging.user_departments_backup.csv,
staging,user_editing,725,success,staging.user_editing.csv,
staging,userdepartmentposition,1000,success,staging.userdepartmentposition.csv,
staging,users,1000,success,staging.users.csv,
staging,users_backup,1000,success,staging.users_backup.csv,
staging,version_needs_comment,143,success,staging.version_needs_comment.csv,
staging,x_acceptance_cert,120,success,staging.x_acceptance_cert.csv,
staging,x_music_plan,46,success,staging.x_music_plan.csv,
staging,x_music_plan_detail,1000,success,staging.x_music_plan_detail.csv,
staging,x_music_plan_detail_price,1000,success,staging.x_music_plan_detail_price.csv,
staging,x_music_song,1000,success,staging.x_music_song.csv,
staging,x_product_genre,229,success,staging.x_product_genre.csv,
staging,x_product_subgenre,296,success,staging.x_product_subgenre.csv,
staging,x_project,90,success,staging.x_project.csv,
