dim_company_sk,company_id,company_name
6512bd43d9caa6e02c990b0a82652dca,11,Vận hành Youtube
aab3238922bcc25a6f606eb525ffdc56,14,Forest Music Group
eccbc87e4b5ce2fe28308fd9f2a7baf3,3,An Tuệ
c81e728d9d4c2f636f067f89cc14862c,2,Red One Media
d3d9446802a44259755d38e6d163e820,10,BD
c20ad4d76fe97759aa27a0c99bff6710,12,Kế Toán
c51ce410c124a10e0db5e4b97fc2af39,13,BG Media
9bf31c7ff062936a96d3c8bd1f8f2ff3,15,IT
c74d97b01eae257e44aa9d5bade97baf,16,Team Dũng HM
1679091c5a880faf6fb5e6087eb1b2dc,6,HG La Giang
e4da3b7fbbce2345d7772b0674a318d5,5,Marketing 4
a87ff679a2f3e71d9181a67b7542122c,4,Vibe
8f14e45fceea167a5a36dedd4bea2543,7,Marketing Label
c4ca4238a0b923820dcc509a6f75849b,1,HG Media
c9f0f895fb98ab9159f51fd0297e236d,8,Sản Xuất Nhạc
45c48cce2e2d7fbdea1afc51c7c6ad26,9,Creative Studio
