dim_department_sk,department_id,company_id,department_name
045117b0e0a11a242b9765e79cbf113f,180,3,Phòng HCNS
fc221309746013ac554571fbd180e1c8,181,2,thể
9a1158154dfa42caddbd0694a4e9bdc8,52,2,Team MKT Thể
b53b3a3d6ab90ce0268229151c9bde11,55,2,Team MKT Tuyên
d67d8ab4f4c10bf22aa353e27879133c,39,2,Phòng MKT3
8f53295a73878494e9bc8dd6c3c7104f,179,1,HG Media
6ea9ab1baa0efb9e19094440c317e21b,29,10,BD
c16a5320fa475530d9583c34fd356ef5,31,,Thu Mua Nhạc
4e732ced3463d06de0ca9a15b6153677,26,,Trợ lý trưởng phòng HN
33e75ff09dd601bbe69f351039152189,28,,Trợ lý trưởng phòng SG
19ca14e7ea6328a42e0eb13d585e4c22,36,2,Phòng hỗ trợ Red One
34173cb38f07f89ddbebc2ac9128303f,30,,Thu Mua Footage
e369853df766fa44e1ed0ff613f563bd,34,,Vận hành Youtube
1c383cd30b7c298ab50293adfecb7b18,35,2,Red One Media
013d407166ec4fa56eb1e1f8cbe183b9,138,7,Marketing Label
ed3d2c21991e3bef5e069713af9fa6ca,98,,Vibe
1ff1de774005f8da13f42943881c655f,24,,A&R HN
c0c7c76d30bd3dcaefc96f40275bdc0a,50,2,Team MKT Quang
d9d4f495e875a2e075a1a4a6e1b9770f,46,,Team Motion
642e92efb79421734881b53e1e1b18b6,48,2,Team MKT Hoài Nam
02e74f10e0327ad868d138f2b4fdd6f0,27,,A&R SG
0a09c8844ba8f0936c20bd791130d6b6,144,,Hành chính nhân sự
182be0c5cdcd5072bb1864cdee4d3d6e,33,,Kế toán
2838023a778dfaecdc212708f721b788,51,2,Team MKT Hải Nam
a5bfc9e07964f8dddeb95fc584cd965d,37,2,Phòng Sáng tạo
ac627ab1ccbdb62ec96e702f07f6425b,99,,HG La Giang
38b3eff8baf56627478ec76a704e9b52,101,,Team trợ lý
f457c545a9ded88f18ecee47145a72c0,49,2,Team MKT Kinh
8f85517967795eeef66c225f7883bdcb,178,3,Phòng MKT Cơ sở 2
d82c8d1619ad8176d665453cfb2e55f0,53,,Team MKT Tuấn 2K
ec8956637a99787bd197eacd77acce5e,102,,Team R&D
6974ce5ac660610b44d9b9fed0ff9548,103,,Team Thu mua
a1d0c6e83f027327d8461063f4ac58a6,42,2,Team trợ lý
e2ef524fbf3d9fe611d5a8e90fefdc9c,97,3,An Tuệ
a5771bce93e200c36f7cd9dfd0e5deaa,38,2,Phòng MKT1
6364d3f0f495b6ab9dcf8d3b5c6e0b01,32,,Network
e00da03b685a0dd18fb6a08af0923de0,139,,Vận hành Label
f899139df5e1059396431415e770c6dd,100,3,Phòng Cung ứng
d645920e395fedad7bbbed0eca3fe2e0,40,2,Phòng MKT2
f0935e4cd5920aa6c7c996a5ee53a70f,106,3,Phòng Sáng tạo
698d51a19d8a121ce581499d7b701668,111,3,Phòng MKT Trung
3416a75f4cea9109507cacd8e2f2aefc,41,2,Phòng MKT Tuấn TP
73278a4a86960eeb576a8fd4c9ec6997,113,3,Phòng MKT Quân
9f61408e3afb633e50cdf1b20de6f466,56,2,Team MKT Duy
a684eceee76fc522773286a895bc8436,54,2,Team MKT Luân
1385974ed5904a438616ff7bdb3f7439,140,,Performance
c4ca4238a0b923820dcc509a6f75849b,1,,Quản trị
2723d092b63885e0d7c260cc007e8b9d,109,3,Team Design
b6d767d2f8ed5d21a44b0e5886680cb9,22,8,Sản Xuất Nhạc SG
eb160de1de89d9058fcb0b968dbbbd68,117,4,Phòng MKT Thi
3988c7f88ebcb58c6ce932b957b6f332,137,3,Team sản xuất
4c56ff4ce4aaf9573aa5dff913df997a,121,,Team Thu mua
3c59dc048e8850243be8079a5c74d079,21,8,Sản Xuất Nhạc HN
d1f491a404d6854880943e5c3cd9ca25,129,6,Phòng hỗ trợ
17e62166fc8586dfa4d1bc0e1742c08b,43,2,Team 2D
a97da629b098b75c294dffdc3e463904,107,3,Team 2D Artist
ec5decca5ed3d6b8079e2e7e7bacc9f2,127,4,Team Design
76dc611d6ebaafc66cc0879c71b5db5c,128,4,Team Edit
