dim_isrc_sk,hg_stock_id,isrc
56f6e57f37697881145524d2b59f3254,PBC(C_B_O)_A0_IH05_11,QT2WN2404265
b6c717b8d82886d6bd645932648d8e0a,CI(B_B_O)_A0_HDNT02_01,QT2WN2500009
f9d5f2c82112b3fa569a303b8f33d960,CI(B_B_O)_A0_HDNT02_02,QT2WN2500010
2b4e48533c7e77d53c49291bb0e019eb,CI(B_B_O)_A0_HDNT02_03,QT2WN2500011
4fe3fa25b7caa13dc72b30e3bf2d4ad6,CI(B_B_O)_A0_HDNT02_04,QT2WN2500012
9bdd053eeb3f58ff8256526c2325f980,CI(B_B_O)_A0_NPQ02_01,QT2WN2500013
47fa7955cc9f1757c91175ae3fb5081c,CI(B_B_O)_A0_NPQ02_02,QT2WN2500014
e18e6f7caa491f9b73408a21b82aa19c,CI(B_B_O)_A0_HNK01_01,QT2WN2500015
1d1dd456ba5cbeee96ab41d7d5c94270,CI(B_B_O)_A0_DTT02_01,QT2WN2500016
449d2fd0cd12df6399ea9269efa39779,CI(B_B_O)_A0_DTT02_02,QT2WN2500017
4d1e3789c2faaf8d902981e676e84ba1,CI(B_B_O)_A0_DTT02_03,QT2WN2500018
c8a24b505d38a3064738f4a3177ae8a0,P(C_B_O)_A0_LTH01_01,QT2WN2500027
b87029448b367ba1235e4c1cb0a5dfff,P(C_B_O)_A0_LTH01_02,QT2WN2500028
9fcb0bf5910bca404af1f1accf7c2017,P(C_B_O)_A0_LTH01_03,QT2WN2500029
71adb4c3a84c9a9556e35d56f2d3e386,P(C_B_O)_A0_NPQ02_01,QT2WN2500030
ca43cd928a2231046f30949a3aae7d6c,P(C_B_O)_A0_NPQ02_02,QT2WN2500031
0b92ac96c2f1e58267afe8a739969046,Sóng Âm_B0_AM17_01,QT2WN2500067
8b32aa4526d1d3cf0ace61952767e741,Sóng Âm_B0_AM17_02,QT2WN2500068
476dcd601b6395ca7bd062b8027363bf,Sóng Âm_B0_AM17_03,QT2WN2500069
0522231e9850bf415528c24835527869,Sóng Âm_B0_AM17_04,QT2WN2500070
8d33105cafbed5d41ca1f5fc2a4f0506,Sóng Âm_B0_AM17_05,QT2WN2500071
11f1c2275c10eefcbad1a0140036308a,CL(C_B_PD)_HNK3_01,QT2WN2500114
9209add2d4dbecf5b363e233a1265181,CL(C_B_PD)_HNK3_02,QT2WN2500115
686a3234d209aed0beae2656407cee91,CL(C_B_PD)_HNK3_03,QT2WN2500116
ddab91e5c0ec974ade0f957a59e5ee31,CL(C_B_PD)_HNK3_04,QT2WN2500117
46c9d3d6365ec8a11b2d183274d1a752,CL(C_B_PD)_HNK3_05,QT2WN2500118
13a4f9119b1f3391ccffe0f1c4e27841,CL(C_B_PD)_NPQ4_01,QT2WN2500119
195838e3a320b6069de809697630f1d1,CL(C_B_PD)_NPQ4_02,QT2WN2500120
ec68f1847f6a5ea9bf25256c6a3d873f,CL(C_B_PD)_NPQ4_03,QT2WN2500122
3af133301fad6c985af587f9eb20a526,KS(C_V_PD)_A0_PTA02_01_Pussy Cat Pussy Cat,QT2WN2500169
7171dea1af7c6428b91ee68cc497a645,KS(C_V_PD)_B0_PTA02_05_Five Little Monkeys x Wheels on the Bus (Remake),QT2WN2500175
c92ac463b2b972b44224b5b5bd565d1a,KS(C_V_PD)_B0_DKE06_03_This Is the Way (Remake),QT2WN2500176
1f2c2cd3e2c03f5a5bc90fd36375086f,KS(C_V_PD)_B0_DKE06_05_Hickory Dickory Dock (Remake),QT2WN2500178
