dim_net_sk,net_id,net_name
a5502fd2c902597bc3df4ee61a1e541d,00c2fdbb-a5c6-42ac-8d50-4b7ff84166f0,KNIGHT TV
01fbfd30ff4b63abd4e6c2358ff14f76,010be041-dca9-4a2b-9fe5-c4210993c862,[Merlin] Cash Gold Records
e10eb055f36c839059c5248a285b2c23,0113e676-1b95-48eb-8ced-54ad9a7a3f3c,SILENT ROAR MEDIA
82bf790a6cf98e7637bb300bf65aedb3,0284a962-7a26-4092-952c-9a103f974042,GA
1b3225dd71365cc3b0dd48eea12a54cd,035bdcfd-2b1a-40b3-9e78-56dbd7d6575a,PT BKB MEDIA
d8d01ad4fdfab07db4f08cf1b3a51a33,03acfcbc-952e-4941-97fa-f99b19f743aa,FLYINGNUNRECORDS
111ab186e5d836d20f8d3ec09f761f66,04338768-71dd-417f-ae49-9e272e2bb915,LA CUPULA MUSIC
967b0f452d4f5bfa408e6905bf264e27,0466a2cb-0d20-4f8e-b999-d81da8b47109,ZOJAKWORLDWIDE
74f5f04ddd03a1669642d960cd4102f5,055cc71a-4644-4f2c-a89b-7c63d746598e,PEPPER MEDIA
b76cbc38c8fe100bf10783d335d15ff5,07fd7d10-9bc5-4dda-9060-49559ff8fbb5,Muse Network
1e856bca9729683c59a85b67c79af16f,0b0cff25-c7d6-4d61-adb5-cf807afd13c6,Eastone Entertainment
25de20268766686bb94486350c12458c,0be83267-9351-4cd5-b0de-ebd5969bfb11,BHD Business Group
75f705028466540bb8e414f3c2418162,0cd06532-d098-47d4-ab5f-a5a850f42515,FAMOUS ID
3d5c0a278ebd933c6af87347039c14ac,0ce0c564-af83-4091-ab4b-22d1aebb38b1,Acromax Media GmbH
87480ea7f4fca1e687d7992204431312,0d8b4b3e-3f72-4f84-93ae-d4b8fd840ac9,Knight TV
37b5fe68dc4991e738529dd50352cd75,0dc0ad73-ae4f-46b4-ac72-237c5ec82fbd,BẢN QUYỀN SỐ
aa4fb6a03524319c467636a30614bbb4,0e503954-6ada-4dfc-9fed-f65e4e5f257a,OHENEMEDIA
7e6fecab0053fee11bf5ed978d826ff3,0f6bf5f5-5274-4756-852e-3fc1830cb293,SEEN
5fc25be680086efeb30c2f86ee2184f7,104e2b81-4f64-4d93-86e8-66a7a9c41f5e,MCV
43bbd1a693dc0093b2cd0b4ed64f72f1,10d00b68-3a8f-4b81-8919-8f1afe11a7b2,WMNNSL
026ee21bd4ed5c76160e75fa2e16c306,13b3cb9f-4c96-4680-98b4-388b3007f171,DashGo
a1724d66045f518dc6ff5b1618eb576b,13c45d54-76c2-4e89-837e-9ee80a8518d0,BONGO STUDIO
b11e9d2bfa43aada9a8f94ac37c1e4c6,13fe3fae-0a0c-4114-bce9-e076b9b8950d,Acifin Network Affiliate
916e21834c75d8509a77e5867062e3d8,16dcacc3-be22-46d4-ac5d-92bd7313a35b,Izo (EMVN)
222faed7776af12ad3356825e262a703,172449e8-db06-428e-9187-b6556afcbb54,MCVCorp US
9477e16b9509af11a86a25e9cd4abfb0,1798a381-6403-46e7-9cde-d1121ab0b215,Tubrr
49a88a26a9ccbfcfa2c0440024536e29,190cb148-59c6-4a3b-9bcf-388fca011027,MATTER
2fcbfddb2a925cbfba5ba67651343cf5,19db5eba-12ba-41db-be78-8d1dae07f72f,FREDERATOR ALLIED
381a797bfeea3afe75329888e5574235,1a6679cb-a7bf-4b21-9605-4e5ec8ae49be,THUMB MEDIA MUSIC
de8c1d27e962a2f671361c356a782c2c,1cf6ba2e-3e22-49e0-83a7-947729de94a1,RHEI MUSIC
336c969572118da9fbe73609c7144f33,1e342c1c-bb3b-4836-b9a3-949f5a83f514,Unite.ad
b8eb2f21f62d3cf14f905ca5106f80c4,1e6c470e-3303-42dc-a568-198f76ef9a94,Syndicasia O&O
b7e0dae2d00ae42e485ad6d76adab23a,1eb91473-0f42-454b-9fe6-a54ff18595e1,DashGo
fb6db9945ff4222b1b188ac0edaa046d,1f5ff3d2-9d53-412e-8096-efdcaa42a4a2,daredo GmbH
fb5eb7aeab50b2ffad45211624fbb9f9,212f0d25-b819-483a-b17f-61240547e5da,Zoomin
7cb033d036c578d0f014dabab7657361,2147c231-efce-4c79-bb05-f5a2f1abc611,DIGITAL MINDS MUSIC
801743f90fdefea63867db1f26f0cd60,21d35415-ac60-4c98-b29d-1d494d6d34f3,FANATIK FILM
dee69cb333da705a227ec6048f74d234,23923d2b-2f44-43f1-92ae-2148f11867b9,321 Media
3e58bf41f3276e9d8859a5d183327c5b,29b01026-a79a-494a-ab8d-f1836e790a08,OHM Entertainment
89055c5f4c5614ec701e0248ce7ac46f,2c21f1e4-c5c0-4cf4-a276-b01cd8a2533d,Phoenix Media SRAV
84cff8e6e8e743c8f6c4b5d601a2d394,2c2e8a2b-0fce-43c5-b838-b2b7b5883a08,METUB
d7499cdae1169ae5afa908652ad863e6,2c77bf10-1aea-424e-9dcf-2d1b0794daee,BEIJING HANQI
e6a951427483ee41982938b22b6bd604,2e2e2366-696c-4023-b744-1c78a32d464d,HaHaHa
f642e9a7fbe9dd64731fac37d60e2199,3050b1a2-d0a7-4e97-b597-81c20a2fbd4e,DASHGO
7a18721cae3a10160a99c8c438e6d053,3411b084-32bb-431a-a32b-16275206bbc4,Banijay Iberia Music
b85721aee8cf2176f4c5b7a3097f4887,34667519-e5e8-429a-9bcf-68aca2880133,AGE
79d554f6ff32608e7c69dcdb2edecff1,37594425-68b5-4201-9f47-7b1ed51cd035,VMG
ea5c5dcd782b7bc93e1d4c9ad6b0b792,3832f766-b52e-400c-af94-038d8152c2bf,Ohenemedia
d083590e6a889cb7ab7b74cdd37564f8,3900c3be-ae58-4ed8-831e-830145b8d681,Bab Media
d22b844da53692bb8add28ba217faad1,3928195d-eb68-43eb-b534-c435dcd20e02,Test
04b13bd5de27a75cfc6f406d9ff9a301,39e356bf-dfad-45c4-8f7d-05676dd67ed4,Digital Minds
199bb09e96967cb822e86c06100ff6e6,3bf9733d-82d6-4cef-b781-4e718adb49f5,MUSICFACTORY
aebae9db8885318905623b2852ee8349,3c50d000-279c-4925-8da1-290533acfb67,Zoomin Premium Content
16a0ee215bdcadda7af025fedbdf1420,3e9f937c-d89b-4a89-8015-5d04062e2f99,CAT MUSIC
040d50613ee1b9a997203d851f87aea4,3f987340-1632-4364-bb95-c973a952530c,PT Suara
3db660d82cd7302c8086a1c621d80731,3fd3b641-97bb-4e3a-b0a5-191d610ba477,Fanatik-M
e68d620e629c0cf6fe95d5fd3df879b8,406e6e3c-5ed4-44d1-8fe8-3268da12e012,KK CULTURE
b8755ad3ca3676fa48961abf9bf811a2,40d73cd5-7bc6-42d1-8a8a-94df7c0f3b89,SYMPHONIC
0a982b21d02531aad06a5bc755eacb30,40f9f481-410d-4e59-bcab-47c6d71e19ae,Avenirtek Digital Private Limited
93c4a8382a75ccb014624e391eff9e94,4145db39-65d6-47c5-aeb3-9c956cd82423,BPMDIGITAL
04d32d8b296ba06289c12279c13af691,422b7fd1-17fb-4769-adb1-df262ede6a01,Zee Media Corporation Limited
85f1e903759715976d95b6f91da59fd3,4374fbb0-ee30-42a4-9cc6-2a6003e00458,YB Media
6daeca2805e1753e599976f447034aec,43f0a9ff-5a85-4b6b-8d31-a306c291d026,Blanco y Negro
01bc855f31360779948bacc6d61eb34b,457b78eb-01e4-48da-8143-34519609d34c,HaHaHa
75f40e08a8bb9005fd0de5bc1a2c2320,4753dd01-fcdf-4783-bb09-6ba5e84dbada,321 Media
f6bba334f7cd9d744b0f30b9ef082b20,4b3a7ada-648f-4f0b-b0d0-2d2c62939086,CHINA(ZHEJIANG)INTERNATIOANL COOPERATIONZONE FOR FILM & TV
03267511db3230e370961b8894b2f07f,4bea95b6-6e84-443d-b340-a43d05710aff,Adskimo LTD
061871a7ef1b60ef962fc9b5fa245d27,4c1e307a-6e56-45da-9210-8c2029d548d5,e-Muzyka
b7fa8bafb4854fcc570b4bd2fb013bbb,4e723037-595d-4247-b72e-9ceb84045683,Ocean BG Media
6b9d46c0873b8baee2e6ef9f0db7ac42,4eda41f3-3c44-4885-8ef0-5bd7e3c56aff,2BTUBE
b02b31bc97cf5814f048d5d1a60b5d5e,514f11a7-80ca-46a7-9a66-8443c7c62dee,pingnetwork_music
be92851e703909b6627359110f63177a,53918e24-34f8-4ec8-8e3f-d2dcaff26b70,WildFire Media
7dfa49b5351470d9d096cb3b8c45de59,5437ddad-f472-4ab7-b1bb-968fa6c10e22,Zee
110783fe35da1e22cadf02507f5fda24,5449db45-b197-47a3-a6b6-c5c581ade02f,VISTA INDIA
d212ca8b27eeb82968bfd37010eaae7c,57a6bca3-c704-4096-83b4-d0ff58e94ce0,Symphonic Distribution
a0a7633001ec3930f51f4a055570b2f8,59b5cd51-9881-47fa-bf73-74597cfda100,KIDS TOYS
7c2b06b36f85a77a7b434fc18610c83b,5b2ea93e-d3d5-4017-87e8-7bcdc1931ff8,YOOLA
6e0a81f0866a0cdf660bfbd9c4730148,5bf5dce7-4915-4d5c-a08b-5e1c5ff1fe6c,WMNNSL
575a7d2cbb5395725d18eb80b1a6ae78,5c125fed-0395-4b85-a2f4-e33454484043,AcidSpain
de5b91dd186c0dcb13a355bc8ad9b29a,5cda109b-e3eb-46a9-aabf-aaee674a63de,BEIJING SIZHIJULI
d0171047cf6024fb06838e25304d02a0,5d1acf60-dad0-4fcf-bddb-29f75f54b788,VMG
3d9ec76501d872b77acfa25c126606d1,5d6b5930-b7d4-411b-8df5-c4954a66c18d,Công Ty Cổ Phần Truyền Thông Và Giải Trí VMG (VMG Entertainment)
92da858b732e81d8d413b6e2123447a3,5dcb5dfb-d943-4bca-ab1d-45c8f01460d4,All Content Music
9603c6ddd77fa9cbf7a0a9a049671a36,5e7eb9b7-1abb-4f3e-979c-e06b6ab60d75,CHINA(ZHEJIANG)INTERNATIOANL COOPERATIONZONE FOR FILM & TV
e69d01e7fb6efc8961438b679773df46,5f1f76d2-9f53-4430-91ae-09c5cc1b95bf,Menta Music
6816971996a71192c7cd7314f665d18f,60b6bfe0-ff51-4a95-aa12-c28758919306,GT Channel Inc
7713681fabf3ceed0b338c57de6c1473,6305a687-052d-487d-860b-56ef8c340001,WMCN_Managed
289b5d4d6e995ac33e06b01c934fec99,636bb0ed-dfea-4da2-8116-57e2872ac958,THE STATE51 CONSPIRACY
40202a113160135fcc2724bbb9f07cb5,64519ae3-9957-4c0b-b28a-0cb5263f8fce,POST FOR RENT
ad193f8ae9a949731355822baed1e180,65399dfa-8d34-4627-946d-462b96f15550,The District
646a39e1e37638238270aecd56002a87,65b4be4a-40de-4453-a0f1-20b930fb0255,IZO
642f935e5ea77180775e61eff784308e,666263ab-9896-4cf0-89e2-5b374dd484f3,DUGHERO PAOLO ED. MUSICALI
c94266c64a0aba642615390c521831ad,671dcc2b-1e57-4ae8-b214-ff0d26569eea,United Ad
d05714e892854b12821810aa5eb28d19,67f7532a-a6d6-4748-a900-01f4a54462a1,WMG
b0fb171bfe3a8a53b0c0d614725ac854,68c95c98-51e6-449b-9767-10c59a1446ee,DH One Records
63cb0ce58ff1ae5f3b16f2bf4fad7d73,6ac4a40f-9037-4cd7-9bcc-c84cf2f7f63a,NIKITA MUSIC
3143be03e6b7eb9c86fc233f4fc4b11d,6affc83e-8805-4edb-8b1b-e8f7066813dc,BZZZ Entertainment
891010000ab0e59f5688d912e74df08e,6caad13a-b7cc-4c13-966d-8042dc80f9a8,BLANCO Y NEGRO MUSIC
315a59cd20fbbbae77f39f2940d30aac,6e950e07-5081-4583-9c35-087701e3ce1f,Warrior Media
65d819f632c684dfc1369bc35754838f,6e9b8fa9-022f-488f-967e-79731fba525a,北京思执聚力网络科技有限公司
19ce6e137537466550d37c6f7e0cd466,6f6999fb-f910-409b-a8f8-23d7a86c7724,2BTUBE
49612fbd83501c99a1de4a5a4ee8ea29,6fa313fd-b214-4de3-a010-e0798e7137b0,Famous ID
aca2cbcb0dd17eb6726baae338ed34c3,706679c0-e730-4b08-97a7-94727efb1c1a,Warrior Media
ddfa2e360743cecb19bb3c0ff2ff3a18,7164d75a-bfe9-4842-bce2-c02dee708daa,HT MOBILE
ff598972ca000aa571ba755c410a5a23,724f454a-7f9b-41e8-b1a9-efa49145a88a,WE ARE ERA
057c810fa6336a0df3c3dd1f2ae4f402,738cd161-86f1-4e31-8cde-22165756e58b,WMG
22161e98e8731af10b250deb25b08ad7,75279eb5-7f78-4e15-9246-45d005b25cc6,IT Test
cd49afbcea99fa5c26a02fb99b6f1988,759b30de-0ecf-48d5-9d12-03b9c7556ec6,CAT TIEN SA
3be588ec742fd845cd6531c2a5f6ec4a,75fcb97d-71c3-4f1e-8cf5-75360b7f7d8e,PING
98feeb80eaa2a5b034cb702c2801d138,77fdec76-e844-42a1-8ef4-1a787fa57166,Zwarejongenz
944c9415e9e8d05aea76e07b8cf6615a,79124d27-1eb8-4c8d-86c9-c09ae42ceb6e,Muse Network
7ba8adcc3e5131f35fb7a6af4998f81d,79ff62d4-2cd5-422d-a427-9d6f7c9c938c,Dwaem Media Group
1b5e4362db16649eb9739ab75bb1d931,7c01f313-0d09-41db-afc1-a1f3e2c4ac85,Genesis
f425597888d4898432b797ea470b5ce4,7d84f664-cf08-43f9-b3fa-1d7b34207786,HaHaHa
4b45076124e350879918611d77d1ddad,7f11932a-5d0c-4b07-9175-ea6c44ae863a,DAT VIET
b9347bc1bc11f5ce015f8874c9919fc4,8276e2e3-2447-4902-8874-2fa47eea557b,PT. Kokiku Media Indonesia
23b949d231d1a552a36e0ad47d1f1d5d,839cf1ce-8e53-48a3-983e-3bfafc5929a0,Merlin
9221d71c1352a92c1b4a8086e209d214,8417142b-0c69-4469-9ab0-3eeba4f6139e,MAARSS DIGITAL
499291358fa7cd742f05d06ab684f21b,842cfe82-6d9c-45a0-b258-ba1ccdc843e0,ALLCONTENT MUSIC
3fd256a8bef591b3bb75d0d49bbe8535,85a94d48-8323-478a-96f4-0b23dab55d89,VTC Corporation Network (MCST)
7ab55ea057aa0305421c3e5c40dcb118,85e329e6-de7c-4e1e-97f4-38d704d8c59a,EMVN
efbcf4997e8da106435c3b7192f0447f,8791f79b-0e5a-4132-b076-e1b050451096,DigiVox CSP
4f00f806ba5f4f718f82b98fa0aca9ed,887d12f9-6424-40b1-94b3-29ef280470da,Hitech Entertainment
9afa1a13868ef57b2db33694768c0090,88c85415-1a0e-4ca1-990a-b5502eae4036,1
059da149831e840c7e6844f3ea0e8fdd,88ccb273-4296-4866-b6a2-f696521fa696,The District
ec2498d6ab2fd638225417e6838e196b,899e18ac-b059-44cb-86af-a1a626d95e89,MENTA
b6a76919231b6df30641aa958296c0ea,8a262599-8e89-4d09-ac7e-ffb796e9c389,METUB Network
a96356d54cf6f70c1c5be462cd508058,8a39f4a6-e215-458c-b435-febfa520a13b,ARTI PROJECT
74352ddc6075d633dfc776f80363b683,8b5e6d7d-65eb-4e53-8fe2-94aa2bacc32a,Muse Network - E
73134026ed80cb1bf19e140f44412c95,8bf0ed1b-7b26-41db-a020-26c8fb5a8572,DashGo
e47f67b40067e68a50595bd4f8fcf143,8c65ff3b-e821-4baf-85dc-88a830dd7301,JONNEYETV
bed26f5fd52f239873e878ffe3141f46,8c8cdd91-93bf-4266-a5e8-7603666754e7,SPIRIT STUDIO
dfda85863b391f0b5e270ab6d7b98ca0,8db8de24-a52d-4375-b940-31ef105d90f1,321 Media
163ffab47d76d7fb52b22806736216cb,8ddeadd1-55d1-4a9d-83fa-2fa921eccc9d,BH MEDIA
22eac6168bafa0ae51ba9373193d15e0,8f686d3a-36ea-4533-958b-e70e82ed33b0,ZEE MEDIA
1d2bdaeef5276b75a48087469fd89102,8fd72cd2-7e04-4952-8b44-ca4354b7c70b,PingNetwork
dfccbd050f050e6332fb97608e8134f0,90fed1f1-65ed-474c-9c10-39c677da6f63,Menta Music
0cdad87a0f645e2771fdc0716bd4bef2,924a1b2c-46ad-47ca-9401-0b10d76e508f,Bongo Studio
d51fbff68c7bd8d02e43e95f8cfbb776,927cecda-6bfe-4b34-995a-22c17d2e9795,MUSE NETWORK
e104977b7a5b010d4b7be46235450a42,92dd5c49-b032-4bb9-8ac8-32d93668a7de,AIR PREMIUM
d72a76280db5033c01cd21c8fe175efe,937fb94f-f988-4671-b54d-b591a1e72ab7,In-sane Managed
d404dc6e89a1332aa9a5652592f9b485,96a42cc3-08dc-42a4-9ffb-e6a4c9e33e21,THINKBIG
c389fbca937d4da0ae6abc204366be77,995748e2-a2cf-4e30-a8a7-56f74336ca74,LeTV - Le Shi Internet
d04e17751094850a7c5ca31cc261118e,9a3805f9-8d80-42f5-9e4f-93c8e118e31c,UMAG
0df1aefe666c837ea3de6ec2f55dea5d,9a57d3e3-e67c-441e-8d47-d405ae1170e6,ODE
29191a38c839832246dccf77e768179f,9c33ab4b-de46-484c-ae24-b90b6df2826a,Assane Mbengue
116563b50e206a85145eec5ebef3a4ea,9e2f0fed-0075-4020-be08-a4fe46ccc764,Ohene Media
a37614e3d5eedd67358ec3bea58eb9de,a00e7ec4-3861-43cc-8489-b09d31a96672,北京默吉文化传媒有限公司
73689caca3f26a962402f92bf770ce09,a0abd27b-9d69-4a9a-96ed-a2f2a76808d0,UMAG Music
e825f20d65729ce60581142c7996fb15,a17da0e9-3182-45b0-b25f-3d9622375ca9,香港世纪优优数字科技有限公司
1ec4e600fd7566bf1085bb4b81d3b286,a34812c9-7d8f-495d-80c6-29aa701e7a07,GABI
