dim_project_sk,project_id,project_name,status
3d58a1ac0433f4cfcf616ce95df9e8d3,06bda73ef887c95030754eea9f31a757,Piano công năng,
c5bb6d12f69b651eb1d5adb04a3093f4,08b2a29b66b9661d532b5f8a14409fc5,Giáng sinh Pop Cover - Public Domain,
bad3b102508a0b823b2b5c816c805193,0b8b3984f964b57c6cd16936e3cf719a,Tropical House Cover - 1 - FMG,
6a4b81bc488452b5e65ea57f53821f0f,0ccbc07ed5d0178efc7de7dcdcfd785f,Piano Relax - FMG,
e95bb2dcd07d1b21718df196e52f2257,0d6d9f2579c7dd861cde8a4cdd4f0663,Sóng âm bật CID - MKT1,
f899139df5e1059396431415e770c6dd,100,Deep House Cover (Chillout) - 1,draft
38b3eff8baf56627478ec76a704e9b52,101,Divo,done
ec8956637a99787bd197eacd77acce5e,102,Dự án FR,done
6974ce5ac660610b44d9b9fed0ff9548,103,EDM Cover - 0,done
c9e1074f5b3f9fc8ea15d152add07294,104,Epidemic,done
65b9eea6e1cc6bb9f0cd2a47751a186f,105,Ghibli,progress
f0935e4cd5920aa6c7c996a5ee53a70f,106,Giáng Sinh Cover - 0,progress
a97da629b098b75c294dffdc3e463904,107,Giáng Sinh Cover - 1,
a3c65c2974270fd093ee8a9bf8ae7d0b,108,Guitar Cover - 0,done
2723d092b63885e0d7c260cc007e8b9d,109,Guitar Original,progress
5f93f983524def3dca464469d2cf9f3e,110,Hangdrum,done
698d51a19d8a121ce581499d7b701668,111,Indie Pop - 2,progress
7f6ffaa6bb0b408017b62254211691b5,112,Jazz,progress
73278a4a86960eeb576a8fd4c9ec6997,113,Kids,progress
5fd0b37cd7dbbb00f97ba6ce92bf5add,114,Kids khác,
2b44928ae11fb9384c4cf38708677c48,115,Kid Songs 2D,
c45147dee729311ef5b5c3003946c48f,116,Lofi,progress
eb160de1de89d9058fcb0b968dbbbd68,117,Love Song Cover - 0,draft
5ef059938ba799aaa845e1c2e8a762bd,118,Nhạc AI MKT 4,done
07e1cd7dca89a1678042477183b7ac3f,119,Nhạc Indo,done
8c6a2f5c7a5a5bd4f355fb032949785b,11ff93f461304d9d9a60f85d6323513f,Deep House - MKT2,
da4fb5c6e93e74d3df8527599fa62642,120,Nhạc Ngủ (KID),progress
4c56ff4ce4aaf9573aa5dff913df997a,121,Nhạc Việt,done
a0a080f42e6f13b3a2df133f073095dd,122,Phonk,progress
202cb962ac59075b964b07152d234b70,123,Phúc Âm,progress
c8ffe9a587b126f152ed3d89a146b445,124,Phúc Âm (có lời),progress
