dim_project_stock_sk,project_id,project_name
67effa0f222423fe47d1a06c63e7047d,01f242f6-c86d-4d9f-a85b-1c88af510550,Pop
1fbd6a39f9a2366d77dd0319066df017,03fb8a25-497e-469f-ada8-1bab84e8b746,Acoustic Top hits Cover
707b90b77a4754e322f7767b709a0d29,04a378b2-392e-47c0-a3af-26670c52dc53,Pop
39257a6bc9db0b3d552b27464a885ba4,08745273-6e96-44d2-8e33-ddbcb6b564be,Pop Cover
21c45b8f19bcb01e6c187d77f97a083b,10740d21-43fa-498a-bec9-c7a3fd220408,Chill 'n Groove
bc22a63160432b9eaaf33120564b007e,1094eaff-3558-4363-850e-4f666f92a256,French Instrumental
a8511767f809c5f577255d46d0fdc3dc,1127bd1a-7171-4a35-bd2a-f849596d030d,Guitar
423c17eed4d40f0e68f60eeff3b1b74e,11d5247c-56d9-457b-9c81-0d283846a64e,Documentary
a5d12167f94ce88130aa60b9bf242040,13479e38-d42f-409a-95eb-e600ab81a7b5,Sáo Tây Tạng
22aac647adf157e69d3960dd66a1f75a,1629f7a2-c16d-4fff-bfa2-fb40183d4d49,Love Song Cover
2963892f2d2b45f0c75d562d309afbb0,162e232f-ccfc-4c07-ab07-49025f3cb3ec,Kids Ngủ
801ea717bb5bb297b0729296513b2e0b,18071f58-c335-4617-99ce-7967fcc2fd84,Sóng âm
5ce1acbfbf28e047f6c6fa5d97561756,1928ca04-2b42-40b1-8313-15752393cff6,Downtempo
683f5d19053f833cad02fdf767325fdd,19a888c3-8c55-4057-b48a-f005d2875d1a,Afrotech Cover - 1
de261ae8ac355bbddbbb02fe87a823f8,1a000eb8-376d-4472-a7e8-c78c389cf006,Voice
12f5784e82a4630f30f38e6911348da1,1b6138d7-7e0f-49b4-8faf-7a3b19401655,Mova
70a78e35809e838ac331ef860c1c4c5e,1c981a03-eeec-4379-8584-d427c9979e27,Whitenoise
ea76444f1e77e3388ccac8e713e17cea,1d5eecaf-e4f8-478e-8579-05ac021418f3,IT
e83a9e6ddb61467dea89ec5900ebdb0d,1ed4a75e-60ed-4f58-909f-0b7c763c081d,R&B
b6899593877160d62768371549d72678,1eec2f54-370e-421e-abdc-41e25e3cd980,Giáng Sinh Cover - 0
439bce616e8bacb4adaad6b1ac980067,2244f50e-f5d1-464c-8556-cd13ffebe88b,Lofi
581f60c4c7b66766f74f2ce77bcbbfc9,22892d17-849e-49dc-85d7-834338ff8f64,Documentary
952e1e110d423cc1b613bab3fd838235,237b9dea-b8a9-4335-bada-69ad1717f4ba,Deep House
e1cdf21def6d247dad2a900a313b674e,2d25c8ca-f9a2-4eeb-b4d6-6402123c3dbb,Indie Folk Cover - 1
