dim_purchased_resource_sk,hg_stock_id,resources_name,repository,partner_name,partner_key,partner_id,buy_date,repository_type,sub_project_id
09bf786af45c3f547ed6dc5ffa65cb2f,HGFA000130EFEE054B2897CF572350E9F433,Madara,10aa08b8be49bda02c0567c12d4470f9,Street Phonk' Records,street phonk' records,3f617d6abfa620a1e50aa91ab0574cca,28/11/2022,Theo tháng,b9aa1c50b3b80df8ff8cfff1b52e3a60
79499c70b8e8b9a2ba9b01af9da36010,HGFA0005F36F655B40C6BCCE7E0C6BDC9BE7,Into The Blue,3fadca28270ea5c05545c736c988c2d8,Deep Disco,deep disco,c00318835ec602562df6245e58fd11f4,7/3/2025,Theo số kênh được whitelist,b03bbf0c6df6daa75fb563bc69bef781
7addfcf14c0d4cde99b7ae29fc7b2ee3,HGFA00085BD609B8426C8ED35C9AEFE02747,"Variations on a Theme by Tchaikovsky, Op. 35a: Var. VI. Allegro con spirito",c9cd57d81824e0bffef5cf8fd4f005ea,HalidonMusic,halidonmusic,072d2d75e778bc10b69b14da7d782ff7,19/05/2023,Theo tháng,815a5db0f121c22f8b20714e0b5bc717
b49234c897f817c502d27ba605eec743,HGFA0015D9C269F64BA285897168647CC9C2,"8 Klavierstücke, Op. 76: No. 4 in B-Flat Major, Intermezzo. Allegretto grazioso",c9cd57d81824e0bffef5cf8fd4f005ea,HalidonMusic,halidonmusic,072d2d75e778bc10b69b14da7d782ff7,19/05/2023,Theo tháng,815a5db0f121c22f8b20714e0b5bc717
81fe084c3533ce750546eb1e8511df70,HGFA00271490DFE243D1A89E36609A5C9B94,Here For You,eab0dbec41decba59260d88c5253cb4f,Day dose of house,day dose of house,df6825778eceb4239758256d5b1baf01,22/06/2022,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
da5ee6115037d3ed24e2c99d55539314,HGFA00396256A5674F68A7E4EDA953C4D1DC,MARIA (Original Mix),81bd8ca47a2729e7adff80ece017e3f7,Mark Music Records,mark music records,26bb3c7ec86e85d2c1e2e63c4add8179,08/06/2023,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
798d9599431c6e79465604667f4d305a,HGFA003E91B2A09F42CDA56266B0748119A1,"String Quartet in F Major, Op. 3 No. 5: II. Andante cantabile (Serenade)",c9cd57d81824e0bffef5cf8fd4f005ea,HalidonMusic,halidonmusic,072d2d75e778bc10b69b14da7d782ff7,19/05/2023,Theo tháng,815a5db0f121c22f8b20714e0b5bc717
6fc4a01b855bc7f362da361f1f51b01d,HGFA00522ED7819347DB9E3A860CB47F283F,"Madama Butterfly, SC 74, Act I: ""L'Imperial Commissario""",c9cd57d81824e0bffef5cf8fd4f005ea,HalidonMusic,halidonmusic,072d2d75e778bc10b69b14da7d782ff7,19/05/2023,Theo tháng,815a5db0f121c22f8b20714e0b5bc717
bc114ca41afc19b9fb3c5066ff71c7e2,HGFA006DCAF99DC24362A28194C1CC20BC38,Mustang,bc22d987d47f50036fa51138f6b3b2c3,Aurorian ' Records,aurorian ' records,0a983b2e7474379bbabf42a5508b6518,23/05/2023,Theo tháng,b9aa1c50b3b80df8ff8cfff1b52e3a60
9301ec6c129d1151500c9a7bb142d104,HGFA0074EFD93C08420EAC6F9BEE35193081,UGA (Sped Up),bc22d987d47f50036fa51138f6b3b2c3,Aurorian ' Records,aurorian ' records,0a983b2e7474379bbabf42a5508b6518,23/05/2023,Theo tháng,b9aa1c50b3b80df8ff8cfff1b52e3a60
2fa39d50f212127abe72f3d70119e69a,HGFA008496D070114700A8E9739C5C82BECD,In Love With You (Extended Mix),81bd8ca47a2729e7adff80ece017e3f7,Mark Music Records,mark music records,26bb3c7ec86e85d2c1e2e63c4add8179,08/06/2023,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
c26c05005aa478f7bed06d1ba3fa5443,HGFA0086F71216BD4239942774CE84103AE8,"Keyboard Concerto No. 5 in F Minor, BWV 1056: II. Largo",c9cd57d81824e0bffef5cf8fd4f005ea,HalidonMusic,halidonmusic,072d2d75e778bc10b69b14da7d782ff7,19/05/2023,Theo tháng,815a5db0f121c22f8b20714e0b5bc717
117b82eb3a45bebc7343418d6a47f28c,HGFA008901FFFF4C4633B2DF0B370497ADA7,Sky,9b950607bcfbe13098a12913595acf43,TFB records,tfb records,f31b115bb3798648c3560077e62814ae,"24/03/2020
03/07/2024",Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
959fff2819e6fae5e3735428368095fc,HGFA008BADB066DF42188926AB57563D8248,Live It Up,7db5b4b4331a53fd6170f89e27c77b59,Natural Deep (RA music),natural deep (ra music),d4061e36634c917da7e459bd646844ab,05/04/2022,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
473d18fcff6d97353e77fba7565d7bf7,HGFA008DA6D8CE494C66890F1E0900B7D4D6,Friends,7db5b4b4331a53fd6170f89e27c77b59,Natural Deep (RA music),natural deep (ra music),d4061e36634c917da7e459bd646844ab,05/04/2022,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
ec9a61cfd4c6a550458f2bc999b8bde5,HGFA0090332028764A1E860FDB5C1EE6C8A2,Fast Steps,c9cd57d81824e0bffef5cf8fd4f005ea,HalidonMusic,halidonmusic,072d2d75e778bc10b69b14da7d782ff7,19/05/2023,Theo tháng,815a5db0f121c22f8b20714e0b5bc717
47c4d41bf585b9fab6ec874d221f16f4,HGFA009147483FCC49709AC8D9B185A804BA,Waiting For You,eab0dbec41decba59260d88c5253cb4f,Day dose of house,day dose of house,df6825778eceb4239758256d5b1baf01,22/06/2022,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
1e59f373957eff5da2642cc66a030c16,HGFA0099F1F0648B47D280668340ED3D7FE6,"La Bohème: ""Che gelida manina""",c9cd57d81824e0bffef5cf8fd4f005ea,HalidonMusic,halidonmusic,072d2d75e778bc10b69b14da7d782ff7,19/05/2023,Theo tháng,815a5db0f121c22f8b20714e0b5bc717
8dc3d8cd7c0050f514fa7d6b74248388,HGFA009E4698AEDE4467BC0C71ECBA00EE27,For You,f080dffe37a00d603f9fb51eb97b3a6c,Pofiqist,pofiqist,97246812af37d1256f4fa0adbcc1d7cc,05/03/2024,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
473bb50c04d0df11a21d12735fd6de7b,HGFA00AC10B99317426E88A0CEFC3D08E52C,"12 Caprices Brillants: No. 7, Divertissement sur des motifs de Labarre-Bellini",c9cd57d81824e0bffef5cf8fd4f005ea,HalidonMusic,halidonmusic,072d2d75e778bc10b69b14da7d782ff7,19/05/2023,Theo tháng,815a5db0f121c22f8b20714e0b5bc717
bdfbaf11e496b3bd9e423040061ce648,HGFA00BC8E1E13504D65AEE7397BF374B57F,I'll Be Good For You,7db5b4b4331a53fd6170f89e27c77b59,Natural Deep (RA music),natural deep (ra music),d4061e36634c917da7e459bd646844ab,05/04/2022,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
2e605a256f05da105d72903a4cf9865b,HGFA00C05609598B40E18D5A268EC7F6AC0E,Like This,eab0dbec41decba59260d88c5253cb4f,Day dose of house,day dose of house,df6825778eceb4239758256d5b1baf01,22/06/2022,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
d121b101c2dabbd600467cdf6446aa6a,HGFA00D4B1383A8142939D66147615583CD6,My Rules,,Extra Sound Records,extra sound records,6f717219a41e312453d67426963ee78c,02/08/2021,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
ffa9a184d061a15415d744bf43bdc03d,HGFA00EC085EB2E34CD391307EC214E0FBBC,All The Things You Said,7db5b4b4331a53fd6170f89e27c77b59,Natural Deep (RA music),natural deep (ra music),d4061e36634c917da7e459bd646844ab,05/04/2022,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
c5f4ace280607c9794053e5797a15d63,HGFA0111F951AAF74358BD138A27A8D68BBA,Enternity,7db5b4b4331a53fd6170f89e27c77b59,Natural Deep (RA music),natural deep (ra music),d4061e36634c917da7e459bd646844ab,05/04/2022,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
7dbe5c7c02f2a1781ab58e305b1e5156,HGFA011FE0347AD24AEA9EEFC8AE065D539F,"Mazurkas, Op. 33: No. 4 in B Minor",c9cd57d81824e0bffef5cf8fd4f005ea,HalidonMusic,halidonmusic,072d2d75e778bc10b69b14da7d782ff7,19/05/2023,Theo tháng,815a5db0f121c22f8b20714e0b5bc717
28ad939815c41102aea757e1f9c8c354,HGFA01222CADD6EC476F822C76A261FE0A19,Belong To Me,3fadca28270ea5c05545c736c988c2d8,Deep Disco,deep disco,c00318835ec602562df6245e58fd11f4,7/3/2025,Theo số kênh được whitelist,b03bbf0c6df6daa75fb563bc69bef781
2ab77f4127eadb81ecf9089ea82c8b81,HGFA01278A9254274B7189241873E3762C20,After Drive,10aa08b8be49bda02c0567c12d4470f9,Street Phonk' Records,street phonk' records,3f617d6abfa620a1e50aa91ab0574cca,28/11/2022,Theo tháng,b9aa1c50b3b80df8ff8cfff1b52e3a60
30f3384d480c01b019eb39580a3e7fe0,HGFA012ED0E4E8464E17AC044AA5084053D0,Time Moves Forward,3fadca28270ea5c05545c736c988c2d8,Deep Disco,deep disco,c00318835ec602562df6245e58fd11f4,7/3/2025,Theo số kênh được whitelist,b03bbf0c6df6daa75fb563bc69bef781
9b3bb475e692f9cd817c69c56af31064,HGFA0137940286424D9498AFD9D8F53EC148,Goodbye summer dream,3f66780e06810b4bcdea3701c40c80c0,PUEBLO VISTA POLYMESA KAI MOUSIKI LP,pueblo vista polymesa kai mousiki lp,45305babfbd99a474c8f27542a74de9a,2/4/2024,Theo tháng,c85959fcf73d7bf1c3486bb49487f15c
bd3a69b4b8e209d22881acfb5a52553c,HGFA013F0C65BBC14E6698CB1AE77C3231DE,Dance of the White Swan,c9cd57d81824e0bffef5cf8fd4f005ea,HalidonMusic,halidonmusic,072d2d75e778bc10b69b14da7d782ff7,19/05/2023,Theo tháng,815a5db0f121c22f8b20714e0b5bc717
9a3e0ff1ee357c7b9518d951ee5895fa,HGFA0151F34431D041FA819E0ACFDF97E235,Feelings,10aa08b8be49bda02c0567c12d4470f9,Street Phonk' Records,street phonk' records,3f617d6abfa620a1e50aa91ab0574cca,28/11/2022,Theo tháng,b9aa1c50b3b80df8ff8cfff1b52e3a60
1318e1d27da6c8e46e13f6a5eb5d9a3b,HGFA0154064C4719483E936BAA36158A3EFA,"Goldberg-Variationen, Op. 4, BWV 988: Variation 8",c9cd57d81824e0bffef5cf8fd4f005ea,HalidonMusic,halidonmusic,072d2d75e778bc10b69b14da7d782ff7,19/05/2023,Theo tháng,815a5db0f121c22f8b20714e0b5bc717
433ca89d1405d5a6d8f6ae18a84f471c,HGFA015CCBC9106344A99FC5A6A5DC98B0AA,Truth,7db5b4b4331a53fd6170f89e27c77b59,Natural Deep (RA music),natural deep (ra music),d4061e36634c917da7e459bd646844ab,05/04/2022,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
fefcc19747fddad2727f237e5991c827,HGFA017264FF961049C6BAC5CD7B4C1922AC,Beyond Horizon,eeb5a15d591464bd3afe94c3d7df286d,Martynas Laurinavicius Whitesand,martynas laurinavicius whitesand,22aa435fa9250fe150ed3ffd1fdced31,2/3/2023,Theo tháng,096abb0ccd7ea756dbb01a39409c46b4
7172aba32ecbd249be5fa84b7842895b,HGFA017C08DCA46A40659C9CFDB446F3F51F,My Life,3fadca28270ea5c05545c736c988c2d8,Deep Disco,deep disco,c00318835ec602562df6245e58fd11f4,7/3/2025,Theo số kênh được whitelist,b03bbf0c6df6daa75fb563bc69bef781
86c37521cc52a47ce764647784984e15,HGFA017C3DFF2438472BBB477082BE278235,Pictures at an Exhibition: Cum mortuis in lingua mortua,c9cd57d81824e0bffef5cf8fd4f005ea,HalidonMusic,halidonmusic,072d2d75e778bc10b69b14da7d782ff7,19/05/2023,Theo tháng,815a5db0f121c22f8b20714e0b5bc717
cd78f54ec537a9cc8eb0ec8c6e4e2d47,HGFA017E27E18AC34D719C7D6FA50E7095FA,Run Away,7db5b4b4331a53fd6170f89e27c77b59,Natural Deep (RA music),natural deep (ra music),d4061e36634c917da7e459bd646844ab,05/04/2022,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
dbc267bbd9fcf79842d72d53144925a6,HGFA017EBAB2D2ED4885B165D4E06DDD1D35,Kiss of Night,f080dffe37a00d603f9fb51eb97b3a6c,Pofiqist,pofiqist,97246812af37d1256f4fa0adbcc1d7cc,05/03/2024,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
76e89c2b32d0bb35aa1ed8c553689d70,HGFA01904FBDF3FD4D84B5A42D3CC2DEAF9F,Deverse This,7db5b4b4331a53fd6170f89e27c77b59,Natural Deep (RA music),natural deep (ra music),d4061e36634c917da7e459bd646844ab,05/04/2022,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
25b38cca5217610ce44b4410851ed3e0,HGFA019163AAA096411DAE1C9DF016C099FC,"Impromptu No. 3 in G-Flat Major, Op. 51",c9cd57d81824e0bffef5cf8fd4f005ea,HalidonMusic,halidonmusic,072d2d75e778bc10b69b14da7d782ff7,19/05/2023,Theo tháng,815a5db0f121c22f8b20714e0b5bc717
c6baa508fdf2a90b7feb3d29b3db175d,HGFA0193640889A54AC3B18D956D388C1F8A,"Violin Concerto No. 5 in A Major, K. 219: III. Rondeau. Tempo di menuetto",c9cd57d81824e0bffef5cf8fd4f005ea,HalidonMusic,halidonmusic,072d2d75e778bc10b69b14da7d782ff7,19/05/2023,Theo tháng,815a5db0f121c22f8b20714e0b5bc717
54d99f012031ff95e7a275bf4d1c4f93,HGFA019B96C37A07465BA5540714FA6595E5,Carmen Suite No. 1: VI. Les Toréadors,c9cd57d81824e0bffef5cf8fd4f005ea,HalidonMusic,halidonmusic,072d2d75e778bc10b69b14da7d782ff7,19/05/2023,Theo tháng,815a5db0f121c22f8b20714e0b5bc717
d4794d891a38f1ef8e65ec742352acc3,HGFA01BC6E8EB89E4D56A179C6F1754B2DE3,Dancing With the Stars (Two Original Mixes),81bd8ca47a2729e7adff80ece017e3f7,Mark Music Records,mark music records,26bb3c7ec86e85d2c1e2e63c4add8179,08/06/2023,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
868fd47fab3251937252cb5bee829812,HGFA01D0EB8565EE47D4A8428BE491BAE489,Inciso No. 3,c9cd57d81824e0bffef5cf8fd4f005ea,HalidonMusic,halidonmusic,072d2d75e778bc10b69b14da7d782ff7,19/05/2023,Theo tháng,815a5db0f121c22f8b20714e0b5bc717
a663fb019852a9cd6a6da80212944c20,HGFA01D32CE29986463AB87BE378AB5AAC1B,"Stabat Mater, P. 77: Eja, Mater Fons Amois",c9cd57d81824e0bffef5cf8fd4f005ea,HalidonMusic,halidonmusic,072d2d75e778bc10b69b14da7d782ff7,19/05/2023,Theo tháng,815a5db0f121c22f8b20714e0b5bc717
5928de5303a6e0e642570e29b639f647,HGFA01D86DC0B0B4458297E64DDA6F70D9C9,Grey Nights (Original Mix),81bd8ca47a2729e7adff80ece017e3f7,Mark Music Records,mark music records,26bb3c7ec86e85d2c1e2e63c4add8179,08/06/2023,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
f2d44259977d5ea148a8bba48b6d40e3,HGFA01F592A796AE40A898E359542786163A,Hold Me Down,7db5b4b4331a53fd6170f89e27c77b59,Natural Deep (RA music),natural deep (ra music),d4061e36634c917da7e459bd646844ab,05/04/2022,Theo tháng,b03bbf0c6df6daa75fb563bc69bef781
