dim_sub_project_sk,sub_project_id,project_id,sub_project_name,description
b4658f409ce01f88a32818add86c5bd6,0042543309ef50113452823c53bf8cea,f28c2527595bf6c93218c361b3ccc261,Guitar - MKT2 | Meditation,
a0347d6ceef660be15acfc7dc9cf50cd,00c448d0537005090b8d7d233b87c0b8,41664e2df0db52cf764858fb461c1944,Jazz - FMG | Bossa Nova Jazz 2,
9c5069667cc5c335d62cfba473bcc443,01e22d0f54c490ef5c2a29aa69a41c02,132,ĐỘC QUYỀN NET - MUSIC FACTORY,
0e92d602abf1c1c815087780ef1a8cde,028d18012b98b62e44d1b795be9f6747,96,Deep House Cover - 1 - FM,
1faebb81f2672ec29d1cc23345fb8ad3,02f5f54738d4a19cd111f120b8b63c79,109,Guitar Original Thu Mua MKT4,
522d2cd728822367d436321d7b2ca3b0,04df2bcf8f5637d9e850966e9d1c0340,110,Hang Drum,
e12741df86f605f71e1900663947dbeb,054825abadf1d3743157a831a7303645,5138a1ea0ba06df52d92dcdab9c79dd5,Không có dự án con,
39d4750e2de6fded1bef5ff029a4b576,0634fe553c08b3a17d98510f75449591,107,Giáng sinh Jazz Cover Top Hits - 1,
6f36ae4ccacdac151d0cea0b581058cc,067cbf06fee3a3b272d011cb2035d562,112,Bossa Nova Jazz - MKT4,
7ba659072047cb67c889a88069c3470a,07c01319d73071ccccdc96aed8cd0f24,112,ĐQ Net Ohenemedia,
1c775cb3a8ec5deebe94ea44513b2d26,088d88ccaaa1d21316971a62dd9326b6,8e87abbaa7e70dbd53470200ebbc6e9b,Cinematic - MKT2 | Tạo động lực,
908848c32a07de005a8e4ed7df7918f9,096abb0ccd7ea756dbb01a39409c46b4,130,Không có dự án con,
eb9e912fe23e0b0d73fa27ddc218dc70,09784861f48851f310f3f4428067f23f,136,Không có dự án con,
9d9cbe30efa3540f87112322e3c35e56,0ac71dda667aeef2b066be67fbc00d25,130,Piano Relaxing Kho Riêng,
6f6ab9bd05e22b6f0b9cad6da360d444,0b2d18b60fe864e8d5b7a6b270d08e38,106,Giáng sinh Relax Cover - Top Hits - 0,
be9cdeb3d7a082e9eb64dce2b56e5687,0b6dd0e346efcc23bbf0cd649086e6dc,127,Không có dự án con,
2c6e510694125c0a30b59066787f7178,0c9766054c092168aca3d2e2c1322f7b,142,Chillout,
a90eb7eacdcc099a6ff18a9f885dedc7,0dfa3314ac182ed348d020bf57619512,772e218f04bcbaa5b14d775d0cb96333,Không có dự án con,
f1e63b6922b98a068012842c7e722df4,0ead7c68214f51a7e6ba8c78e58c96b7,106,Giáng sinh Jazz Cover - Top Hits - 0,
f2cb0b178f460c6fbeef8e83fd0c5108,0f6f5e1f5e2321f32a2c1e51df91e754,ec4c61f363f3d874ccdf9cec5c199e17,Classical video - MKT1 | Classical Video Tutorial,
a1e89768d25da730cb4864dd8903be68,10a5870f75d2de19fcf483b8b9b3f93c,74,Không có dự án con,
79739e8a550fe5f2a87f98341f291ff5,111243c15d7b53fb687fecb940adaf12,c3128e12e38497742d3320a03879030a,Piano - MKT1 | Soothing,
57287e00845ffb6bb5eb69355127b385,11256ccd598ed8e356a330d5e863c9c7,ec1dd8c1f99048044938b8fba2858178,Downtempo - MKT1 | Downtempo 2,
b8df0c0ccbb5e731b37053a4660d51f7,11870827e7ac2dcf9e2bfb26745af04e,116,Lofi,
a9803177ceeda8b6409dadf7df08f014,12480640c019959725ea684e28d9086c,72,Không có dự án con,
01f2718e421037c3a9937acc134fc7d5,135acb6aa95561e959b38dd2df3fda00,fc86720e32bcf9a8b055fe2ecae8fc99,Piano - MKT2 | Bình yên không guitar,
a3027589018f20e7aa7983ad039955c2,135fc83530dc44f98c4fd9ef8005a10f,c54d87433d070ad964ed101762470855,Chillout - 2 - MKT2 | Chillout,
cd3a1a932753c0d187dccd70af78853a,137317ac7fb5c837fd9114540b52e144,125,Piano Cover,
fcde7d15612c3c3fb29fba707e8d903d,151369002de7504efef6709ef2bce586,5138a1ea0ba06df52d92dcdab9c79dd5,Jazz bật CID | Bossa Nova Jazz,
a5c4298824de3ce8f9ab4caec586282e,15ac8a4328e1a0d58e8e6de2d9620fcf,113,Không có dự án con,
da124a6ebf93e6e67e7a4eba3471eb1b,167fa6376d8b50d729684cef15d18554,06bda73ef887c95030754eea9f31a757,Không có dự án con,
232e98777e33e7d1cd972922e814eefb,18a8e7056e0d1db0e1b5ed0dbde650f6,130,Piano Bật CID (Soothing),
49f33294609c2251883396e605d4f539,18bcead7882c8ee8f47b2ddccbe3a619,f28c2527595bf6c93218c361b3ccc261,Guitar - MKT2 | Stress Relief,
6c0297275930721ab550b05dc00819fc,18d7106874e970707bba634b6ae5ef5e,1f1db3eca737b937922a73185376a376,Deep House - AI | Disco House,
4c4a8e05e1e83f428ea5a93fb4ada68c,1acc12566618ff56f6e3b9c3e09b493b,399512b3e9e70d983aa07c79916df713,Không có dự án con,
4bbd871ef2261dcc54bd712126b7e59c,1b50cf421a1ed3031284bb460816c2ef,358bcb552d568349e45403961251ce55,Sóng âm - HG | Thiền,
d9362f31d1b50c876f35c55856bce61e,1d147437408423ed8f9494f9cdb2c029,c54d87433d070ad964ed101762470855,Không có dự án con,
eb14ff7e1f0820721aaf05f173499faf,1d1abc30bf1dbde1b045322af14e7240,f6282883638392bcbdd763c1a4290951,Lofi - MKT1 | Aesthetic,
86e0822c84e63f563919104d143b9e20,1d6f877a2b91f2a86df12c122410260d,86f65b42f95073395d4368f94d83490d,Pop Cover - 1 - 2 | Pop cover,
a9a0104430f5febde87882dfead21d7c,1db574643d1933efbbc9a92dc423cebe,2d3d5bd85389756065711bc42206c5a9,Piano bật CID | Hàn Nhật sáng,
996862a861f39e444531a0eb923c4daa,1e13636bb795c2a11272f77d147c9770,112,Lounge Jazz,
6760a114fbcb9199fd697988c882712d,1e708a1ee331dae3e9f3b148f43b93f0,130,Piano Soothing,
