dim_subproject_stock_sk,sub_project_id,sub_project_name
d92fd9d77b232dac816e640ff3f8674d,0230e769-b84e-4ae9-ac8f-f6f6855f7417,Sóng âm - Ngủ
f4cd7c056074725f65dc42ce702bfbaa,0db5ffcb-be20-4446-b2f1-716ff40d6bde,Whitenoise - Mưa
9ab1434df260c1f2b30dbb9e789deb39,0de8779a-fefc-4b5a-a4a8-d1deb53bf061,Deephouse - Tropical
0648b52ab697f1c52819b85271a9d0db,1003a059-daf5-4c2b-86c4-44f4c0b79a15,Deephouse - Cover
f28384726e4d25e17b3f5d789c973a9e,19975fd6-a9f5-48c2-a436-89ac9c11b291,Bossa Nova Jazz
93bf9db6d5069b7779bb2cd77958de98,2487a628-7330-4db1-9edd-d50d8f2bb023,Sóng âm - Ngủ
a6316dd4ab02d8145badd9a4a5388dde,31385771-d884-4598-98c8-bd606fc0fcbf,Sóng âm - Thiền
8b4e97d7b0121f24e669cb205bf53285,4c0db56b-52e0-41d2-a408-2cde16aba73f,Kids Song
1b3c4728aad07083b602915542c8be4c,601b1e47-7b84-46a0-9c6e-b64f4d2d72ee,Sóng âm - Thiền
1340964c9f0637a5e54e4a8ac229bf67,6547b7c7-8941-4e52-915d-ec0e2244eba3,Deep House Cover - 2023
996766bcbafe19932ec14e49cebd969d,68c81803-bbd7-4192-850f-70d84db57b56,Relax - Không gian tập trung
0174bf19d2addc01d15c717c86790fc4,6b19cee3-40f2-41d0-a972-8df0ca1f1d78,Sóng âm - Nhạc cụ
c20032b059ac688ad0e6ba9b3eda2fa0,759f10e0-afb6-42bc-b485-79095b281b83,White Noise - FM-HN
80858672d309851d7628200211adeb01,8b10a246-4766-4661-8bfa-8756dcb1e131,Piano - Độc quyền
eff8a205c47ca822dfc8dda2b3bd01fd,8e345ef3-4934-44d2-a070-cec589aa4125,Relax - Study with me
895aa7dcb099cd6a49be520cabe87e32,91e0ae4d-0921-4243-8905-6278b90d7126,Whitenoise - Lửa
655056317b4932ef7c9b32cab6077ffc,995e34e4-ed3f-449a-84b5-da60e9f4fc83,Relax - Deep focus
2e9e4e01d6299f862faf949fafd24944,b0de7a2a-3356-4a1a-ab64-1f7f063a1122,Relax - Không gian thư giãn
9eae53ba6c2ad0b26ee53d62904d2b85,b40a184d-b747-4378-941f-0031da6cfd6f,Relax - Không gian thư giãn
90de3eb301d36b065d811a9504a1ab48,b9b02cb4-fa1f-41d5-b516-f4c045b86759,Deep House Cover - 2025
87def895220f9bef17d5ce502282a664,bab1b7c3-7883-4dbf-9c91-7e8541ac8190,Whitenoise - Lửa
cda0a83d6121f322ab7d089688475b51,c057a18a-ea9b-44ff-b152-7ae99fb05723,Smooth Jazz
7a5e3930eb97a502328ac39daca1a0e7,d0e3eeae-20a9-4302-a3ed-8ca0ee468548,Whitenoise - Mưa
1ea8c90c9d1bdb0e376444145bac7c24,d0f15796-9c82-4177-9ed7-36d41b4ef5df,Deep House Deep Disco
c12f183451c1aabddd3925a1a757146a,d16964b8-84f7-4927-b6d8-967ae0a4125f,Relax - Không gian tập trung
a80245caf152a5fd6aae6583cd87a675,d2e63a0f-4865-44b0-ab2c-1a5f685259a9,Piano - Kho chung
52c3ef4fbd979910d327f2abc8232587,db242539-b14a-46f0-ac48-e5add13fd9f7,White Noise - FM-HCM
bad54358e8039f99fcf02aed1fec85b9,dd4bf39a-03d9-4c7b-be58-8d0eb4f00acf,Robot 3D VFX
19bb680a49d03c364382993a25396659,e7ef3e57-57d3-4283-9469-caff77d87719,Relax - Study with me
a5787b9a381bfd25c4df5208784913d9,f0391f87-fa8f-4d16-a50b-88ef7cefc57a,Relax - Deep focus
4f3f9336922e42d13fb91ddceb553065,f47a633f-653b-49f6-b189-d445d46fd303,Tropical House 2025
0a2220178f16280077e07fa4fe3545d4,fcfa3bdb-aad7-4fa3-866a-33f350d42e86,Dance Pop
