fact_khsx_detail_sk,production_plan_detail_id,production_plan_id,production_manager,ar_manager,status
140f6969d5213fd0ece03148e62e461e,159,7,32,37,approved
53fde96fcc4b4ce72d7739202324cd49,522,9,33,45,draft
9c3b1830513cc3b8fc4b76635d32e692,1113,12,32,37,draft
0efe32849d230d7f53049ddc4a4b0c60,885,10,33,47,approved
b56a18e0eacdf51aa2a5306b0f533204,911,10,32,39,approved
3cec07e9ba5f5bb252d13f5f431e4bbb,247,9,31,36,draft
e2c0be24560d78c5e599c2a9c9d0bbd2,203,9,31,35,draft
621bf66ddb7c962aa0d22ac97d69b793,248,9,31,36,draft
7eb3c8be3d411e8ebfab08eba5f49632,1263,13,30,35,draft
6c8dba7d0df1c4a79dd07646be9a26c8,1264,13,30,35,draft
0ce2ffd21fc958d9ef0ee9ba5336e357,1265,13,30,35,draft
995665640dc319973d3173a74a03860c,1279,13,32,47,approved
7a674153c63cff1ad7f0e261c369ab2c,1414,19,31,37,draft
f29b38f160f87ae86df31cee1982066f,1312,15,31,42,draft
f4a331b7a22d1b237565d8813a34d8ac,1440,19,31,38,draft
018b59ce1fd616d874afad0f44ba338d,1283,13,30,35,approved
b197ffdef2ddc3308584dce7afa3661b,1441,19,31,38,draft
1415db70fe9ddb119e23e9b2808cde38,1496,19,31,38,draft
432aca3a1e345e339f35a30c8f65edce,318,9,33,38,draft
82c2559140b95ccda9c6ca4a8b981f1e,1189,12,30,44,draft
83f97f4825290be4cb794ec6a234595f,1177,12,30,44,draft
309928d4b100a5d75adff48a9bfc1ddb,1418,19,31,37,draft
6cd67d9b6f0150c77bda2eda01ae484c,735,10,30,38,draft
c8ba76c279269b1c6bc8a07e38e78fa4,1214,12,32,49,draft
35051070e572e47d2c26c241ab88307f,495,9,32,44,draft
2812e5cf6d8f21d69c91dddeefb792a7,1296,12,32,39,draft
90db9da4fc5414ab55a9fe495d555c06,1420,19,31,37,draft
9aa42b31882ec039965f3c4923ce901b,1421,19,31,37,draft
c24cd76e1ce41366a4bbe8a49b02a028,253,9,31,36,draft
c52f1bd66cc19d05628bd8bf27af3ad6,254,9,31,37,draft
f718499c1c8cef6730f9fd03c8125cab,256,9,31,37,draft
d96409bf894217686ba124d7356686c9,257,9,31,37,draft
019d385eb67632a7e958e23f24bd07d7,433,9,32,42,draft
f91e24dfe80012e2a7984afa4480a6d6,1273,13,31,36,draft
e702e51da2c0f5be4dd354bb3e295d37,1274,13,31,36,draft
f7e6c85504ce6e82442c770f7c8606f0,173,7,31,49,approved
b571ecea16a9824023ee1af16897a582,1205,12,32,49,draft
8d3bba7425e7c98c50f52ca1b52d3735,319,9,33,38,draft
5737c6ec2e0716f3d8a7a5c4e0de0d9a,322,9,32,38,draft
bc6dc48b743dc5d013b1abaebd2faed2,323,9,32,38,draft
9cfdf10e8fc047a44b08ed031e1f0ed1,226,9,33,36,draft
f2fc990265c712c49d51a18a32b39f0c,324,9,32,38,draft
bb04af0f7ecaee4aae62035497da1387,1275,13,31,36,draft
fb60d411a5c5b72b2e7d3527cfc84fd0,1276,13,31,36,draft
f90f2aca5c640289d0a29417bcb63a37,290,9,32,37,draft
9c838d2e45b2ad1094d42f4ef36764f6,291,9,32,37,draft
1700002963a49da13542e0726b7bb758,292,9,32,37,draft
53c3bce66e43be4f209556518c2fcb54,293,9,32,37,draft
7fe1f8abaad094e0b5cb1b01d712f708,459,9,33,43,draft
f93882cbd8fc7fb794c1011d63be6fb6,1307,15,31,42,draft
9fd81843ad7f202f26c1a174c7357585,297,9,31,38,draft
26e359e83860db1d11b6acca57d8ea88,298,9,31,38,draft
34ed066df378efacc9b924ec161e7639,301,9,31,38,draft
4f284803bd0966cc24fa8683a34afc6e,1187,12,30,44,draft
a0872cc5b5ca4cc25076f3d868e1bdf8,1308,15,31,42,draft
fae0b27c451c728867a567e8c1bb4e53,666,10,30,3233,draft
b5dc4e5d9b495d0196f61d45b26ef33e,667,10,30,3233,draft
5c04925674920eb58467fb52ce4ef728,669,10,30,3233,draft
53e3a7161e428b65688f14b84d61c610,693,10,31,36,draft
2838023a778dfaecdc212708f721b788,51,7,30,38,approved
89f0fd5c927d466d6ec9a21b9ac34ffa,325,9,32,38,draft
a666587afda6e89aec274a3657558a27,326,9,32,38,draft
b83aac23b9528732c23cc7352950e880,327,9,32,38,draft
beed13602b9b0e6ecb5b568ff5058f07,383,9,33,40,draft
9b8619251a19057cff70779273e95aa6,130,7,30,35,approved
0584ce565c824b7b7f50282d9a19945b,384,9,33,40,draft
8ebda540cbcc4d7336496819a46a1b68,611,9,31,37,draft
76dc611d6ebaafc66cc0879c71b5db5c,128,7,31,37,approved
903ce9225fca3e988c2af215d4e544d3,143,7,30,36,approved
e7b24b112a44fdd9ee93bdf998c6ca0e,360,9,33,39,draft
6855456e2fe46a9d49d3d3af4f57443d,336,9,33,39,draft
357a6fdf7642bf815a88822c447d9dc4,337,9,33,39,draft
819f46e52c25763a55cc642422644317,338,9,33,39,draft
c44e503833b64e9f27197a484f4257c0,1188,12,30,44,draft
242c100dc94f871b6d7215b868a875f8,1284,13,31,36,approved
f79921bbae40a577928b76d2fc3edc2a,688,10,31,36,draft
f09696910bdd874a99cd74c8f05b5c44,1313,15,31,42,draft
5b69b9cb83065d403869739ae7f0995e,501,9,32,44,approved
704afe073992cbe4813cae2f7715336f,886,10,33,47,draft
04ecb1fa28506ccb6f72b12c0245ddbc,595,9,31,40,draft
a113c1ecd3cace2237256f4c712f61b5,1171,12,32,43,draft
36a1694bce9815b7e38a9dad05ad42e0,1172,12,32,43,draft
0a0a0c8aaa00ade50f74a3f0ca981ed7,1173,12,32,43,draft
3473decccb0509fb264818a7512a8b9b,1174,12,32,43,draft
ee8374ec4e4ad797d42350c904d73077,1353,16,30,3298,draft
f76a89f0cb91bc419542ce9fa43902dc,612,9,31,37,draft
26408ffa703a72e8ac0117e74ad46f33,656,9,33,47,approved
ab233b682ec355648e7891e66c54191b,654,9,33,47,draft
a284df1155ec3e67286080500df36a9a,1252,12,30,35,draft
7fa732b517cbed14a48843d74526c11a,925,10,31,37,draft
38db3aed920cf82ab059bfccbd02be6a,246,9,31,36,draft
f340f1b1f65b6df5b5e3f94d95b11daf,241,9,33,36,draft
e4a6222cdb5b34375400904f03d8e6a5,242,9,33,36,draft
7940ab47468396569a906f75ff3f20ef,1306,15,31,42,draft
04025959b191f8f9de3f924f0940515f,339,9,33,39,draft
