fact_po_detail_sk,po_detail_id,po_id,qty_order,repository
766ebcd59621e305170616ba3d3dac32,587,270,1,98
f79921bbae40a577928b76d2fc3edc2a,688,295,7,274
df0aab058ce179e4f7ab135ed4e641a9,1148,499,20,334
b9d487a30398d42ecff55c228ed5652b,1108,479,23,268
471c75ee6643a10934502bdafee198fb,1524,547,1,370
8c00dee24c9878fea090ed070b44f1ab,1525,547,1,370
e60e81c4cbe5171cd654662d9887aec2,1526,547,1,370
979d472a84804b9f647bc185a877a8b5,213,64,66,268
5cce8dede893813f879b873962fb669f,1527,547,1,370
bd4c9ab730f5513206b999ec0d90d1fb,161,47,8,321
109d2dd3608f669ca17920c511c2a41e,1528,547,1,370
0aa1883c6411f7873cb83dacb17b0afc,191,52,55,315
aa486f25175cbdc3854151288a645c19,1529,547,1,370
6cdd60ea0045eb7a6ec44c54d29ed402,184,50,40,318
a1d0c6e83f027327d8461063f4ac58a6,42,16,15,143
182be0c5cdcd5072bb1864cdee4d3d6e,33,12,2,100
faa9afea49ef2ff029a833cccc778fd0,423,194,1,
daca41214b39c5dc66674d09081940f0,588,271,1,98
30bb3825e8f631cc6075c0f87bb4978c,589,272,1,98
c9f95a0a5af052bffce5c89917335f67,1106,476,0,
e58cc5ca94270acaceed13bc82dfedf7,1107,476,0,
cb8acb1dc9821bf74e6ca9068032d623,1530,547,1,370
99adff456950dd9629a5260c4de21858,1531,547,1,370
08040837089cdf46631a10aca5258e16,1532,547,1,370
7504adad8bb96320eb3afdd4df6e1f60,881,383,72,256
35309226eb45ec366ca86a4329a2b7c3,1533,547,1,370
a223c6b3710f85df22e9377d6c4f7553,1367,538,1,172
03924fb32bcc6248036e209a716e3339,6205,1384,1,459
ab233b682ec355648e7891e66c54191b,654,286,1,100
c75b6f114c23a4d7ea11331e7c00e73c,547,258,1,
3d2d8ccb37df977cb6d9da15b76c3f3a,655,287,1,100
26408ffa703a72e8ac0117e74ad46f33,656,287,1,100
24e01830d213d75deb99c22b9cd91ddd,3961,894,20,380
eae27d77ca20db309e056e3d2dcd7d69,205,59,1,
274ad4786c3abca69fa097b85867d9a4,204,58,4,
757b505cfd34c64c85ca5b5690ee5293,201,56,24,
18997733ec258a9fcaf239cc55d53363,427,200,1,
eecca5b6365d9607ee5a9d336962c534,185,50,10,
1c9ac0159c94d8d0cbedc973445af2da,156,46,8,313
1d7f7abc18fcb43975065399b0d1e48e,154,46,16,310
cf63547fadc1aa6e897a62291e0cb124,4889,1066,1,99
b1d10e7bafa4421218a51b1e1f1b0ba2,209,62,18.25,268
045117b0e0a11a242b9765e79cbf113f,180,50,16,310
4c5bde74a8f110656874902f07378009,182,50,16,
a4a042cf4fd6bfb47701cbc8a1653ada,171,48,8,322
1ff8a7b5dc7a7d1f0ed65aaa29c04b1e,172,48,8,323
f7e6c85504ce6e82442c770f7c8606f0,173,48,8,321
0777d5c17d4066b82ab86dff8a46af6f,163,47,16,308
6c4b761a28b734fe93831e3fb400ce87,157,46,16,
47d1e990583c9c67424d369f3414728e,148,45,16,321
7f1de29e6da19d22b51c68001e7e0e54,135,44,32,
42a0e188f5033bc65bf8d78622277c4e,136,44,16,308
7eabe3a1649ffa2b3ff8c02ebfd5659f,206,60,206,268
69adc1e107f7f7d035d7baf04342e1ca,207,61,44.22,268
3988c7f88ebcb58c6ce932b957b6f332,137,44,32,310
3b8a614226a953a8cd9526fca6fe9ba5,215,65,10,274
e369853df766fa44e1ed0ff613f563bd,34,13,10,95
b4288d9c0ec0a1841b3b3728321e7088,657,288,1,100
2f37d10131f2a483a8dd005b3d14b0d9,658,288,1,100
605ff764c617d3cd28dbbdd72be8f9a2,586,259,30,317
0ff8033cf9437c213ee13937b1c4c455,659,289,1,100
e2a2dcc36a08a345332c751b2f2e476c,820,350,1,156
07a96b1f61097ccb54be14d6a47439b0,689,296,50,268
c06d06da9666a219db15cf575aff2824,690,296,7,274
4558dbb6f6f8bb2e16d03b85bde76e2c,821,350,1,156
6ecbdd6ec859d284dc13885a37ce8d81,426,199,1,
eb163727917cbba1eea208541a643e74,211,63,20,252
115f89503138416a242f40fb7d7f338e,223,72,5,274
bcbe3365e6ac95ea2c0343a2395834dd,222,72,25,268
149e9677a5989fd342ae44213df68868,170,47,75,
06409663226af2f3114485aa4e0a23b4,158,46,16,
0e65972dce68dad4d52d063967f0a705,198,55,50,
140f6969d5213fd0ece03148e62e461e,159,46,16,
b73ce398c39f506af761d2277d853a92,160,47,16,
7ef605fc8dba5425d6965fbd4c8fbe1f,150,46,16,
a8f15eda80c50adb0e71943adc8015cf,151,46,8,321
37a749d808e46495a8da1e5352d03cae,152,46,16,307
b3e3e393c77e35a4a3f3cbd1e429b5dc,153,46,16,308
a8baa56554f96369ab93e4f3bb068c22,142,45,16,310
2b24d495052a8ce66358eb576b8912c8,145,45,16,
a5e00132373a7031000fd987a3c9f87b,146,45,16,
8d5e957f297893487bd98fa830fa6413,147,45,16,
ca46c1b9512a7a8315fa3c5a946e8265,214,65,50,268
e165421110ba03099a1c0393373c5b43,233,79,86,262
a5771bce93e200c36f7cd9dfd0e5deaa,38,14,5,134
6c3cf77d52820cd0fe646d38bc2145ca,882,383,7,274
3871bd64012152bfb53fdf04b401193f,622,277,1,100
d67d8ab4f4c10bf22aa353e27879133c,39,14,15,135
a733fa9b25f33689e2adbe72199f0e62,623,277,1,100
