fact_revenue_distro_sk,revenue_amount,revenue_month,platform,isrc,artist,exchange_rate
7a6e1656f16de57a52d03d8e8dca3a0c,0,2025-06,,GBSMU0102827,MujjO,26077.50654814
6eb5abc85bb6875ca88eb359d0d2509c,0,2025-07,,GBSMU0102827,MujjO,26214.74769802
8554935dd011dcf96c03b47f52206df0,0,2025-08,,GBSMU0102827,MujjO,26352.41328298
e7c352b2b0d685590532ed43ceb8ab2a,0,2025-09,,GBSMU0102827,MujjO,26416.10478001
4461081a8426e7db1f04f7718ccadaf0,0,2025-10,,GBSMU0102827,MujjO,26335.54220411
2f670ce424fa80eff0fe8c757575b86d,0,2025-11,,GBSMU0102827,MujjO,26370.83939743
0b76afa1635478b1e2616a1a0b5cf478,0,2025-12,,GBSMU0102827,MujjO,26298.18211444
d31f3eda20a1099a85e02f5e9ec06709,0,2026-01,,GBSMU0102827,MujjO,25989.56279249
16fdee01fd3ba11012d72ca0d808bd3e,0,2026-02,,GBSMU0102827,MujjO,26133.00835467
ee7d43306e4d619fcee5d07f7f93c3af,0,2026-03,,GBSMU0102827,MujjO,26337.23987391
4a336c846dddbff3a41966c9dd044d64,0,2026-04,,GBSMU0102827,MujjO,26355.9938313
b992d6dce0017a5ba8bb76faadda51aa,0,2025-06,,GX38U2253684,Hitkend ChillLab,26077.50654814
f06b992764b1bcf1804096de98d350f1,0,2025-07,,GX38U2253684,Hitkend ChillLab,26214.74769802
80daebea530c018341cfa6bc782363cc,0,2025-08,,GX38U2253684,Hitkend ChillLab,26352.41328298
86d5fab1f3e1952acf8320719fcd9aac,0,2025-09,,GX38U2253684,Hitkend ChillLab,26416.10478001
ebcd61b30bbedfe44d01c216aed82679,0,2025-10,,GX38U2253684,Hitkend ChillLab,26335.54220411
b8dd5d169c8d1049ab63266fa8c817fd,0,2025-11,,GX38U2253684,Hitkend ChillLab,26370.83939743
f4fd4dd31c1f63aeac55d46fd368d1de,0,2025-12,,GX38U2253684,Hitkend ChillLab,26298.18211444
b977396b199753d2601f3404d4a9aaac,0,2026-01,,GX38U2253684,Hitkend ChillLab,25989.56279249
1810c53cc6e1782c58159bbecc83b1ac,0,2026-02,,GX38U2253684,Hitkend ChillLab,26133.00835467
73cb94905e93677fb275e1ad993907d2,0,2026-03,,GX38U2253684,Hitkend ChillLab,26337.23987391
678c4418d7eddd0f8055bdaabd053b68,0,2026-04,,GX38U2253684,Hitkend ChillLab,26355.9938313
519c63a47be4855fa2d8dc1184df17b9,0,2025-06,,GX38U2253685,Hitkend ChillLab,26077.50654814
5e20bd8f1226e0cbac9174ee8c15d17e,0,2025-07,,GX38U2253685,Hitkend ChillLab,26214.74769802
d4934d771c1bf6d15a223dc0cfbe81e1,0,2025-08,,GX38U2253685,Hitkend ChillLab,26352.41328298
13670f783e01c38b16a9bfa7ad0664a8,0,2025-09,,GX38U2253685,Hitkend ChillLab,26416.10478001
0dca411b7f7c115217f6dbfee8519779,0,2025-10,,GX38U2253685,Hitkend ChillLab,26335.54220411
79ff1c8f657ef61522b7a1affd2a991b,0,2025-11,,GX38U2253685,Hitkend ChillLab,26370.83939743
5a516e0420a339c2bd803ad6b9e74125,0,2025-12,,GX38U2253685,Hitkend ChillLab,26298.18211444
dd7e8bfc01f21affc08647b8b8f7fab4,0,2026-01,,GX38U2253685,Hitkend ChillLab,25989.56279249
59e2be3f78d966dfbb807a62ca5ef9b7,0,2026-02,,GX38U2253685,Hitkend ChillLab,26133.00835467
9db5e5ca73bc5fa16c9b4f44aa6d93d8,0,2026-03,,GX38U2253685,Hitkend ChillLab,26337.23987391
7d571b0db8633cddbed168a58c4dcca4,0,2026-04,,GX38U2253685,Hitkend ChillLab,26355.9938313
6997273adfc4b7959a629b9cb9e719e8,0,2025-06,,GX38U2253686,Hitkend ChillLab,26077.50654814
