fact_so_detail_sk,so_detail_id,so_id,repository,song_qty,deadline,expected_score,production_qty,pending_qty
1579779b98ce9edb98dd85606f2c119d,1046,196,395,6,2025-12-31,0.00,6,0
65cc2c8205a05d7379fa3a6386f710e1,1020,187,393,5,2025-12-20,0.00,7,0
ffeed84c7cb1ae7bf4ec4bd78275bb98,1126,218,396,20,,0.00,20,0
2cfd4560539f887a5e420412b370b361,1123,215,412,10,,9.00,10,0
c21002f464c5fc5bee3b98ced83963b8,1125,217,414,10,,0.00,10,0
8b4066554730ddfaa0266346bdc1b202,1090,205,381,20,,0.00,20,0
980ecd059122ce2e50136bda65c25e07,1356,292,370,5,2026-05-23,9.00,5,0
c1e39d912d21c91dce811d6da9929ae8,1271,264,396,10,,9.00,10,0
a4d2f0d23dcc84ce983ff9157f8b7f88,1215,248,396,10,,9.00,10,0
678a1491514b7f1006d605e9161946b1,1127,219,282,19,2026-02-05,0.00,7,12
3948ead63a9f2944218de038d8934305,1216,248,378,10,,9.00,10,0
83adc9225e4deb67d7ce42d58fe5157c,1358,294,370,10,,9.30,10,0
6a61d423d02a1c56250dc23ae7ff12f3,1217,248,430,5,,9.00,5,0
2715518c875999308842e3455eda2fe3,1219,249,339,15,,9.00,15,20
8d3369c4c086f236fabf61d614a32818,1359,295,370,10,2026-06-30,9.30,15,0
3f67fd97162d20e6fe27748b5b372509,1218,249,365,10,,9.00,10,5
3fe78a8acf5fda99de95303940a2420c,1128,219,,30,2026-02-05,0.00,24,6
69a5b5995110b36a9a347898d97a610e,1129,219,334,24,2026-02-05,0.00,15,9
018b59ce1fd616d874afad0f44ba338d,1283,266,416,20,,9.00,20,0
bb04af0f7ecaee4aae62035497da1387,1275,265,339,15,,9.00,15,20
da11e8cd1811acb79ccf0fd62cd58f86,1280,266,380,25,,9.00,0,30
285ab9448d2751ee57ece7f762c39095,1211,247,436,10,2026-03-31,8.50,10,0
c15da1f2b5e5ed6e6837a3802f0d1593,788,176,340,1,2025-11-30,0.00,1,0
e00406144c1e7e35240afed70f34166a,1269,263,,20,2026-03-15,0.00,20,0
c8ba76c279269b1c6bc8a07e38e78fa4,1214,247,437,25,2026-03-31,9.00,25,0
4a213d37242bdcad8e7300e202e7caa4,1130,219,,24,2026-02-05,0.00,4,0
a01610228fe998f515a72dd730294d87,1212,247,421,10,2026-03-31,9.00,10,0
d94e18a8adb4cc0f623f7a83b1ac75b4,1281,266,367,10,,9.00,0,20
242c100dc94f871b6d7215b868a875f8,1284,266,365,20,,9.00,15,5
944bdd9636749a0801c39b6e449dbedc,1285,266,443,10,,9.00,10,0
ab1a4d0dd4d48a2ba1077c4494791306,1278,266,340,10,,9.00,3,7
f7cade80b7cc92b991cf4d2806d6bd78,1210,247,138,10,2026-03-31,9.00,10,0
fe709c654eac84d5239d1a12a4f71877,1131,219,415,1,2026-02-05,0.00,1,0
571e0f7e2d992e738adff8b1bd43a521,1132,219,392,1,2026-02-05,0.00,1,0
33ceb07bf4eeb3da587e268d663aba1a,1213,247,434,20,2026-03-31,8.50,20,0
2cbca44843a864533ec05b321ae1f9d1,1110,208,402,60,,0.00,60,0
