fact_view_stream_distro_sk,stream_count,recorded_date,platform,isrc,artist
75ef9671a77137ba26370b56b23c20ff,9,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,15,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,4,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,4,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,10,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,258,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,468,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,6,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,2144,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,341,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,1,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,56,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,1,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,1,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,1,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,9,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,30,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,9,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,2,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,1,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,209,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,2,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,3,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,13,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,233,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,2,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,3,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,3,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,10,2026-03-31,Spotify,QT2WN2400970,wanderwave
75ef9671a77137ba26370b56b23c20ff,10,2026-03-31,Spotify,QT2WN2400970,wanderwave
