fact_youtube_operation_sk,hg_stock_id,resource_info_id,isrc,cid,net,stock_url,submitted_date,youtube_video_id,channel_id,video_type
09bf786af45c3f547ed6dc5ffa65cb2f,HGFA000130EFEE054B2897CF572350E9F433,10741687-7a5f-4b41-9af0-1e34b802d2ae,,,,,2023-05-08,g8yvQAFeF_Q,,0
79499c70b8e8b9a2ba9b01af9da36010,HGFA0005F36F655B40C6BCCE7E0C6BDC9BE7,22bf9e1f-66e0-4d11-a03d-033740425efe,,,,,2026-06-03,R5SCWtCfdAw,UCmbXoVn5AdSgcFOq-Kh2UNg,1
12aa72d15a920ff9aa3b03834ebc81a3,HGFA000D631157B6452398FC32FC71ACF357,f7b68251-9a86-44ae-946d-bb71819faf95,QT2WN2504111,,,,2025-11-13,ff-pmZVOhl0,UC1vcgieyEWHjULTPeAOHKCA,1
bba089676339ac61127be44177d08a94,HGFA000EE8FF16A64ABD95245E31B6C5EB54,e0c8c901-3a2b-49fc-aa21-e9271923cdfc,QZN882234527,,,,2026-05-26,54zHcxuh0bY,UCVREFSkMcjhu3aZpt-kByZw,3
49220a77ee9ddf7f9a27e7c502c6210d,HGFA00108103C90A4AA8A87D5EFE078548C9,b6f2471a-2f0c-4bf0-b9bd-4e03b9302b25,,,,,2024-06-12,CbaIoH6D8xI,,0
710c15d3b05edba6a96f4ceb6e5ebe81,HGFA001096A2044B4D42BD8B76EFA2087B5F,72c310ee-e923-48a2-8e7c-88e490d0f76d,,,,,2025-03-17,mBc20gsiVy8,UCkfkd_xoW3W9OxenEL0Zm-Q,3
2359f4bbec19e0a8a5c32f0f14350ff3,HGFA0011A91B02C4494296A6256F54FA85F1,b7633652-cdb8-4606-b76f-80d0882b227f,,,,,2023-10-03,AbtSnyp33kA,,0
316ddb2f8e028b9b086a0fef6050e115,HGFA00155DA1C8B84145BB4BA8D1A632CE01,ee041020-365e-491c-9e6b-eb7a51ac7649,UKZGC2501762,,,,2026-05-28,427PBI1grso,UCO6DPUss5C5_sSIayQPJcXw,3
b49234c897f817c502d27ba605eec743,HGFA0015D9C269F64BA285897168647CC9C2,e355943c-6903-4e7b-b390-70015832711e,,,,,2023-11-17,BBxKjCF8Bn0,,0
d4e7184e2cdd8922943842597e5a01ee,HGFA001626104040460680AA201C205EDEE2,6e925cbd-7e70-4c38-89cf-c7013e889682,,,,,2024-08-02,AmausePPiVw,,0
