hg_stock_id,video_id
HGFA19706D150D964363AF1C74ABBED90BC6,0g-yKAo3jVU
HGFAF5207456D4C04D129F4E8850F43A784D,HFYiacd6K-Q
HGFA4006B14614E94DEB9A4C3FA1F392F543,UDiAq6RtIy8
HGFA3258691994BD4DECB36023DC64C31DB6,SDiV8IVHzl0
HGFA8CC32DF8592042739B0951C31F6B1151,-_UelSJjbXM
HGFA09D054C87D7B4435BBC392EC7AF6DB37,Kno4xZoxURg
HGFA39DAF9DC2BE24A09963CC1054E1B04F8,Mwfa0M-Yz4c
HGFAA2CCACB65B264DABBDF428164489FC2C,3sgzf264zJc
HGFAC12D4BB8BF41459A8CA15457DE946598,C8sL2Vo3scU
HGFAA7A3D7CAD41E4BFE9C246CB559DBD453,6_czzovM3Sw
HGFAF1FEF74307C644CDA4185480A2C4B906,3Fmwh8qEI1M
HGFAC7E5EBDCE859486683B03F6395E8501F,3kuAUy10aNI
HGFAD91DA0432E6340EDB1A11C98BB10C976,3GdF39_EiyE
HGFA79636A50422D4D3CAB0A102231A5AB81,8xiARYJ9m8Q
HGFA3258691994BD4DECB36023DC64C31DB6,GUFec6qDwMk
HGFA84355867F7E74256AF1503E238729656,NH0BSLeIhD8
HGFA5A7E0E8994CF4CCD8689A3775F966121,4LtIoeCzabs
HGFA28D94C26C5F544ADAD4644218B96CBD6,3sgzf264zJc
HGFA9CD1D267047A4F999DDA67DEEEB24CC6,04G2DHLuFjs
HGFAFDF4BFC36AF94241BF084CFFEDB6921E,J9qeUaEcdXs
HGFAFE365EC59BD24F1BA30A2A59CDA7B3E6,Hgv7XNob2VE
HGFAF86B892A636E4C9AB94ADBF0D6768BB0,RSAIKy362MY
HGFA35059C4A13C5439F9742A0E65B275ACF,VGbA8fhXRIk
HGFA7DF3D2C643B444C1AF3E805ABB210E57,BJuXi77jQpc
HGFA9CFEF8A442CA49C4BCB07CFC511A692D,K3UfwvAFn84
HGFA8D07AD827CCB4DE38198640E582B7664,0HRfRIy2FLI
HGFABAC2112750EB45839F5DF002C28C6EB2,10_l6wh28rw
HGFA5AD0FE24AA6E4B6785377EC4DBDEF8CE,GQ0Y7ToOrDo
HGFAE872E38B65614C09B6646E63D2A252D8,SVVlyLEguO4
HGFAEFD0C90219714783A1F2E51AD7CAFD97,UU98LOmKopw
HGFA4A5A7D1679E4440E9DAABDCF148727B3,L7CDem9iMZM
HGFACA9F16FC1BE245C787A2EE343D019F79,InRw8soN668
HGFA3831B9554B3148349328853CDE6BE441,6PIpx_ZMEv4
HGFA58528D3B5FE146DA8B4D0ED651D14978,O07D8nZrNy0
HGFA67104C533F4044C59135959D8F8A752E,PZjvARhu2Rc
HGFA93CF2BABF6434FF29A71B0085B6E8230,LDcRZI_jMIM
HGFA6BE8B7024C634D83BC20F960E034631B,RWL_K_yc4Tc
HGFA389BB36E61A44BEE874F5B0474423350,LIJMlLi5ID8
HGFA9CFEF8A442CA49C4BCB07CFC511A692D,Vw32WmOoEAU
HGFAF3D1528B0AE140E996BD9039EE45FB31,6ZwMvN6AvJo
HGFA43F295A4B6FB44E994B2AC9D4E2B5F53,K1UIme1X88c
HGFAD8C6A653696B4A0A83E5E7C8624E932B,-EKAFNRy1T0
HGFA81445C19DBA642F3A66D735234E4386C,HpoWxqj5iYE
HGFA7779E3B19DE34C97A667202BE60E0E69,TD8m3cXqB6w
HGFAD4ADD0A62FD24427A1A1196D5FEDA512,W-HnnXHDXBs
HGFA3AE1FF382562487991403D448D410411,IclF3zX4b10
HGFA6E59E749C5094FE3B71D082AA39E24EA,TGe2vQfsHl8
HGFA52A13F625D0941198E4DDC6F0C23F334,ChR0hadtgvk
HGFAA58A03CF52F74FAF8F37DE16C1AEB156,9MgK0nbU1Js
HGFA7EA85D22CF674E5C8441055BAE052664,N-a3k7BUSHo
HGFAC7E5EBDCE859486683B03F6395E8501F,P_f9JHywqh0
HGFAFEA6D21438B048D69744ABC63C8ADEB1,Ddrglrc-wvY
HGFA95B75DE48C564F9C855A07383266326E,Ta2eJwcsEl4
HGFA9CD1D267047A4F999DDA67DEEEB24CC6,P8n1JivFJ3A
HGFA98296BDBD93143BE90ADF7802F3ED6E7,IRJqm9LwzJc
HGFAC2FDABA7D299494FABB4F93DB008BCA2,0b3eO9ZItkw
HGFAC7DBCD59F63A440AA8405F3902AE0191,BVgE8SRp3gY
HGFA2F6F7049627949E585AFB3F3785525D5,0oLVCFmlyOc
HGFA32A1FF1D578545F88793DB40442C0DE1,0gRh-1-1SQk
HGFA04714260478849C5932ABE6ADAEC767E,UbX2570UNFA
HGFA2AF984BB27F64857B313E1E783D6E9BE,L0TtEYSliho
HGFAC72580228D17449F9F679879C6403900,95lhdb0QVqE
