hg_stock_id,video_id
HGFABDC1B2AA6BAF4BDE92A16C0287594BBE,OJ3z6dUHq-U
HGFA3258691994BD4DECB36023DC64C31DB6,SDiV8IVHzl0
HGFA09D054C87D7B4435BBC392EC7AF6DB37,Kno4xZoxURg
HGFA39DAF9DC2BE24A09963CC1054E1B04F8,Mwfa0M-Yz4c
HGFA14FB6CC1C8D940FF899187E39EF1F81A,X7WV6W2t5z8
HGFAC12D4BB8BF41459A8CA15457DE946598,C8sL2Vo3scU
HGFAA7A3D7CAD41E4BFE9C246CB559DBD453,6_czzovM3Sw
HGFAF1FEF74307C644CDA4185480A2C4B906,3Fmwh8qEI1M
HGFAC7E5EBDCE859486683B03F6395E8501F,3kuAUy10aNI
HGFAD91DA0432E6340EDB1A11C98BB10C976,3GdF39_EiyE
HGFA89D13029CD6244DAAF10634E09A9D226,33NyuHD_Kbk
HGFA79636A50422D4D3CAB0A102231A5AB81,8xiARYJ9m8Q
HGFA3258691994BD4DECB36023DC64C31DB6,GUFec6qDwMk
HGFA84355867F7E74256AF1503E238729656,NH0BSLeIhD8
HGFA5A7E0E8994CF4CCD8689A3775F966121,4LtIoeCzabs
HGFAFDF4BFC36AF94241BF084CFFEDB6921E,J9qeUaEcdXs
HGFAFE365EC59BD24F1BA30A2A59CDA7B3E6,Hgv7XNob2VE
HGFAF86B892A636E4C9AB94ADBF0D6768BB0,RSAIKy362MY
HGFA35059C4A13C5439F9742A0E65B275ACF,VGbA8fhXRIk
HGFA7DF3D2C643B444C1AF3E805ABB210E57,BJuXi77jQpc
HGFA9CFEF8A442CA49C4BCB07CFC511A692D,K3UfwvAFn84
HGFA5AD0FE24AA6E4B6785377EC4DBDEF8CE,GQ0Y7ToOrDo
HGFAE872E38B65614C09B6646E63D2A252D8,SVVlyLEguO4
HGFAEFD0C90219714783A1F2E51AD7CAFD97,UU98LOmKopw
HGFA4A5A7D1679E4440E9DAABDCF148727B3,L7CDem9iMZM
HGFACA9F16FC1BE245C787A2EE343D019F79,InRw8soN668
HGFA3831B9554B3148349328853CDE6BE441,6PIpx_ZMEv4
HGFA58528D3B5FE146DA8B4D0ED651D14978,O07D8nZrNy0
HGFA67104C533F4044C59135959D8F8A752E,PZjvARhu2Rc
HGFA93CF2BABF6434FF29A71B0085B6E8230,LDcRZI_jMIM
HGFA6BE8B7024C634D83BC20F960E034631B,RWL_K_yc4Tc
