isrc,song,label,albumArtist,albumTitle,territoryCode,retailer,genre,distro,revType,Dự án,Dự án con,Kho,Chi phí,Đối chiếu tên bài,Đối chiếu nghệ sĩ,Đối chiếu album,Note,_year,_source_id,_source_sheet,_batch_id,_loaded_at
AUBEC2046279,Again,Helios Records,Acousta,Perfect,RS,TikTok,Acoustic,RouteNote,Distro,Relax,Piano Soothing,"","",✔️,DawRos,Breakthrough,map theo ISRC,"",distro_infomation,List,distro_infomation_20260822_061250,2026-08-22 06:12:52.243066
AUBEC2046280,Breakthrough,Helios Records,Bliss Sound,New Rules,US,TikTok,Pop Cover,RouteNote,Distro,Relax,Piano Soothing,"","",✔️,DawRos,Breakthrough,map theo ISRC,"",distro_infomation,List,distro_infomation_20260822_061250,2026-08-22 06:12:52.243066
AUBEC2046281,Deep Breath,Helios Records,Dee Art,Tonic Note,LR,Spotify,Piano Relaxing,RouteNote,Distro,Relax,Piano Soothing,"","",✔️,DawRos,Breakthrough,map theo ISRC,"",distro_infomation,List,distro_infomation_20260822_061250,2026-08-22 06:12:52.243066
AUBEC2046282,Escape,Helios Records,Helios Relaxing Space,And Me,EG,Spotify,Piano Relaxing,RouteNote,Distro,Relax,Piano Soothing,"","",✔️,DawRos,Breakthrough,map theo ISRC,"",distro_infomation,List,distro_infomation_20260822_061250,2026-08-22 06:12:52.243066
AUBEC2046283,Farewell,Helios Records,aura,October Sky,US,Amazon Music Unlimited,Lofi,RouteNote,Distro,Relax,Piano Soothing,"","",✔️,DawRos,Breakthrough,map theo ISRC,"",distro_infomation,List,distro_infomation_20260822_061250,2026-08-22 06:12:52.243066
AUBEC2046284,Breakthrough,Helios Records,Helios Relaxing Space,Dreamy Apricot,GT,Spotify,Piano Relaxing,RouteNote,Distro,Relax,Piano Soothing,"","",Return,DawRos,Breakthrough,map theo ISRC,"",distro_infomation,List,distro_infomation_20260822_061250,2026-08-22 06:12:52.243066
AUBEC2046285,The Flow,Helios Records,Helios Relaxing Space,December Melody (feat. Le Van Pianist),GY,Spotify,Piano Relaxing,RouteNote,Distro,Relax,Piano Soothing,"","",✔️,DawRos,Breakthrough,map theo ISRC,"",distro_infomation,List,distro_infomation_20260822_061250,2026-08-22 06:12:52.243066
AUBEC2046286,Breakthrough,Helios Records,Acousta,Perfect,BD,TikTok,Acoustic,RouteNote,Distro,Relax,Piano Soothing,"","",Wide Awake,DawRos,Breakthrough,map theo ISRC,"",distro_infomation,List,distro_infomation_20260822_061250,2026-08-22 06:12:52.243066
AUBEC2046288,Will You,Helios Records,M.ARLEN,Ocean Eyes,UA,Spotify,Deep House AI,RouteNote,Distro,Relax,Piano Soothing,"","",✔️,DawRos,Breakthrough,map theo ISRC,"",distro_infomation,List,distro_infomation_20260822_061250,2026-08-22 06:12:52.243066
AUBEC2046540,Breakthrough,Helios Records,Helios Relaxing Space,Apple of my eyes,PH,YouTube RED,Piano Relaxing,RouteNote,Distro,Relax,Piano Soothing,"","",After The Rain,DawRos,Breakthrough,map theo ISRC,"",distro_infomation,List,distro_infomation_20260822_061250,2026-08-22 06:12:52.243066
