id,company_id,parent_id,manager_id,color,master_department_id,create_uid,write_uid,complete_name,parent_path,name,note,active,create_date,write_date,hg_paymenttool_id,hg_assign_sequence_id,hg_repair_sequence_id,hg_return_sequence_id,hg_dispose_sequence_id,hg_code,sequence,_source_id,_source_connection,_batch_id,_loaded_at
180,3,,3314,0,180,2335,2335,Phòng HCNS,180/,"{""en_US"": ""Phòng HCNS"", ""vi_VN"": ""Phòng HCNS""}",,t,2026-01-23 01:49:04.070182,2026-01-23 01:49:04.070182,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
181,2,,,,181,2318,2318,thể,181/,"{""en_US"": ""thể"", ""vi_VN"": ""thể""}",,t,2026-03-17 07:00:02.679598,2026-03-17 07:00:02.679598,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
52,2,39,,,35,6,2318,Red One Media / Phòng MKT3 / Team MKT Thể,35/39/52/,"{""en_US"": ""Team SEO Youtube anh Thể"", ""vi_VN"": ""Team MKT Thể""}",,t,2025-08-18 17:25:19.573697,2025-12-24 07:04:22.195827,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
55,2,41,,,35,6,2318,Red One Media / Phòng MKT Tuấn TP / Team MKT Tuyên,35/41/55/,"{""en_US"": ""Team SEO Youtube anh Tuyên"", ""vi_VN"": ""Team MKT Tuyên""}",,t,2025-08-18 17:25:19.573697,2025-12-24 07:04:36.328866,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
39,2,35,,,35,6,2318,Red One Media / Phòng MKT3,35/39/,"{""en_US"": ""Phòng SEO Youtube anh Luân"", ""vi_VN"": ""Phòng MKT3""}",,t,2025-08-18 17:25:19.573697,2025-12-24 06:59:05.443718,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
179,1,,,0,179,2318,2318,HG Media,179/,"{""en_US"": ""HG Media"", ""vi_VN"": ""HG Media""}",,t,2025-12-24 07:32:54.441106,2025-12-24 07:32:54.441106,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
29,10,,,0,29,6,59,BD,29/,"{""en_US"": ""BD"", ""vi_VN"": ""BD""}",,t,2025-08-17 15:28:25.454909,2025-12-25 09:48:24.166659,,541,542,543,544,T,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
31,,29,,0,29,6,6,BD / Thu Mua Nhạc,29/31/,"{""en_US"": ""Thu Mua Nhạc"", ""vi_VN"": ""Thu Mua Nhạc""}",,t,2025-08-17 15:29:06.214105,2025-08-18 09:58:39.537803,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
26,,21,,0,20,6,6,Sản Xuất Nhạc / Sản Xuất Nhạc HN / Trợ lý trưởng phòng HN,20/21/26/,"{""en_US"": ""Trợ lý trưởng phòng HN"", ""vi_VN"": ""Trợ lý trưởng phòng HN""}",,t,2025-08-17 12:10:42.878851,2025-08-18 09:58:39.537803,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
28,,22,,0,20,6,6,Sản Xuất Nhạc / Sản Xuất Nhạc SG / Trợ lý trưởng phòng SG,20/22/28/,"{""en_US"": ""Trợ lý trưởng phòng SG"", ""vi_VN"": ""Trợ lý trưởng phòng SG""}",,t,2025-08-17 12:10:58.254163,2025-08-18 09:58:39.537803,,,,,,,10,hr_department,odoo_pg,hr_department_20260822_051409,2026-08-22 05:14:10.113198
