id,sequence,expected_employees,no_of_employee,no_of_recruitment,department_id,company_id,contract_type_id,create_uid,write_uid,name,description,requirements,active,create_date,write_date,_source_id,_source_connection,_batch_id,_loaded_at
6,10,1,0,1,,,,6,56,"{""en_US"": ""Leader A&R HN"", ""vi_VN"": ""Leader A&R HN""}",,,t,2025-08-17 11:59:30.280167,2025-09-10 08:38:05.665589,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
72,10,2,1,1,,,,6,4648,"{""en_US"": ""Trưởng Phòng/Ban"", ""vi_VN"": ""Trưởng Phòng/Ban""}",,,t,2025-09-01 16:02:46.994428,2025-11-03 03:35:30.016047,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
106,10,2,1,1,,,,6,6,"{""en_US"": ""Leader - Project Manager"", ""vi_VN"": ""Leader - Project Manager""}",,,t,2025-09-10 16:12:13.928772,2025-09-21 17:37:00.707657,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
216,10,1,1,0,,3,,6,6,"{""en_US"": ""Colorist"", ""vi_VN"": ""Colorist""}",,,t,2025-11-26 08:47:54.819512,2025-11-26 08:47:57.272397,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
97,10,9,8,1,,,,6,2126,"{""en_US"": ""Accountant"", ""vi_VN"": ""Accountant""}",,,t,2025-09-10 16:12:13.928772,2026-08-21 04:49:46.380551,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
86,0,5,4,1,,,,6,6,"{""en_US"": ""Art Designer"", ""vi_VN"": ""Art Designer""}",,,t,2025-09-10 14:11:59.136517,2025-12-05 10:05:20.926396,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
119,10,1,0,1,,,,6,2403,"{""en_US"": ""Trợ lý sản xuất"", ""vi_VN"": ""Trợ lý sản xuất""}",,,t,2025-09-10 16:12:13.928772,2025-09-12 05:18:05.229436,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
90,0,3,2,1,,,,6,6,"{""en_US"": ""Sản xuất"", ""vi_VN"": ""Sản xuất""}",,,t,2025-09-10 14:11:59.136517,2025-09-12 08:15:13.344707,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
92,0,3,2,1,,,,6,2408,"{""en_US"": ""Manager Assistant"", ""vi_VN"": ""Manager Assistant""}",,,t,2025-09-10 14:11:59.136517,2025-12-17 09:28:08.928689,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
212,10,3,3,0,,1,,6,6,"{""en_US"": ""Security"", ""vi_VN"": ""Security""}",,,t,2025-09-21 10:29:14.036043,2025-09-21 10:30:16.116982,hr_job,odoo_pg,hr_job_20260822_051820,2026-08-22 05:18:20.715853
