STT,Tên đối tác,Tên kho trên HG Stock,Link kho,Dự án,Số HĐ,Link HĐ,Ngày ký HĐ,Ngày cần review HĐ,Link kho HG Stock,Team khai thác,Cách tính giá,Kỳ thanh toán,Đơn giá (theo bài hát/kênh/tháng),Thực trả (cho các kho trả tiền 1 lần) (VND),Số tiền thanh toán theo tháng (real-time),Số bài hát (real-time),Số kênh whitelist hiện tại (real-time),DS bài hát (real-time),DS kênh WL (real-time),Chi phí/ tháng - update realtime,Note,_year,_source_id,_source_sheet,_batch_id,_loaded_at
1,Deep Disco,Blink - BD - Deep House (Deep Disco),https://stock-admin.hgmedia.app/admin/resource/details/712d4446-7b15-47b2-be4e-3232321cc86d/video/grid/grid/1/1/folder ,Deep House,03/2025/MUSIC/HG MEDIA - DEEP DISCO MUSIC & MEDIA,"https://drive.google.com/file/d/1ohwn1UiC0wlN7FfPLZ06_UdRwJd8BT3U/view?usp=drive_link 
https://drive.google.com/file/d/1EM8-oxUqv-Yg9Dwy_zI5D2wYA49U2Xbb/view?usp=drive_link 
https://drive.google.com/file/d/16JSBGIVtsjYVwKKJYsEOOeL83Ln8JbPT/view?usp=drive_link  
https://drive.google.com/file/d/1K6yVoeKfrvJr3m5ecfDVWNknPjEeO5H3/view?usp=drive_link",7/3/2025,6/9/2026,https://stock-admin.hgmedia.app/admin/resource/details/d986bbe1-8684-4610-83e1-401c287f5735/video/grid/grid/1/1/folder,"Red One, An Tuệ & Vibe",Theo số kênh được whitelist,2 tháng 1 lần,200$/kênh,"",4.200,565,21,https://docs.google.com/spreadsheets/d/14160tb_UrXT4LzkjYpPyQ_qp6f72jqc-UEWq5Ghu0sA/edit?gid=1225230074#gid=1225230074,https://docs.google.com/spreadsheets/d/14160tb_UrXT4LzkjYpPyQ_qp6f72jqc-UEWq5Ghu0sA/edit?gid=731690257#gid=731690257,4.200,Số lượng kênh thay đổi thường xuyên,"",partners,,partners_20260820_232000,2026-08-20 23:20:01.01133
2,Das Ohr Digital,TECH HOUSE,https://stock-admin.hgmedia.app/admin/resource/details/59ec06ea-efef-4876-a933-11755da29b9d/audio/grid/grid/1/1/folder,Deep House, TH-123-1/HDTM1-HG-DOD/0,"https://drive.google.com/file/d/1P06HzCoB4BeX_wwD4uzLLSmsQJB96HX2/view
https://drive.google.com/file/d/1TAuGYyGAcOwwIXULdDJLoxyCbyQscel7/view
",16/1/2026,15/1/2027,https://stock-admin.hgmedia.app/admin/resource/details/59ec06ea-efef-4876-a933-11755da29b9d/audio/grid/grid/1/1/folder,"Red One, An Tuệ & Vibe",Theo tháng,Hàng tháng,"3 tháng đầu: $150/T 
3 tháng tiếp theo: $200/T 
6 tháng còn lại: $350/T","",200,51,7,https://docs.google.com/spreadsheets/d/14160tb_UrXT4LzkjYpPyQ_qp6f72jqc-UEWq5Ghu0sA/edit?gid=1528397068#gid=1528397068,https://docs.google.com/spreadsheets/d/14160tb_UrXT4LzkjYpPyQ_qp6f72jqc-UEWq5Ghu0sA/edit?gid=923449024#gid=923449024,"3 tháng đầu: $150/T 
3 tháng tiếp theo: $200/T 
6 tháng còn lại: $350/T","","",partners,,partners_20260820_232000,2026-08-20 23:20:01.01133
3,Martynas Laurinavicius Whitesand,Whitesand,https://stock-admin.hgmedia.app/admin/resource/details/641bcdba-8d62-4cf5-93ff-6bf247cd5330/audio/list/grid/1/1/folder,Relax,No: 2023/02/03/MSL,1. Music License Agreement - Whitesand.pdf APPENDIX 01 - MUSIC LICENSE AGREEMENT 01 - Relax - Whitesand (1.2024).pdf MUSIC LICENSE AGREEMENT 01 - Relax - Whitesand (1.2024).pdf APPENDIX 02 - MUSIC LICENSE AGREEMENT 01 - Relax - Whitesand (1.2024).pdf,2/3/2023,Tự động gia hạn sau mỗi 6 tháng,https://stock-admin.hgmedia.app/admin/resource/details/641bcdba-8d62-4cf5-93ff-6bf247cd5330/audio/list/grid/1/1/folder,"Red One, An Tuệ & Vibe, Bình Hào",Theo tháng,Hàng tháng,905$/tháng,"",905,134,28,https://docs.google.com/spreadsheets/d/14160tb_UrXT4LzkjYpPyQ_qp6f72jqc-UEWq5Ghu0sA/edit?gid=1577243891#gid=1577243891,"
https://docs.google.com/spreadsheets/d/14160tb_UrXT4LzkjYpPyQ_qp6f72jqc-UEWq5Ghu0sA/edit?gid=590246888#gid=590246888
",905$/tháng,"","",partners,,partners_20260820_232000,2026-08-20 23:20:01.01133
4,Ardie Son,Chung (MKT3 cũ),https://stock-admin.hgmedia.app/admin/resource/details/0e047303-12d4-412d-8b40-135af9e24a72/audio/list/grid/1/1/folder,Relax,14032024/MUSIC/HG-ARDIE,"[non-exclusive] MUSIC LICENSE AGREEMENT 01 - Relax - Ardie Son (3.2024).pdf
MINUTES OF ACCEPTANCE 01 - Relax - Ardie Son - 14032024.pdf",14/3/2024,Tự động gia hạn sau mỗi 6 tháng,https://stock-admin.hgmedia.app/admin/resource/details/0e047303-12d4-412d-8b40-135af9e24a72/audio/list/grid/1/1/folder,An Tuệ & Vibe,Theo tháng,Hàng tháng,170$/tháng,"",170,28,2,https://docs.google.com/spreadsheets/d/14160tb_UrXT4LzkjYpPyQ_qp6f72jqc-UEWq5Ghu0sA/edit?gid=1758878205#gid=1758878205,https://docs.google.com/spreadsheets/d/14160tb_UrXT4LzkjYpPyQ_qp6f72jqc-UEWq5Ghu0sA/edit?gid=335071725#gid=335071725,170$/tháng,"","",partners,,partners_20260820_232000,2026-08-20 23:20:01.01133
5,PUEBLO VISTA POLYMESA KAI MOUSIKI LP,PVMM,https://stock-admin.hgmedia.app/admin/resource/details/245803b2-dcad-46aa-ade3-737f78f6fee9/audio/list/grid/1/1/folder,Lofi,02042024/MUSIC/HG-PUEBLO,"[non- exclusive] MUSIC LICENSE AGREEMENT 01 - Lofi - Pueblo (32024).pdf
MINUTES OF ACCEPTANCE 01 - Lofi - Pueblo - 02042024.pdf",2/4/2024,2/4/2026,https://stock-admin.hgmedia.app/admin/resource/details/245803b2-dcad-46aa-ade3-737f78f6fee9/audio/list/grid/1/1/folder,Red One,Theo tháng,Hàng tháng,150$/tháng,"",150,71,3,https://docs.google.com/spreadsheets/d/14160tb_UrXT4LzkjYpPyQ_qp6f72jqc-UEWq5Ghu0sA/edit?gid=711891476#gid=711891476,https://docs.google.com/spreadsheets/d/14160tb_UrXT4LzkjYpPyQ_qp6f72jqc-UEWq5Ghu0sA/edit?gid=1406934101#gid=1406934101,150$/tháng,"","",partners,,partners_20260820_232000,2026-08-20 23:20:01.01133
6,Selah Instrumental Music,Thu mua đối tác,https://stock-admin.hgmedia.app/admin/resource/details/0c0cc5bb-c196-4591-a3b2-886cb5e68b5f/audio/list/grid/1/1/folder,Phúc âm, 0908/2023/MUSIC/HG-SELAH INSTRUMENTAL MUSIC,Scan_HĐ Selah Instrumental Music.pdf,9/8/2023,9/8/2026,https://stock-admin.hgmedia.app/admin/resource/details/0c0cc5bb-c196-4591-a3b2-886cb5e68b5f/audio/list/grid/1/1/folder,An Tuệ & Vibe,Theo tháng,Hàng tháng,300$/tháng,"",300,54,"Không list, chỉ cần thông báo cho đối tác trước 24h để whitelist",https://docs.google.com/spreadsheets/d/14160tb_UrXT4LzkjYpPyQ_qp6f72jqc-UEWq5Ghu0sA/edit?gid=711891476#gid=711891476,-,300$/tháng,"","",partners,,partners_20260820_232000,2026-08-20 23:20:01.01133
7,Breath Of Heaven,Thu mua đối tác,https://stock-admin.hgmedia.app/admin/resource/details/0c0cc5bb-c196-4591-a3b2-886cb5e68b5f/audio/list/grid/1/1/folder,Phúc âm,0909/2023/MUSIC/HG-BREATH OF HEAVEN,"Scan_Appen 01_ Breath of heaven.pdf
Scan_Appen 02_ Breath of heaven.pdf
Scan_Appen 03_ Breath of heaven.pdf
Scan_HĐ Breath of heaven.pdf",9/9/2023,9/9/2026,https://stock-admin.hgmedia.app/admin/resource/details/0c0cc5bb-c196-4591-a3b2-886cb5e68b5f/audio/list/grid/1/1/folder,An Tuệ,Theo tháng,2 tháng 1 lần,750$/2 tháng,"",375,72,"Ko giới hạn SL kênh, được transfer cho bên thứ ba",https://docs.google.com/spreadsheets/d/14160tb_UrXT4LzkjYpPyQ_qp6f72jqc-UEWq5Ghu0sA/edit?gid=863319237#gid=863319237,-,750$/2 tháng,"","",partners,,partners_20260820_232000,2026-08-20 23:20:01.01133
8,Sergei Grishuk (Сергей Грищук) Relax Nga,Relax Nga - MKT1,https://stock-admin.hgmedia.app/admin/resource/details/1a632124-2a89-4a31-a3ad-64508f935422/audio/list/grid/1/1/folder,Relax,"","","","","",Red One,"",5 năm,1800$/5 năm,"","","","","","","","","",partners,,partners_20260820_232000,2026-08-20 23:20:01.01133
9,Sergei Grishuk (Сергей Грищук) Relax Nga,Relax Nga - MKT1,https://stock-admin.hgmedia.app/admin/resource/details/1a632124-2a89-4a31-a3ad-64508f935422/audio/list/grid/1/1/folder,Relax,"","","","","",Red One,"",5 năm,348.33$/5 năm,"","","","","","","","","",partners,,partners_20260820_232000,2026-08-20 23:20:01.01133
10,Sergei Grishuk (Сергей Грищук) Relax Nga,Relax Nga - MKT1,https://stock-admin.hgmedia.app/admin/resource/details/1a632124-2a89-4a31-a3ad-64508f935422/audio/list/grid/1/1/folder,Relax,"","","","","","Red One, MKT4","",5 năm,1551.67/5 năm,"","","","","","","","","",partners,,partners_20260820_232000,2026-08-20 23:20:01.01133
11,Sergei Grishuk (Сергей Грищук) Relax Nga,"","",Relax,27022024/MUSIC/HG-SERGEY,[exclusive] MUSIC LICENSE AGREEMENT 01 - Relax - Сергей Грищук (Sergey Grischuk) (2.2024).pdf,04/03/2024,"","","Red One, MKT4","Mua độc quyền, thanh toán 1 lần","",6000$,"78.000.000,00","","","","","","","Mới thanh toán lần 1, ngày trc BD ko báo ttoan nốt lần 2","",partners,,partners_20260820_232000,2026-08-20 23:20:01.01133
12,Oleg Gorbonosov,"",Không có thông tin,Relax,22122023/MUSIC/HG-OLEH,MUSIC LICENSE AGREEMENT 01 - Relax - OLEG (12.2023).pdf,28/12/2023,"","","Red One, An Tuệ & Vibe, An Tuệ, MKT4","Mua độc quyền, thanh toán 1 lần","",450$/bài,"46.800.000,00",1800,4,"","","","","","",partners,,partners_20260820_232000,2026-08-20 23:20:01.01133
13,Melnyk Ihor Olegovich,"",Không có thông tin,Relax,21122023/MUSIC/HG-MELNYK,MUSIC LICENSE AGREEMENT 01 - Relax - Melnyk Ihor Olegovich (12.2023).pdf,25/12/2023,"","",MKT4,"Mua độc quyền, thanh toán 1 lần","",50$/bài,"5.200.000,00",200,4,"","","","","","",partners,,partners_20260820_232000,2026-08-20 23:20:01.01133
14,Tymur Khakimov		,"",Không có thông tin,Relax,18012024/MUSIC/HG-TYMUR,MUSIC LICENSE AGREEMENT 01 - Relax - Tymur Khakimov (1.2024).pdf,23/01/2024,"","",MKT4,"Mua độc quyền, thanh toán 1 lần","",100$/bài,"5.200.000,00",200,2,"","","","","","",partners,,partners_20260820_232000,2026-08-20 23:20:01.01133
15,Palash Sunvaiya,"",Không có thông tin,Relax,24012024/MUSIC/HG-PALASH,[EXCLUSIVE] MUSIC LICENSE AGREEMENT 01 - Relax - Palash Sunvaiya (1.2024).pdf,28/01/2024,"","",MKT4,"Mua độc quyền, thanh toán 1 lần","",60$/bài,"3.120.000,00",120,2,"","","","","","",partners,,partners_20260820_232000,2026-08-20 23:20:01.01133
16,Nikolay Statilko,"",Không có thông tin,Relax,25012024/MUSIC/HG- NIKOLAY,[exclusive] MUSIC LICENSE AGREEMENT 01 - Relax - Nikolay Statilko (1.2024).pdf,01/02/2024,"","",MKT4,"Mua độc quyền, thanh toán 1 lần","",142.5$/bài,"7.410.000,00",285,2,"","","","","","",partners,,partners_20260820_232000,2026-08-20 23:20:01.01133
17,Tymur Khakimov		,"",Không có thông tin,Relax,23022024/MUSIC/HG-TYMUR,[exclusive] MUSIC LICENSE AGREEMENT 02 - Relax - Tymur Khakimov (2.2024).pdf,29/02/2024,"","","An Tuệ & Vibe, MKT4","Mua độc quyền, thanh toán 1 lần","",100$/bài ,"13.000.000,00",500,5,"","","","","","",partners,,partners_20260820_232000,2026-08-20 23:20:01.01133
18,Tymur Khakimov		,"",Không có thông tin,Relax,19042024/MUSIC/HG-TYMUR,[exclusive] MUSIC LICENSE AGREEMENT 03 - Relax - Tymur Khakimov (4.2024).pdf,23/04/2024,"","",MKT4,"Mua độc quyền, thanh toán 1 lần","",100$/bài,"15.600.000,00",600,6,"","","","","","",partners,,partners_20260820_232000,2026-08-20 23:20:01.01133
