Tên đối tác,Dòng nhạc,Team sử dụng,Số bài hát,Đơn vị tiền tệ,CP tháng 1,CP tháng 2,CP tháng 3,CP tháng 4,CP tháng 5,CP tháng 6,CP tháng 7,CP tháng 8,CP tháng 9,CP tháng 10,CP tháng 11,CP tháng 12,Total năm,_year,_source_id,_source_sheet,_batch_id,_loaded_at
Ardie Son,Relax,An Tuệ & Vibe,28,"",4.199.760,4.199.760,4.199.760,4.549.740,4.549.740,0,0,0,0,0,0,0,21.698.760,2026,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Selah Instrumental Music,Phúc Âm,An Tuệ & Vibe,54,"",7.319.760,7.319.760,7.319.760,7.929.740,7.929.740,0,0,0,0,0,0,0,37.818.760,2026,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Breath Of Heaven,Phúc Âm,An Tuệ,72,"",18.119.760,0,18.119.760,0,19.629.740,0,0,0,0,0,0,0,55.869.260,2026,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Road Story Records,Deep House,"Red One, An Tuệ, Vibe, Forest","","",9.804.960,9.804.960,9.804.960,10.622.040,0,0,0,0,0,0,0,0,40.036.920,2026,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Natural Deep (RA music),Deep House,"Red One, An Tuệ, Vibe, Forest","","",8.604.960,8.604.960,8.604.960,9.322.040,0,0,0,0,0,0,0,0,35.136.920,2026,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Pofiqist,Deep House,Forest,"","",57.804.960,57.804.960,57.804.960,62.622.040,0,0,0,0,0,0,0,0,236.036.920,2026,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Day dose of house,Deep House,"Red One, An Tuệ, Vibe, Forest","","",0,16.919.760,0,18.329.740,0,0,0,0,0,0,0,0,35.249.500,2026,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Ardie Son,Relax,An Tuệ & Vibe,28,VND,4.549.740,4.549.740,0,0,0,0,0,4.549.740,4.549.740,4.549.740,4.549.740,4.549.740,31.848.180,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Selah Instrumental Music,Phúc Âm,An Tuệ & Vibe,54,VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Breath Of Heaven,Phúc Âm,An Tuệ,72,VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Road Story Records,Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,10.660.000,10.660.000,10.660.000,10.660.000,10.660.000,11.216.920,11.147.500,10.622.040,10.622.040,10.622.040,10.622.040,10.622.040,128.774.620,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Natural Deep (RA music),Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,9.490.000,9.490.000,9.490.000,9.490.000,9.490.000,9.423.180,9.322.040,9.322.040,9.322.040,9.322.040,9.322.040,9.322.040,112.805.420,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Pofiqist,Deep House,Forest music,"",VND,63.673.480,63.673.480,63.673.480,63.673.480,63.673.480,62.723.180,62.622.040,62.622.040,62.622.040,62.622.040,62.622.040,62.622.040,756.822.820,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Day dose of house,Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,0,18.329.740,0,18.329.740,0,18.329.740,0,18.329.740,0,18.329.740,0,18.329.740,109.978.440,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Different Twins,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, MKT 4","",VND,10.529.740,10.529.740,10.529.740,0,0,0,0,0,0,0,0,0,31.589.220,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Spectrum Recordings,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,15.600.000,15.600.000,15.600.000,15.600.000,15.600.000,15.600.000,15.600.000,15.600.000,0,0,0,0,124.800.000,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Three Dot House,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,11.700.000,11.700.000,11.700.000,11.700.000,11.700.000,11.700.000,11.700.000,11.700.000,0,0,0,0,93.600.000,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Zero claim records,DEEP HOUSE,"","",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Deep strip,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,0,13.129.740,0,13.129.740,0,13.129.740,0,0,0,0,0,0,39.389.220,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Wame record,DEEP HOUSE,"All Team HG, Bình Hào","",VND,9.360.000,0,0,9.360.000,0,0,9.360.000,0,0,9.360.000,0,0,37.440.000,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Lucid Plain,DEEP HOUSE,"","",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Frequency,DEEP HOUSE,"Red One, An Tuệ, Vibe, Bình Hào, MKT 4","",VND,0,15.729.740,0,0,0,0,0,0,0,0,0,0,15.729.740,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Tipsy,DEEP HOUSE,"","",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Mark Music Records,DEEP HOUSE,"","",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Denys Demchuk,Relax chung,MKT 4,"",VND,1.591.720,0,0,0,0,0,0,0,0,0,0,0,1.591.720,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
TunePocket,Relax chung,Red One,"",VND,0,0,0,0,0,0,0,0,0,0,0,4.524.000,4.524.000,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Lopills,Lofi,"","",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
PVMM,Lofi,"","",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Lofi Jazz Records,Lofi,"","",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Street Phonk' Records,Phonk,"","",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Aurorian ' Records,Phonk,"","",VND,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Ardie Son,Relax,An Tuệ & Vibe,28,VND,0,0,0,4.549.740,4.549.740,4.549.740,4.549.740,4.549.740,4.549.740,4.549.740,4.549.740,4.549.740,40.947.660,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Selah Instrumental Music,Phúc Âm,An Tuệ & Vibe,54,"",0,0,0,0,0,0,0,0,0,0,0,0,0,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Breath Of Heaven,Phúc Âm,An Tuệ,72,"",0,0,0,0,0,0,0,0,0,0,0,0,0,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Road Story Records,Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,10.400.000,10.660.000,10.660.000,10.660.000,10.660.000,10.660.000,10.660.000,126.360.000,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
Natural Deep (RA music),Deep House,"Red One, An Tuệ, Vibe, Bình Hào, Forest music","",VND,9.100.000,9.100.000,9.100.000,9.100.000,9.100.000,9.100.000,9.490.000,9.490.000,9.490.000,9.490.000,9.490.000,9.490.000,111.540.000,2024,purchase_cost,,purchase_cost_20260701_082202,2026-07-01 08:22:02.444688
