id,sequence,product_uom,product_id,order_id,company_id,partner_id,currency_id,product_packaging_id,create_uid,write_uid,state,qty_received_method,display_type,analytic_distribution,name,product_qty,discount,price_unit,price_subtotal,price_total,qty_invoiced,qty_received,qty_received_manual,qty_to_invoice,is_downpayment,date_planned,create_date,write_date,product_uom_qty,price_tax,product_packaging_qty,orderpoint_id,location_final_id,group_id,product_description_variants,propagate_cancel,sale_order_id,sale_line_id,x_project_id,x_genre_id,x_subgenre_id,x_distribution_method_id,x_song_id,x_product_uom,x_ref,x_quality,x_video_type,x_sample_link,x_song_name,x_location,x_color,x_deadline,is_adjustable,x_review_price,x_expected_score,x_duration,x_video_minute,x_confirmed_qty,x_music_plan_detail_id,x_usage_type,hg_maintenance_request_part_id,hg_asset_request_line_id,x_review_link,hg_asset_categ_id,x_adjust_ok,discount_fixed,x_footage_qty,x_cid_release_mode,x_production_type,_source_id,_source_connection,_batch_id,_loaded_at
587,10,1,16,270,8,547,23,,56,68,purchase,manual,,,,1,,5000000,5000000,5500000,0,0,,1,,,2025-10-07 03:55:28.921549,2025-10-09 03:30:39.980142,1,500000,0,,,,,t,,,113,391,98,,117,,,qualified,,,,,,,t,7000000,8,0,0,1,70,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
688,11,1,29,295,3,15210,1,,65,65,purchase,manual,,,Hậu trường,7,0,0,0,0,0,0,0,7,,,2025-10-08 09:10:06.493688,2025-10-08 09:11:14.975196,7,0,0,,,,,t,,,130,441,274,,,video,,,,,,,,2025-10-27,t,0,0,0,0.016666666666666666,7,,,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1148,13,1,725,499,2,15,23,,447,2403,purchase,manual,,,,20,0,2300000,46000000,46000000,0,0,,20,f,2025-11-13 08:25:38,2025-11-13 08:25:37.8923,2025-11-13 08:50:04.868106,20,0,0,,,,,t,,,112,620,334,2,,,https://www.youtube.com/watch?v=MNOpKepBHuE,,video,,,,,2025-11-30,t,0,0,0,0,20,,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1108,10,1,397,479,3,15292,1,,439,155,purchase,manual,,,Phong cảnh - thiên nhiên tại Na-uy,23,0,17,391,391,0,0,0,23,,,2025-11-06 02:06:04.193567,2025-11-14 01:41:18.412788,23,0,0,,,,,t,,,130,441,268,,,minute,4K,,,,,Oslo - Norway,Log,2025-11-10,t,0,0,0.38333333333333336,0,23,,,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1524,10,1,708,547,8,15488,23,,56,36,purchase,manual,,,,1,,1000000,1000000,1000000,0,0,,1,,,2025-11-17 07:17:25.830488,2025-11-17 08:11:23.339086,1,0,0,,,,,t,,,143,665,370,,2469,,,excellent,,,,,,,t,1760000,0,0,0,1,659,1,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1525,10,1,708,547,8,15488,23,,56,36,purchase,manual,,,,1,,1000000,1000000,1000000,0,0,,1,,,2025-11-17 07:17:25.830488,2025-11-17 08:11:23.339086,1,0,0,,,,,t,,,143,665,370,,2468,,,excellent,,,,,,,t,1760000,0,0,0,1,659,1,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1526,10,1,708,547,8,15488,23,,56,36,purchase,manual,,,,1,,1000000,1000000,1000000,0,0,,1,,,2025-11-17 07:17:25.830488,2025-11-17 08:11:23.339086,1,0,0,,,,,t,,,143,665,370,,2467,,,excellent,,,,,,,t,1760000,0,0,0,1,659,1,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
213,11,1,397,64,2,15088,23,,61,1,purchase,manual,,,,66,0,350000,23100000,23100000,0,0,0,66,,,2025-09-22 07:28:58.18279,2025-10-06 10:30:13.551409,66,0,0,,,,,t,,,130,441,268,,,video,4K,,,,,Thụy Sĩ,Màu,2025-09-30,t,0,0,0,0.016666666666666666,66,,,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
1527,10,1,708,547,8,15488,23,,56,36,purchase,manual,,,,1,,1000000,1000000,1000000,0,0,,1,,,2025-11-17 07:17:25.830488,2025-11-17 08:11:23.339086,1,0,0,,,,,t,,,143,665,370,,2466,,,excellent,,,,,,,t,1760000,0,0,0,1,659,1,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
161,11,1,341,47,2,15,23,,2408,1,purchase,manual,,,,8,0,1350000,10800000,10800000,0,0,0,8,,,2025-09-19 04:12:34.05816,2025-10-06 10:30:13.551409,8,0,0,,,,,t,,,112,627,321,,,,https://www.youtube.com/watch?v=KSnceX1nSb4,,video,,,,,2025-06-30,t,0,0,0,0,8,,2,,,,,f,0,,,,purchase_order_line,odoo_pg,purchase_order_line_20260826_014450,2026-08-26 01:44:50.485316
