Mã,Tiêu đề,Nghệ sĩ bài hát,Repository,_source_id,_source_sheet,_batch_id,_loaded_at
"","","<text>
Mỗi nghệ sĩ một dòng",HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
code,title,audioartist,HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFACDA49595193C4D24AB40669199C46740,"Andante favori, WoO 57",Vadim Chaimovich,HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFA58022F3E2AC643A197CD7B01D95EF6F1,Requiem in C Minor: V. Sanctus,"Coro dell'Orchestra da Camera Fiorentina
Orchestra da Camera Fiorentina
Giuseppe Lanzetta",HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFAFFAA1B7ECDAC46CDB38F2DC60548B31D,"Lyric Pieces, Op. 68: No. 5, At the Cradle",Carlo Balzaretti,HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFA4194525CF5724E2B86C02CFADFBCC541,"Madama Butterfly, SC 74, Act II: ""Ora a noi. Sedete qui"" (Sharpless, Cio-Cio-San)","Ricardo Casero
Carmen Solis
Isaac Galán
Orquesta Reino de Aragón",HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFAC5C73CD512534E1C83ADF16C50793130,"Nocturnes, Op. 9: No. 2 in E-Flat Major, Andante",Vadim Chaimovich,HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFA4C6212024D4B425D8E751D9116116FAF,Pelléas and Mélisande: XII. Mort de Mélisande,"Pavel Lyubomudrov
Metamorphose String Orchestra",HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFA988A8EDDCCCA4100BBF81038960B8A14,"Don Giovanni, K. 527: ""Il mio tesoro intanto""","Cosimo Panozzo
Luca Rasca",HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFA79730CFA739E4BEB9ACB390C1ED9753A,"Piano Sonata No. 11 in A Major, K. 331: II. Menuetto - Trio",Michele Nobler,HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFAF18CFD58E84C4A488F6E7F2A5755E4BB,Banana daiquiri,Renata Russo,HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFAF40F6B8F85CF4AB98C2C90F76A4AFA33,Luce dei tuoi occhi,Renata Russo,HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFA1D570FF838FC4B5480C76ADC682739C5,"Children's Corner, L. 113: No. 6, Golliwog's Cake-walk",Giovanni Umberto Battel,HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFA4AF07A39D314430CBE9A29275C206F1B,"Piano Sonata No. 21 in C Major, Op. 53 ""Waldstein"": III. Rondo. Allegretto moderato - Prestissimo",Giovanni Umberto Battel,HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFAD9754170757C49818A7C56EA4F1F9F69,"Requiem, K. 626: Sequentia. Rex Tremendae","Giuseppe Lanzetta
Orchestra da Camera Fiorentina
Harmonia Cantata",HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFA0709295592504E55ACB1BEC18B8F8F1F,"Cello Suite No. 5 in C Minor, BWV 1011: I. Prélude",Massimiliano Martinelli,HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFA8C77B7FC4C8C486A8CCC0BD39A2D1635,"Symphony No. 36 in C Major, K. 425 ""Linz"": II. Andante con moto","Orchestra da Camera Fiorentina
Giuseppe Lanzetta",HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFA99B34294A09B4B079086AFD614DF44AD,"Falstaff: ""L'onore! Ladri!""","Silvano Frontalini
National Moldavian Symphony Orchestra",HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFA18D53D07E43343E2B852A8BF1E8C057B,"Symphonic Etudes, Op. 13, Appendix: Variation II",Giovanni Umberto Battel,HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFAD9AE46FA17494DEEA0EB4093329AE29F,"Ouverture-Suite ""Les Nations, anciens et modernes"", TWV 55:G4: VI. Les vieilles femmes","Orchestra da Camera Fiorentina
Giuseppe Lanzetta",HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFACE9B09B447824697898182752CE79C9C,"From Holberg's Time, Op. 40 ""Suite in Olden Style"": IV. Air. Andante religioso",Vadim Chaimovich,HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFAA45171AFFC064AFDACE2F1A2607AE9A9,"L'Enfant Prodigue, L. 57: No. 1, Prèlude","Carlo Balzaretti
Kuniko Kumagai",HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFAB8B5D96D057C4F44963EE6C680B57D11,Requiem in C Minor: I. Introitus,"Coro dell'Orchestra da Camera Fiorentina
Orchestra da Camera Fiorentina
Giuseppe Lanzetta",HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFAA775561223204A40AC57D246E88A9C3F,"Gnossiennes: No. 3, Lent",Luke Faulkner,HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFA6497293116EE4745B23ABA02E92AC27C,"Madama Butterfly, SC 74, Act I: ""Dovunque al mondo"" (Sharpless, Pinkerton)","Orquesta Reino de Aragón
Ricardo Casero
Vicent Romero
Isaac Galán",HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
HGFA2F807ED73F284A24ACA3443AC32C8330,"Suite in F-sharp minor, HWV 431: II. Largo",Daniela Manusardi,HalidonMusic,purchased_resource,1y8Rb5vnMw9WMYR0XlXTrheS3j7BbCn7h,purchased_resource_20260820_040337,2026-08-20 04:03:39.44123
