ResourceFileId,Trạng thái (DB mới),Có ở DB cũ,ISRC,Tên file,Tiêu đề,Số bản ghi,Dự án,Dự án con,Dự án (ID),Dự án con (ID),Kho,Folder path (DB mới),Folder path (DB cũ),View,Doanh thu,col_16,_year,_source_id,_source_sheet,_batch_id,_loaded_at
HGFA000164B5BE5F4AC291A1C282E61AF42E,Chỉ còn bản đã xoá,x,"",GirlSleepYellow-65-(Gone-For-A-While)_HGFA000164B5BE5F4AC291A1C282E61AF42E.mp3,GirlSleepYellow 65 (Gone For A While),1,"","","","","",Tài nguyên công ty / FOREST MUSIC GROUP / 5. KHO TÀI NGUYÊN CŨ / Piano / Cô gái ngủ / Girl Sleep Yellow,Root / Forest Music / Piano / Cô gái ngủ / Girl Sleep Yellow,#N/A,#N/A,"","",resource_infomation_add,Bản sao của Stock-DB,resource_infomation_add_20260821_101925,2026-08-21 10:19:26.146523
HGFA000D631157B6452398FC32FC71ACF357,Có dữ liệu,"",QT2WN2504111,Ocean Dream (Mastered) (Khôi).mp3,Ocean Dream,1,Deep House,Deep House - 2 - An Tuệ,af13f5cc-6b51-4949-ad6c-1786c27eaa3d,e780d3ee-f4d6-4747-bcb8-1b3ac45cc2ea,Deep House - 2 - An Tuệ | Deep House Đen Trắng,"Tài nguyên công ty / AN TUỆ / NHẠC / DEEP HOUSE / DEEP HOUSE - 2 / Deep House - 2
Deep House Đen Trắng / MKT gen / 2510","",76,$0.77,"","",resource_infomation_add,Bản sao của Stock-DB,resource_infomation_add_20260821_101925,2026-08-21 10:19:26.146523
HGFA000EE8FF16A64ABD95245E31B6C5EB54,Có dữ liệu,"",QZN882234527,Pure_HGFA000EE8FF16A64ABD95245E31B6C5EB54.mp3,Pure,1,Lofi,Không có,"",Không có,Dreamhop,Tài nguyên công ty / HOLDING / NHẠC / LOFI / THU MUA / CHUNG / Dreamhop,"",393.6,$2.67,"","",resource_infomation_add,Bản sao của Stock-DB,resource_infomation_add_20260821_101925,2026-08-21 10:19:26.146523
HGFA00108103C90A4AA8A87D5EFE078548C9,Có dữ liệu,"","",Geometry-(Original-Mix)_HGFA00108103C90A4AA8A87D5EFE078548C9.mp3,Geometry (Original Mix),1,Trance,"","","",Madabeats Records,Tài nguyên công ty / BD / KHO TÀI NGUYÊN CHUNG / ÂM NHẠC / ÂN chung - BD - Tuyết Mai / TRANCE - DỪNG PT / PSYFEATURE / Madabeats Records,"",#N/A,#N/A,"","",resource_infomation_add,Bản sao của Stock-DB,resource_infomation_add_20260821_101925,2026-08-21 10:19:26.146523
HGFA001096A2044B4D42BD8B76EFA2087B5F,Có dữ liệu,"","",Free-(Nando-Fortunato-Remix)_HGFA001096A2044B4D42BD8B76EFA2087B5F.mp3,Free (Nando Fortunato Remix),1,Deep House,"","","",Deep Disco Records,Tài nguyên công ty / VH - QUẢN LÝ / ALL DỰ ÁN - KHO NHẠC DỪNG SỬ DỤNG / DEEP HOUSE / Deep Disco Records / Kho nhạc DDC,"",#N/A,#N/A,"","",resource_infomation_add,Bản sao của Stock-DB,resource_infomation_add_20260821_101925,2026-08-21 10:19:26.146523
HGFA0011A91B02C4494296A6256F54FA85F1,Có dữ liệu,"","",5---Biển-Xanh-Cát-Trắng-Nắng-Vàng_HGFA0011A91B02C4494296A6256F54FA85F1.mp3,5 - Biển Xanh Cát Trắng Nắng Vàng,1,Relax,"","","","",Tài nguyên công ty / VH - QUẢN LÝ / ALL DỰ ÁN - KHO NHẠC DỪNG SỬ DỤNG / EMVN MỞ RỘNG / Piano Relax,"",#N/A,#N/A,"","",resource_infomation_add,Bản sao của Stock-DB,resource_infomation_add_20260821_101925,2026-08-21 10:19:26.146523
HGFA0012C01F3B384681A09B2EFE0D8E9A6D,Không có dữ liệu,"","","","",0,"","","","","","","",#N/A,#N/A,"","",resource_infomation_add,Bản sao của Stock-DB,resource_infomation_add_20260821_101925,2026-08-21 10:19:26.146523
HGFA00155DA1C8B84145BB4BA8D1A632CE01,Có dữ liệu,"",UKZGC2501762,GlobulDub - Window Seat.mp3,Window Seat,1,Lofi,Không có,"",Không có,Dreamhop,Tài nguyên công ty / HOLDING / NHẠC / LOFI / THU MUA / CHUNG / Dreamhop,"",28.2,$0.15,"","",resource_infomation_add,Bản sao của Stock-DB,resource_infomation_add_20260821_101925,2026-08-21 10:19:26.146523
HGFA001626104040460680AA201C205EDEE2,Chỉ còn bản đã xoá,x,"",MoonWater28_HGFA001626104040460680AA201C205EDEE2.mp3,MoonWater28,1,"","","","","",Tài nguyên công ty / FOREST MUSIC GROUP / 5. KHO TÀI NGUYÊN CŨ / Sóng Âm / Trăng Nhà Nước / MoonWater - New,Root / Forest Music / Sóng Âm / Trăng Nhà Nước / MoonWater - New,#N/A,#N/A,"","",resource_infomation_add,Bản sao của Stock-DB,resource_infomation_add_20260821_101925,2026-08-21 10:19:26.146523
HGFA001CF9B43039416F9AAE9B7AA79E0332,Có dữ liệu,"","",Wolfgang-Amadeus-Mozart-Rondo-Alla-Turca_HGFA001CF9B43039416F9AAE9B7AA79E0332.wav,Wolfgang Amadeus Mozart Rondo Alla Turca,1,Classical,"",40885a7b-f9f9-4541-abc8-6fdcda2ba048,40885a7b-f9f9-4541-abc8-6fdcda2ba048,"","Tài nguyên công ty / AN TUỆ / NHẠC / CLASSICAL / Classical
Nhạc cũ / Thu mua nền tảng","",#N/A,#N/A,"","",resource_infomation_add,Bản sao của Stock-DB,resource_infomation_add_20260821_101925,2026-08-21 10:19:26.146523
HGFA001D54A7CA764029B1AB776DB82D7407,Chỉ còn bản đã xoá,x,"",GirlSleepGreen-7---Relaxing-Peaceful-Piano-And-Guitar---Galaxy_HGFA001D54A7CA764029B1AB776DB82D7407.mp3,GirlSleepGreen 7 - Relaxing Peaceful Piano And Guitar - Galaxy,1,"","","","","",Tài nguyên công ty / FOREST MUSIC GROUP / 5. KHO TÀI NGUYÊN CŨ / Piano / Cô gái ngủ / Girl Sleep Green,Root / Forest Music / Piano / Cô gái ngủ / Girl Sleep Green,#N/A,#N/A,"","",resource_infomation_add,Bản sao của Stock-DB,resource_infomation_add_20260821_101925,2026-08-21 10:19:26.146523
HGFA001DD5E8ADF9407C9115BFD7114E61CD,Không có dữ liệu,"","","","",0,"","","","","","","",#N/A,#N/A,"","",resource_infomation_add,Bản sao của Stock-DB,resource_infomation_add_20260821_101925,2026-08-21 10:19:26.146523
