Ưu tiên,Mã Stock,Tên bài,ISRC chốt,ISRC (An),ISRC (Stock cũ),ISRC (Stock mới),Kho (nếu có),Dự án con (nếu có),Chi phí sx,Điểm nghiệm thu,Ngày nghiệm thu,Nghệ sĩ sản xuất,A&R,Dự án chốt,Mã BH,Repository,_source_id,_source_sheet,_batch_id,_loaded_at
"",HGFA0012C01F3B384681A09B2EFE0D8E9A6D,#N/A,"",#N/A,#N/A,#N/A,#N/A,#N/A,"",#N/A,"","","","","",HG_Check_Data_No_Info,resource_performance,Tùng nhập An - Dữ liệu bổ sung,resource_performance_20260806_005606,2026-08-06 00:56:07.047308
"",HGFA001DD5E8ADF9407C9115BFD7114E61CD,#N/A,"",#N/A,#N/A,#N/A,#N/A,#N/A,"",#N/A,"","","","","",HG_Check_Data_No_Info,resource_performance,Tùng nhập An - Dữ liệu bổ sung,resource_performance_20260806_005606,2026-08-06 00:56:07.047308
"",HGFA002EF2B4E56D43F3860ADF5373AB9623,#N/A,"",#N/A,#N/A,#N/A,#N/A,#N/A,"",#N/A,"","","","","",HG_Check_Data_No_Info,resource_performance,Tùng nhập An - Dữ liệu bổ sung,resource_performance_20260806_005606,2026-08-06 00:56:07.047308
"",HGFA0034DDD829874CC091E4C63893BBAE1A,#N/A,"",#N/A,#N/A,#N/A,#N/A,#N/A,"",#N/A,"","","","","",HG_Check_Data_No_Info,resource_performance,Tùng nhập An - Dữ liệu bổ sung,resource_performance_20260806_005606,2026-08-06 00:56:07.047308
"",HGFA004335861E0E468598CC2B327D620797,Closer,QZW9L2349224,#N/A,QZW9L2349224,#N/A,PUEBLO VISTA POLYMESA KAI MOUSIKI LP,#N/A,"",#N/A,"","","",Lofi,"",HG_Check_Data_No_Info,resource_performance,Tùng nhập An - Dữ liệu bổ sung,resource_performance_20260806_005606,2026-08-06 00:56:07.047308
"",HGFA005F6672E50D46FCBE489EC6F2AB2110,Smoke No Good,FRX762132077,#N/A,FRX762132077,#N/A,#N/A,#N/A,"",#N/A,"","","",Deep House,"",HG_Check_Data_No_Info,resource_performance,Tùng nhập An - Dữ liệu bổ sung,resource_performance_20260806_005606,2026-08-06 00:56:07.047308
"",HGFA00632BAF0AB04A0AB72E6DC6C72E5259,#N/A,"",#N/A,#N/A,#N/A,#N/A,#N/A,"",#N/A,"","","","","",HG_Check_Data_No_Info,resource_performance,Tùng nhập An - Dữ liệu bổ sung,resource_performance_20260806_005606,2026-08-06 00:56:07.047308
"",HGFA0063B834AE164AB9B660F597CD1A8D5C,#N/A,"",#N/A,#N/A,#N/A,#N/A,#N/A,"",#N/A,"","","","","",HG_Check_Data_No_Info,resource_performance,Tùng nhập An - Dữ liệu bổ sung,resource_performance_20260806_005606,2026-08-06 00:56:07.047308
"",HGFA006BB7A0261E4418983C850667CB1907,#N/A,"",#N/A,#N/A,#N/A,#N/A,#N/A,"",#N/A,"","","","","",HG_Check_Data_No_Info,resource_performance,Tùng nhập An - Dữ liệu bổ sung,resource_performance_20260806_005606,2026-08-06 00:56:07.047308
"",HGFA00705D228DEC459F805ADD1FC96B987C,#N/A,"",#N/A,#N/A,#N/A,#N/A,#N/A,"",#N/A,"","","","","",HG_Check_Data_No_Info,resource_performance,Tùng nhập An - Dữ liệu bổ sung,resource_performance_20260806_005606,2026-08-06 00:56:07.047308
"",HGFA007485B23A104F51B0BDAD0231A1FDBD,#N/A,"",#N/A,#N/A,#N/A,#N/A,#N/A,"",#N/A,"","","",Relax - Sóng âm,"",HG_Check_Data_No_Info,resource_performance,Tùng nhập An - Dữ liệu bổ sung,resource_performance_20260806_005606,2026-08-06 00:56:07.047308
"",HGFA007FDB0CC2474D319387FA0CFDD1FDE0,#N/A,"",#N/A,#N/A,#N/A,#N/A,#N/A,"",#N/A,"","","","","",HG_Check_Data_No_Info,resource_performance,Tùng nhập An - Dữ liệu bổ sung,resource_performance_20260806_005606,2026-08-06 00:56:07.047308
"",HGFA0081C77FEC85469695B344B5C837F482,blue : in the early afternoon,NULL,#N/A,NULL,#N/A,#N/A,#N/A,"",#N/A,"","","",Lofi,"",HG_Check_Data_No_Info,resource_performance,Tùng nhập An - Dữ liệu bổ sung,resource_performance_20260806_005606,2026-08-06 00:56:07.047308
"",HGFA008F37E3FE044CE986C359704E949A7F,#N/A,"",#N/A,#N/A,#N/A,#N/A,#N/A,"",#N/A,"","","","","",HG_Check_Data_No_Info,resource_performance,Tùng nhập An - Dữ liệu bổ sung,resource_performance_20260806_005606,2026-08-06 00:56:07.047308
"",HGFA009159CA63354179AED8618CF39281C7,Come To The Water,NULL,#N/A,NULL,#N/A,#N/A,#N/A,"",#N/A,"","","",Không xác định,"",HG_Check_Data_No_Info,resource_performance,Tùng nhập An - Dữ liệu bổ sung,resource_performance_20260806_005606,2026-08-06 00:56:07.047308
"",HGFA009B09963DC74C26B9B2290022BEF81D,#N/A,"",#N/A,#N/A,#N/A,#N/A,#N/A,"",#N/A,"","","","","",HG_Check_Data_No_Info,resource_performance,Tùng nhập An - Dữ liệu bổ sung,resource_performance_20260806_005606,2026-08-06 00:56:07.047308
"",HGFA00A60969902142308C50C484FC10944F,#N/A,"",#N/A,#N/A,#N/A,#N/A,#N/A,"",#N/A,"","","","","",HG_Check_Data_No_Info,resource_performance,Tùng nhập An - Dữ liệu bổ sung,resource_performance_20260806_005606,2026-08-06 00:56:07.047308
"",HGFA00A63787729F44029A233DC18D81895D,Cruisin',NULL,#N/A,NULL,#N/A,PUEBLO VISTA POLYMESA KAI MOUSIKI LP,#N/A,"",#N/A,"","","",Lofi,"",HG_Check_Data_No_Info,resource_performance,Tùng nhập An - Dữ liệu bổ sung,resource_performance_20260806_005606,2026-08-06 00:56:07.047308
