reportingPeriod,song,artist,label,isrc,retailer,retailerCurrency,stream,revenue,rpm,_source_id
2026-05-31T17:00:00Z,Deep Universe,"",Deep Universe,"","",USD,0,441,0,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Amazon Prime,USD,1,0,1,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Amazon Prime,USD,2,0,2,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Apple Music,CAD,3,0,3,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Apple Music,EUR,1,0,4,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Apple Music,GBP,4,0,9,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Apple Music,HKD,5,0,4,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Apple Music,HUF,1,0,3,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Apple Music,IDR,7,0,1,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Apple Music,JPY,6,0,3,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Apple Music,MYR,1,0,2,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Apple Music,PHP,15,0,1,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Apple Music,SGD,4,0,6,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Apple Music,TWD,5,0,4,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Apple Music,USD,4,0,2,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Apple Music,USD,3,0,8,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,FLO,USD,1,0,4,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,iTunes Match,USD,1,0,1,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,NetEase Cloud Music,RMB,5,0,0,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,130,0,2,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,31,0,1,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,12,0,3,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,316,1,3,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,1,0,1,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,3,0,3,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,2,0,3,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,172,0,1,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,345,1,2,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,4,0,7,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,27,0,1,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,14,0,1,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,2,0,4,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,103,0,5,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,1,0,4,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,21,0,3,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,58,0,3,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,4,0,6,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,22,0,4,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,1,0,4,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,678,2,3,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,36,0,2,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,27,0,2,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,2939,2,1,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,22,0,3,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,1,0,2,sale
2025-08-31T17:00:00Z,&quot;Fall&quot; Into You,Helios Relaxing Space,Helios Records,GX8LE2356973,Spotify,EUR,5,0,4,sale
