id,order_id,sequence,company_id,currency_id,order_partner_id,salesman_id,product_id,product_uom,linked_line_id,combo_item_id,product_packaging_id,create_uid,write_uid,state,display_type,virtual_id,linked_virtual_id,qty_delivered_method,invoice_status,analytic_distribution,name,product_uom_qty,price_unit,discount,price_subtotal,price_total,price_reduce_taxexcl,price_reduce_taxinc,qty_delivered,qty_invoiced,qty_to_invoice,untaxed_amount_invoiced,untaxed_amount_to_invoice,is_downpayment,is_expense,create_date,write_date,technical_price_unit,price_tax,product_packaging_qty,customer_lead,route_id,warehouse_id,x_project_id,x_genre_id,x_subgenre_id,x_distribution_method_id,x_line_name,x_quality,x_video_type,x_sample_link,x_deadline,x_confirmed_qty,x_qty_in_stock,x_produce_qty,x_purchase_line_id,is_service,project_id,task_id,x_usage_type,x_expected_score,is_adjustable,discount_fixed,x_planned_qty,x_unplan_qty,has_displayed_warning_upsell,remaining_hours,hg_plan_sent_line_id,x_production_type,x_cid_release_mode,_source_id,_source_connection,_batch_id,_loaded_at
1356,292,10,8,23,13,34,708,1,,,,34,34,cancel,,,,timesheet,no,,,5,0,0,0,0,0,0,0,0,0,0,0,f,,2026-05-15 04:47:45.338752,2026-05-15 09:42:43.655915,0,0,0,0,,7,143,665,370,,2605_OH(L_B_O),excellent,,"<div data-oe-version=""1.2""><a href=""https://docs.google.com/spreadsheets/d/1NK_bzMpPEeLWYhkaGxpopEE-BL9wYnoHRQRT4wPDmWM/edit?gid=701199201#gid=701199201"">https://docs.google.com/spreadsheets/d/1NK_bzMpPEeLWYhkaGxpopEE-BL9wYnoHRQRT4wPDmWM/edit?gid=701199201#gid=701199201</a></div>",2026-05-23,5,0,5,,t,,,2,9,t,0,0,5,,0,,,,sale_order_line,odoo_pg,sale_order_line_20260826_014502,2026-08-26 01:45:02.565044
1374,306,10,7,23,9,4155,1308,1,,,,1,1,sale,,,,manual,to invoice,,kho riêng Tinh Tuệ: https://stock-admin.hgmedia.app/admin/resource/details/186063bb-1df9-4c6e-8f19-2b39c2ecb606/audio/grid/grid/1/1/folder ,20,0,0,0,0,0,0,0,0,20,0,0,,,2026-06-05 10:12:05.847322,2026-07-31 07:20:58.474754,0,0,0,0,,9,96,655,474,2,2606_DH2(2_V_O),excellent,,"<div data-oe-version=""1.2""><a href=""https://drive.google.com/file/d/1SzxyvAPrhKGFAPKqZoef_RVBU4X937oA/view?usp=sharing"">https://drive.google.com/file/d/1SzxyvAPrhKGFAPKqZoef_RVBU4X937oA/view?usp=sharing</a></div>",,20,0,20,6144,t,,,2,0,t,0,0,20,,0,,,cid_only,sale_order_line,odoo_pg,sale_order_line_20260826_014502,2026-08-26 01:45:02.565044
1373,306,10,7,23,9,4155,771,1,,,,1,1,sale,,,,timesheet,to invoice,,kho riêng Tinh Tuệ: https://stock-admin.hgmedia.app/admin/resource/details/ca8702f7-7cde-4e36-bbf4-3e83b1746ddd/audio/grid/grid/1/1/folder,20,0,0,0,0,0,0,0,0,20,0,0,,,2026-06-05 10:12:05.847322,2026-07-31 07:20:58.474754,0,0,0,0,,9,96,655,340,2,2606_DH2(2_V_O),excellent,,,,20,0,20,6143,t,,,2,0,t,0,0,20,,0,,,cid_only,sale_order_line,odoo_pg,sale_order_line_20260826_014502,2026-08-26 01:45:02.565044
1375,306,10,7,23,9,4155,1326,1,,,,1,1,sale,,,,manual,to invoice,,kho riêng Tinh Tuệ: https://stock-admin.hgmedia.app/admin/resource/details/6adb706e-38cb-4bed-879f-68ff5cf53c30/audio/grid/grid/1/1/folder,10,0,0,0,0,0,0,0,0,10,0,0,,,2026-06-05 10:12:05.847322,2026-07-31 07:20:58.474754,0,0,0,0,,9,96,655,482,2,2606_DH2(2_V_O),excellent,,"<div data-oe-version=""1.2""><a href=""https://drive.google.com/drive/folders/1j2gh4dKk4aiG_9gYeCyY_hHzvYD4-Mu9"">https://drive.google.com/drive/folders/1j2gh4dKk4aiG_9gYeCyY_hHzvYD4-Mu9</a></div>",,10,0,10,6145,t,,,2,0,t,0,0,10,,0,,,cid_only,sale_order_line,odoo_pg,sale_order_line_20260826_014502,2026-08-26 01:45:02.565044
1378,309,10,7,23,20,4676,1323,1,,,,1,1,sale,,,,manual,to invoice,,,5,0,0,0,0,0,0,0,0,5,0,0,,,2026-06-08 01:57:28.57307,2026-07-31 07:20:58.474754,0,0,0,0,,9,112,718,480,2,2606_J2(F_V_O),excellent,,,2026-06-30,5,0,5,6150,t,,,2,0,t,0,0,5,,0,,,cid_only,sale_order_line,odoo_pg,sale_order_line_20260826_014502,2026-08-26 01:45:02.565044
1127,219,10,9,23,15,2407,807,1,,,,2407,2407,sale,,,,timesheet,to invoice,,,19,0,0,0,0,0,0,0,0,19,0,0,f,,2026-01-17 02:49:20.76111,2026-02-13 06:56:54.740426,0,0,0,0,,11,130,612,282,,2601_B_94,,combo_video,,2026-02-05,19,12,7,,t,,,2,0,t,0,19,-12,,0,,,,sale_order_line,odoo_pg,sale_order_line_20260826_014502,2026-08-26 01:45:02.565044
1379,310,10,7,23,20,4676,1323,1,,,,1,1,sale,,,,manual,to invoice,,,48,0,0,0,0,0,0,0,0,48,0,0,,,2026-06-08 10:10:10.402318,2026-07-31 07:20:58.474754,0,0,0,0,,9,112,718,480,2,2606_J2(F_V_O),excellent,,,2026-06-30,48,0,48,6164,t,,,2,0,t,0,0,48,,0,,,cid_only,sale_order_line,odoo_pg,sale_order_line_20260826_014502,2026-08-26 01:45:02.565044
1424,334,10,8,23,13,56,1126,1,,,,1,1,cancel,,,,manual,no,,Link HG Stock: https://stock-admin.hgmedia.app/admin/resource/details/7d412d27-d9f7-4dc6-b431-d25907c3dbd4/video/grid/grid/1/1/folder,4,0,0,0,0,0,0,0,0,0,0,0,,,2026-07-22 08:52:03.392983,2026-07-31 07:59:33.292972,0,0,0,0,,7,154,719,447,2,2607_NC2(L_B_O),excellent,,"<div data-oe-version=""1.2""><a href=""https://www.youtube.com/watch?v=rmxWd8SZB0k"">https://www.youtube.com/watch?v=rmxWd8SZB0k</a></div>",,4,2,2,7319,t,,,2,9,t,0,0,2,,0,,traditional,release_cid,sale_order_line,odoo_pg,sale_order_line_20260826_014502,2026-08-26 01:45:02.565044
1425,334,10,8,23,13,56,1126,1,,,,1,1,cancel,,,,manual,no,,Link HG Stock: https://stock-admin.hgmedia.app/admin/resource/details/7d412d27-d9f7-4dc6-b431-d25907c3dbd4/video/grid/grid/1/1/folder,6,0,0,0,0,0,0,0,0,0,0,0,,,2026-07-22 08:52:03.392983,2026-07-31 07:59:33.292972,0,0,0,0,,7,154,719,447,2,2607_NC2(L_B_O),excellent,,"<div data-oe-version=""1.2""><a href=""https://www.youtube.com/watch?v=rmxWd8SZB0k"">https://www.youtube.com/watch?v=rmxWd8SZB0k</a></div>",,6,2,4,7320,t,,,2,8.5,t,0,0,4,,0,,traditional,release_cid,sale_order_line,odoo_pg,sale_order_line_20260826_014502,2026-08-26 01:45:02.565044
1128,219,11,9,23,15,2407,335,1,,,,2407,2407,sale,,,,timesheet,to invoice,,,30,0,0,0,0,0,0,0,0,30,0,0,f,,2026-01-17 02:51:53.654166,2026-03-12 07:45:16.263725,0,0,0,0,,11,112,627,,,2601_PC_109,,combo_video,,2026-02-05,30,6,24,,t,,,2,0,t,0,30,-6,,0,,,,sale_order_line,odoo_pg,sale_order_line_20260826_014502,2026-08-26 01:45:02.565044
1129,219,12,9,23,15,2407,725,1,,,,2407,2407,sale,,,,timesheet,to invoice,,,24,0,0,0,0,0,0,0,0,24,0,0,f,,2026-01-17 02:51:53.654166,2026-02-12 08:46:52.898934,0,0,0,0,,11,112,620,334,,2601_KGQCP_102,,video,,2026-02-05,24,9,15,,t,,,2,0,t,0,24,-9,,0,,,,sale_order_line,odoo_pg,sale_order_line_20260826_014502,2026-08-26 01:45:02.565044
