id,process_id,next_approve_line_id,current_approve_line_id,notif_approve_line_id,distribution_method_id,plan_line_id,project_id,genre_id,subgenre_id,ar_id,produce_manager,create_uid,write_uid,sample_link,quality,original_song_name,state,note,expected_date,date_sent,date_approved,create_date,write_date,allocated_qty,price_unit,expected_score,parent_path,user_request_id,sequence,parent_id,usage_type,active,copyright_ok,company_id,partner_id,plan_id,clicked_ok,cancel_ok,adjust_ok,price_total,x_production_type,x_cid_release_mode,_source_id,_source_connection,_batch_id,_loaded_at
4279,,,,,2,2956,154,727,465,3393,3372,440,1,,excellent,,draft,,,,,2026-07-23 05:03:35.167503,2026-07-31 07:59:33.292972,1,0,0,4279/,,4279,,2,t,,8,13,64,f,f,f,0,traditional,release_cid,x_music_plan_detail,odoo_pg,x_music_plan_detail_20260822_051959,2026-08-22 05:20:00.055386
4286,,,,,2,2956,154,727,465,35,3372,440,1,,excellent,,draft,,,,,2026-07-23 05:03:35.167503,2026-07-31 07:59:33.292972,1,0,0,4286/,,4286,,2,t,,8,13,64,f,f,f,0,traditional,release_cid,x_music_plan_detail,odoo_pg,x_music_plan_detail_20260822_051959,2026-08-22 05:20:00.055386
4287,,,,,2,2956,154,727,465,35,3372,440,1,,excellent,,draft,,,,,2026-07-23 05:03:35.167503,2026-07-31 07:59:33.292972,1,0,0,4287/,,4287,,2,t,,8,13,64,f,f,f,0,traditional,release_cid,x_music_plan_detail,odoo_pg,x_music_plan_detail_20260822_051959,2026-08-22 05:20:00.055386
4288,,,,,2,2956,154,727,465,37,3372,440,1,,excellent,,draft,,,,,2026-07-23 05:03:35.167503,2026-07-31 07:59:33.292972,1,0,0,4288/,,4288,,2,t,,8,13,64,f,f,f,0,traditional,release_cid,x_music_plan_detail,odoo_pg,x_music_plan_detail_20260822_051959,2026-08-22 05:20:00.055386
4307,,,,,2,2958,132,779,506,3393,33,440,4722,,excellent,,draft,,2026-08-15,,,2026-08-04 13:22:01.372939,2026-08-05 02:36:19.319082,1,0,0,4528/4307/,,4307,4528,2,f,,8,8,65,f,f,f,0,traditional,cid_only,x_music_plan_detail,odoo_pg,x_music_plan_detail_20260822_051959,2026-08-22 05:20:00.055386
4308,,,,,2,2958,132,779,506,3393,33,440,4722,,excellent,,draft,,2026-08-15,,,2026-08-04 13:22:01.372939,2026-08-05 02:36:19.319082,1,0,0,4528/4308/,,4308,4528,2,f,,8,8,65,f,f,f,0,traditional,cid_only,x_music_plan_detail,odoo_pg,x_music_plan_detail_20260822_051959,2026-08-22 05:20:00.055386
4289,,,,,2,2956,154,727,465,39,3372,440,44,,excellent,,draft,,,,,2026-07-23 05:03:35.167503,2026-08-10 06:57:01.253632,1,1500000,0,4289/,,4289,,2,t,,8,13,64,f,f,f,1500000,traditional,release_cid,x_music_plan_detail,odoo_pg,x_music_plan_detail_20260822_051959,2026-08-22 05:20:00.055386
4280,,,,,2,2957,154,719,447,3393,3372,440,4711,"<div data-oe-version=""1.2""><a href=""https://www.youtube.com/watch?v=rmxWd8SZB0k"">https://www.youtube.com/watch?v=rmxWd8SZB0k</a></div>",excellent,,draft,,,,,2026-07-23 05:03:35.167503,2026-08-12 02:30:39.932216,1,0,0,4552/4280/,,4280,4552,2,f,,8,13,64,f,f,f,0,traditional,release_cid,x_music_plan_detail,odoo_pg,x_music_plan_detail_20260822_051959,2026-08-22 05:20:00.055386
4278,8,,,,2,2956,154,727,465,3298,3372,440,4711,,excellent,,approved,,,2026-08-13 11:47:43,,2026-07-23 05:03:35.167503,2026-08-15 08:02:26.513183,1,3500000,0,4278/,4680,4278,,2,t,,8,13,64,f,f,f,3500000,traditional,release_cid,x_music_plan_detail,odoo_pg,x_music_plan_detail_20260822_051959,2026-08-22 05:20:00.055386
4229,,,,,2,2952,96,655,339,38,3372,440,1,"<div data-oe-version=""1.2""><a href=""https://drive.google.com/drive/folders/1LVGTzNjsNc_MT5wGgjExz5QYrhvDxpwF"">https://drive.google.com/drive/folders/1LVGTzNjsNc_MT5wGgjExz5QYrhvDxpwF</a></div>",excellent,,draft,,,,,2026-07-20 03:34:15.468678,2026-07-31 07:59:33.292972,1,0,0,4274/4229/,,4229,4274,1,f,,8,9,62,f,f,f,0,traditional,cid_only,x_music_plan_detail,odoo_pg,x_music_plan_detail_20260822_051959,2026-08-22 05:20:00.055386
