id,detail_id,partner_id,artist_position_id,create_uid,write_uid,create_date,write_date,price_unit,currency_id,_source_id,_source_connection,_batch_id,_loaded_at
206,298,15446,10,43,43,2025-11-06 04:40:52.368034,2025-11-06 04:40:52.368034,0,23,x_music_plan_detail_price,odoo_pg,,
195,117,591,5,54,54,2025-10-07 07:11:17.404213,2025-10-07 07:11:17.404213,0,23,x_music_plan_detail_price,odoo_pg,,
212,301,15446,10,43,43,2025-11-06 04:41:07.879828,2025-11-06 04:41:07.879828,0,23,x_music_plan_detail_price,odoo_pg,,
197,119,15206,9,55,55,2025-10-07 07:28:02.826276,2025-10-07 07:28:02.826276,0,23,x_music_plan_detail_price,odoo_pg,,
198,120,15206,9,55,55,2025-10-07 07:31:40.577232,2025-10-07 07:31:40.577232,0,23,x_music_plan_detail_price,odoo_pg,,
215,322,534,5,43,43,2025-11-06 04:42:57.78714,2025-11-06 04:42:57.78714,2500000,23,x_music_plan_detail_price,odoo_pg,,
223,596,15450,5,45,45,2025-11-06 04:45:11.116716,2025-11-06 04:45:11.116716,1200000,23,x_music_plan_detail_price,odoo_pg,,
199,123,15206,9,55,55,2025-10-07 07:31:57.593557,2025-10-07 07:31:57.593557,0,23,x_music_plan_detail_price,odoo_pg,,
91,99,715,3,50,46,2025-09-22 08:37:39.746415,2025-11-24 06:43:49.723119,100,1,x_music_plan_detail_price,odoo_pg,,
236,590,659,5,44,44,2025-11-06 04:48:03.029665,2025-11-06 04:48:03.029665,1000000,23,x_music_plan_detail_price,odoo_pg,,
237,295,658,1,43,43,2025-11-06 04:48:19.542388,2025-11-06 04:48:19.542388,3000000,23,x_music_plan_detail_price,odoo_pg,,
238,295,663,4,43,43,2025-11-06 04:48:19.542388,2025-11-06 04:48:19.542388,1700000,23,x_music_plan_detail_price,odoo_pg,,
239,295,659,6,43,43,2025-11-06 04:48:19.542388,2025-11-06 04:48:19.542388,240000,23,x_music_plan_detail_price,odoo_pg,,
240,295,510,2,43,43,2025-11-06 04:48:19.542388,2025-11-06 04:48:19.542388,300000,23,x_music_plan_detail_price,odoo_pg,,
244,588,575,10,44,44,2025-11-06 04:49:50.306413,2025-11-06 04:49:50.306413,0,23,x_music_plan_detail_price,odoo_pg,,
247,597,547,9,45,45,2025-11-06 04:51:15.196807,2025-11-06 04:51:15.196807,5000000,23,x_music_plan_detail_price,odoo_pg,,
248,597,663,4,45,45,2025-11-06 04:51:15.196807,2025-11-06 04:51:15.196807,1700000,23,x_music_plan_detail_price,odoo_pg,,
254,255,15452,10,42,42,2025-11-06 04:52:44.888599,2025-11-06 04:52:44.888599,0,23,x_music_plan_detail_price,odoo_pg,,
261,601,15452,10,42,42,2025-11-06 04:53:42.130545,2025-11-06 04:53:42.130545,0,23,x_music_plan_detail_price,odoo_pg,,
249,597,659,6,45,45,2025-11-06 04:51:15.196807,2025-11-06 04:53:48.677424,240000,23,x_music_plan_detail_price,odoo_pg,,
266,206,15454,10,40,40,2025-11-06 04:55:09.534492,2025-11-06 04:55:09.534492,0,23,x_music_plan_detail_price,odoo_pg,,
271,211,15454,10,40,40,2025-11-06 04:56:18.444855,2025-11-06 04:56:18.444855,0,23,x_music_plan_detail_price,odoo_pg,,
272,212,15454,10,40,40,2025-11-06 04:56:24.805151,2025-11-06 04:56:24.805151,0,23,x_music_plan_detail_price,odoo_pg,,
273,213,490,5,40,40,2025-11-06 04:56:54.814011,2025-11-06 04:56:54.814011,1300000,23,x_music_plan_detail_price,odoo_pg,,
275,215,490,5,40,40,2025-11-06 04:57:51.863321,2025-11-06 04:57:51.863321,1300000,23,x_music_plan_detail_price,odoo_pg,,
277,438,15456,10,48,48,2025-11-06 04:58:32.461098,2025-11-06 05:00:22.306952,0,23,x_music_plan_detail_price,odoo_pg,,
293,453,15456,10,48,48,2025-11-06 05:04:37.793898,2025-11-06 05:04:37.793898,0,23,x_music_plan_detail_price,odoo_pg,,
299,440,15456,10,48,48,2025-11-06 05:06:47.348238,2025-11-06 05:06:47.348238,0,23,x_music_plan_detail_price,odoo_pg,,
300,439,15456,10,48,48,2025-11-06 07:15:07.244726,2025-11-06 07:15:07.244726,0,23,x_music_plan_detail_price,odoo_pg,,
304,461,15456,10,48,48,2025-11-06 07:16:04.181937,2025-11-06 07:16:04.181937,0,23,x_music_plan_detail_price,odoo_pg,,
306,459,15456,10,48,48,2025-11-06 07:16:25.183138,2025-11-06 07:16:25.183138,0,23,x_music_plan_detail_price,odoo_pg,,
309,218,15457,10,41,41,2025-11-06 08:17:01.437857,2025-11-06 08:17:01.437857,0,23,x_music_plan_detail_price,odoo_pg,,
314,223,15457,10,41,41,2025-11-06 08:17:43.689497,2025-11-06 08:17:43.689497,0,23,x_music_plan_detail_price,odoo_pg,,
319,228,15457,10,41,41,2025-11-06 08:18:23.638582,2025-11-06 08:18:23.638582,0,23,x_music_plan_detail_price,odoo_pg,,
324,233,15457,10,41,41,2025-11-06 08:18:53.889322,2025-11-06 08:18:53.889322,0,23,x_music_plan_detail_price,odoo_pg,,
326,235,15457,10,41,41,2025-11-06 08:19:02.423375,2025-11-06 08:19:02.423375,0,23,x_music_plan_detail_price,odoo_pg,,
332,241,15457,10,41,41,2025-11-06 08:19:45.353176,2025-11-06 08:19:45.353176,0,23,x_music_plan_detail_price,odoo_pg,,
338,247,499,5,41,41,2025-11-06 08:21:18.820183,2025-11-06 08:21:18.820183,70,1,x_music_plan_detail_price,odoo_pg,,
340,249,505,5,41,41,2025-11-06 08:21:49.798027,2025-11-06 08:21:49.798027,50,1,x_music_plan_detail_price,odoo_pg,,
341,250,505,5,41,41,2025-11-06 08:22:06.117852,2025-11-06 08:22:06.117852,50,1,x_music_plan_detail_price,odoo_pg,,
342,251,505,5,41,41,2025-11-06 08:22:21.438316,2025-11-06 08:22:21.438316,50,1,x_music_plan_detail_price,odoo_pg,,
344,253,505,5,41,41,2025-11-06 08:22:54.448052,2025-11-06 08:22:54.448052,50,1,x_music_plan_detail_price,odoo_pg,,
345,571,591,5,54,54,2025-11-06 08:24:07.067421,2025-11-06 08:24:07.067421,0,23,x_music_plan_detail_price,odoo_pg,,
346,605,591,5,54,54,2025-11-06 08:24:15.775843,2025-11-06 08:24:15.775843,0,23,x_music_plan_detail_price,odoo_pg,,
347,606,591,5,54,54,2025-11-06 08:24:56.694022,2025-11-06 08:24:56.694022,0,23,x_music_plan_detail_price,odoo_pg,,
353,436,502,5,47,47,2025-11-06 14:31:17.470934,2025-11-06 14:31:17.470934,2500000,23,x_music_plan_detail_price,odoo_pg,,
