id,owner_id,project_id,department_id,produce_manager,product_tmpl_id,create_uid,write_uid,order_type,name,original_code,has_lyrics,permission,genre_code,description,sample_link,note,create_date,write_date,sequence_id,seq,label_user_id,_source_id,_source_connection,_batch_id,_loaded_at
727,33,154,7,,,34,34,music,Neo Classical - Label,NC,instrumental,original,NC(L_B_O),,,,2026-04-21 06:55:06.82364,2026-04-21 06:55:06.82364,,0,,x_product_genre,odoo_pg,,
685,,132,,,,447,2403,video,Chuông Xoay,,,,CX_141,,,,2025-12-10 03:39:46.659325,2025-12-11 04:39:01.855201,515,0,,x_product_genre,odoo_pg,,
670,,91,,,,447,2403,video,Đĩa than (Classical),,,,ĐT(_133,,,,2025-11-07 06:51:06.591001,2025-11-20 03:26:28.40149,507,0,,x_product_genre,odoo_pg,,
671,32,,,,,56,56,,Giáng Sinh Pop Cover - PD - 2 - MKT2,,,,GSPC-P-2-M_134,,,,2025-11-22 07:43:36.553297,2025-11-22 07:43:36.553297,,0,,x_product_genre,odoo_pg,,
686,,130,,,809,447,2403,video,Mirror Lake,,,,ML_142,,,,2025-12-10 08:39:13.161599,2025-12-11 04:39:01.855201,514,0,,x_product_genre,odoo_pg,,
687,,130,,,821,2407,2403,video,Chó,,,,C_143,,,,2025-12-24 07:29:13.838307,2025-12-24 09:38:37.80277,540,0,,x_product_genre,odoo_pg,,
733,3358,130,7,,,34,34,music,Piano - Label,P,instrumental,original,P(L_B_O),,,,2026-05-12 04:16:13.042878,2026-05-12 10:38:13.046334,,0,,x_product_genre,odoo_pg,,
728,,96,,,1299,150,2403,video,Cô gái trên bãi biển,,,,CGTBB_173,,,,2026-04-29 06:39:53.445653,2026-04-29 07:44:48.363143,598,0,,x_product_genre,odoo_pg,,
692,,,,,,2407,2407,video,20,,,,2_152,,,,2025-12-26 02:26:07.161477,2025-12-26 02:26:07.161477,,152,,x_product_genre,odoo_pg,,
688,,130,,,823,2407,2403,video,Zen garden,,,,ZG_144,,,,2025-12-24 10:32:05.22708,2025-12-26 03:08:28.099664,545,0,,x_product_genre,odoo_pg,,
694,30,91,7,,,56,56,music,Classical Live Session - Label,CLS,lyric,public_domain,CLS(L_V_PD),,,,2025-12-26 10:08:02.045501,2025-12-26 10:23:02.738575,,0,,x_product_genre,odoo_pg,,
719,33,154,7,,,34,34,music,Neo Classical - 2 - Label,NC2,instrumental,original,NC2(L_B_O),,,,2026-03-13 04:13:08.864757,2026-03-13 04:16:49.776593,,0,,x_product_genre,odoo_pg,,
698,33,140,7,,,56,56,music,Jazz House - 2 - Label,JH2,instrumental,original,JH2(L_B_O),,,,2026-01-10 01:41:53.513579,2026-01-10 01:41:53.513579,,0,,x_product_genre,odoo_pg,,
701,,,,,,155,155,footage,Mùa xuân,,,,MX_157,,,,2026-01-30 02:39:46.51081,2026-01-31 06:33:03.47871,,0,,x_product_genre,odoo_pg,,
702,,,,,,155,155,footage,Hoa,,,,H_158,,,,2026-01-31 06:33:23.263669,2026-01-31 06:33:23.263669,,0,,x_product_genre,odoo_pg,,
713,,91,,,1109,150,2403,video,Gái xinh chơi piano,,,,GXCP_169,"Chậm, nhẹ nghàng quay mặt, tóc dài, mẫu tây, váy hơi sexy, trong khách sạn hoặc quán cf","<div data-oe-version=""1.2""><a href=""https://www.youtube.com/watch?v=LfhcKnAEgCE"">https://www.youtube.com/watch?v=LfhcKnAEgCE</a></div>",,2026-02-25 08:58:55.149124,2026-02-26 02:04:27.749804,574,0,,x_product_genre,odoo_pg,,
724,,,,,,59,59,footage,Hoa anh đào,,,,HAĐ_172,,,,2026-04-06 08:30:23.25022,2026-04-06 08:30:23.25022,,0,,x_product_genre,odoo_pg,,
732,,,,,,59,59,footage,Hoa tử đằng,,,,HTĐ_177,,,,2026-05-09 06:57:03.151474,2026-05-09 06:57:03.151474,,0,,x_product_genre,odoo_pg,,
693,,,,,,2407,2407,video,Nến và khắn,,,,NVK_153,,,,2025-12-26 02:26:50.019125,2025-12-26 02:26:50.019125,,153,,x_product_genre,odoo_pg,,
647,,143,,,399,2408,6,video,MV Sơn La,,,,MSL_125,,,,2025-09-23 07:35:14.891692,2025-10-28 08:40:56.42122,199,0,,x_product_genre,odoo_pg,,
665,31,143,7,,833,56,56,music,Om Healing - Label,OH,instrumental,original,OH(L_B_O),,,,2025-10-24 05:09:48.193298,2026-01-23 01:52:26.827501,,0,,x_product_genre,odoo_pg,,
645,,139,,,353,2408,447,video,Chill 'n groove,,,,C'G_127,,,,2025-09-19 07:28:24.135525,2025-11-06 08:40:32.126701,201,0,,x_product_genre,odoo_pg,,
700,,,,,,155,155,footage,Mùa thu,,,,MT_155,,,,2026-01-30 02:39:23.440351,2026-01-30 02:39:23.440351,,0,,x_product_genre,odoo_pg,,
706,,,,,,155,155,footage,Thiền,,,,T_162,,,,2026-01-31 06:34:30.295663,2026-01-31 06:34:30.295663,,0,,x_product_genre,odoo_pg,,
714,,91,,,1110,150,2403,video,Gái xinh diễn cùng đàn,,,,GXDCĐ_170,"Diễn theo nhịp độ nhạc, nhạc cụ là violon và cello, ngoại cảnh",,,2026-02-25 09:21:00.837815,2026-02-26 02:04:27.749804,575,0,,x_product_genre,odoo_pg,,
723,33,91,2,,,34,6,music,Classical - 2 - Red One,CL2,instrumental,public_domain,CL2(1_B_PD),,,,2026-04-02 08:17:14.900468,2026-06-03 03:18:34.260955,,0,,x_product_genre,odoo_pg,,
722,33,153,2,,,34,6,music,Sáo Nam Mỹ - Red One,SNM1,instrumental,public_domain,SNM1(1_B_PD),,,,2026-04-02 07:38:40.977166,2026-06-03 03:18:37.48606,,0,,x_product_genre,odoo_pg,,
716,,152,2,,,34,6,music,French Instrumental - 2 - Red One,FI,instrumental,original,FI(1_B_O),,,,2026-02-26 08:48:49.148465,2026-06-03 03:18:40.021991,,0,,x_product_genre,odoo_pg,,
715,,153,2,,,34,6,music,Sáo Nam Mỹ - 2 - Red One,SNM,instrumental,public_domain,SNM(1_B_PD),,,,2026-02-26 08:42:28.999573,2026-06-03 03:18:43.052019,,0,,x_product_genre,odoo_pg,,
697,,112,2,,,441,6,music,Jazz - 2 - Red One,J2,lyric,original,J2(1_V_O),,,,2026-01-09 01:58:27.039805,2026-06-03 03:18:46.311502,,0,,x_product_genre,odoo_pg,,
696,33,127,2,,935,56,6,music,R&B - 2 - Red One,RB2,lyric,original,RB2(1_V_O),,,,2026-01-09 01:40:40.755595,2026-06-03 03:18:49.350638,,0,,x_product_genre,odoo_pg,,
679,31,112,2,,779,56,6,music,Jazz - Red One,J,instrumental,original,J(1_B_O),,,,2025-11-27 06:55:54.827593,2026-06-03 03:18:55.406208,,0,,x_product_genre,odoo_pg,,
678,30,111,2,,780,56,6,music,Indie Pop - 2 - Red One,IP2,lyric,original,IP2(1_V_O),,,,2025-11-27 04:11:05.811032,2026-06-03 03:18:58.53024,,0,,x_product_genre,odoo_pg,,
672,33,150,2,,,56,6,music,Nhạc Trung - 2 - Red One,PTQ2,lyric,original,PTQ2(1_V_O),,,"trước 12/2026 nằm trong dự án Pop Cover - 0, mã gốc POP2",2025-11-22 07:45:00.932472,2026-06-03 03:19:01.755651,,0,,x_product_genre,odoo_pg,,
653,33,141,2,,,56,6,music,Indie/folk - 2 - Red One,IF2,lyric,original,IF2(1_V_O),,,,2025-10-08 10:22:26.58317,2026-06-03 03:19:08.225408,194,0,,x_product_genre,odoo_pg,,
650,33,96,2,,783,56,6,music,Deep House - 2 - Red One,DH2,lyric,original,DH2(1_V_O),,,,2025-10-06 11:19:43.539462,2026-06-03 03:19:11.020509,197,0,,x_product_genre,odoo_pg,,
734,,154,3,,,441,6,music,Neo Classical - 2 - An Tuệ,NC2,instrumental,original,NC2(2_B_O),,,,2026-05-12 07:16:49.053604,2026-06-03 03:20:02.740886,,0,,x_product_genre,odoo_pg,,
726,,124,3,,,441,6,music,Phúc Âm (có lời) Cover - 2 - An Tuệ,PALC2,lyric,top_hit,PALC2(2_V_TH),,,,2026-04-13 07:33:49.143106,2026-06-03 03:20:05.342269,,0,,x_product_genre,odoo_pg,,
725,33,154,3,,,34,6,music,Neo Classical - An Tuệ,NC,instrumental,original,NC(2_B_O),,,,2026-04-08 04:34:34.310422,2026-06-03 03:20:08.041668,,0,,x_product_genre,odoo_pg,,
721,,112,3,,,441,6,music,Jazz - 2 - An Tuệ,J2,instrumental,original,J2(2_B_O),,,,2026-03-30 09:38:53.99407,2026-06-03 03:20:11.497359,,0,,x_product_genre,odoo_pg,,
717,,123,3,,,441,6,music,Phúc Âm (không lời) - 2 - An Tuệ,PA2,instrumental,original,PA2(2_B_O),,,,2026-03-04 09:27:25.325597,2026-06-03 03:20:35.842091,,0,,x_product_genre,odoo_pg,,
695,,94,3,,,56,6,music,Dark Ambience - 2 - An Tuệ,DA2,instrumental,original,DA2(2_B_O),,,,2025-12-29 08:15:50.133428,2026-06-03 03:20:38.547381,,0,,x_product_genre,odoo_pg,,
405,30,123,,,,6,1,music,Phúc âm bật CID,PABC,instrumental,,PABC(C_B_O),,,,2025-08-17 12:30:47.786071,2025-10-10 01:13:50.580926,273,0,,x_product_genre,odoo_pg,,
683,,107,3,,,56,6,music,Giáng Sinh Disco Cover - PD - 2 - An Tuệ,DISX2,lyric,public_domain,DISX2(2_V_PD),,,,2025-12-08 07:39:49.561098,2026-06-03 03:20:41.262441,,0,,x_product_genre,odoo_pg,,
682,,149,3,,788,56,6,music,Deep Chill House - 2 - An Tuệ,DCH2,lyric,original,DCH2(2_V_O),,,,2025-12-04 10:48:49.468035,2026-06-03 03:20:43.899026,,0,,x_product_genre,odoo_pg,,
680,31,112,3,,785,56,6,music,Jazz - An Tuệ,J,instrumental,original,J(2_B_O),,,,2025-12-03 03:05:02.090558,2026-06-03 03:20:46.628206,,0,,x_product_genre,odoo_pg,,
656,33,124,3,,,56,6,music,Phúc Âm (có lời) - 2 - An Tuệ,PAL2,lyric,original,PAL2(2_V_O),,,,2025-10-08 10:28:28.197431,2026-06-03 03:21:11.036637,191,0,,x_product_genre,odoo_pg,,
668,32,144,14,,,56,6,music,Rock Cover - 1 - 2 - FM,RK,lyric,top_hit,RK(F_V_TH),,,,2025-10-30 10:44:26.58932,2026-06-03 03:21:47.288574,,0,,x_product_genre,odoo_pg,,
667,32,126,14,,,56,6,music,Pop - 2 - FM,POP,lyric,original,POP(F_V_O),,,,2025-10-30 10:40:17.434469,2026-06-03 03:21:50.198781,,0,,x_product_genre,odoo_pg,,
664,32,92,14,,,56,6,music,Country - 2 - FM,C,lyric,original,C(F_V_O),,,,2025-10-23 11:07:33.321364,2026-06-03 03:21:53.090069,,0,,x_product_genre,odoo_pg,,
720,,,,,,155,155,footage,Núi,,,,N_171,Núi đá Núi rừng Núi lửa Cao nguyên,,,2026-03-25 04:40:43.682112,2026-06-18 02:53:01.561002,,0,,x_product_genre,odoo_pg,,
699,,,,,,155,155,footage,Biển,,,,B_154,Đại dương Đảo Bãi cát Tàu thuyền,,,2026-01-30 02:32:38.827271,2026-06-18 02:53:29.920382,,0,,x_product_genre,odoo_pg,,
704,,,,,,155,155,footage,Suối,,,,S_160,Suối rừng Suối đá,,,2026-01-31 06:33:57.758553,2026-06-18 02:54:52.559136,,0,,x_product_genre,odoo_pg,,
703,,,,,,155,155,footage,Hoạt động,,,,HĐ_159,Đi bộ Đạp xe Lướt sóng - Có yếu tố con người,,,2026-01-31 06:33:47.796479,2026-06-18 03:00:34.302411,,0,,x_product_genre,odoo_pg,,
731,,,,,,59,155,footage,Thác,,,,T_183,Thác chảy từ núi,,,2026-05-07 06:48:44.38171,2026-06-18 02:55:48.923292,,0,,x_product_genre,odoo_pg,,
648,,,,,400,2408,1,video,MV Concert HCM,,,,MCH_126,,,,2025-09-23 08:20:38.963281,2025-10-10 01:13:50.580926,198,126,,x_product_genre,odoo_pg,,
644,,132,,,332,2408,1,video,Thiền ngồi,,,,TN_121,,,,2025-09-19 02:03:53.509497,2025-10-10 01:13:50.580926,202,121,,x_product_genre,odoo_pg,,
641,,132,,,331,2408,1,video,Cô gái ngủ,,,,CGN_119,,,,2025-09-19 01:56:28.574318,2025-10-10 01:13:50.580926,203,119,,x_product_genre,odoo_pg,,
663,,,,,,6,6,video,Nhảy theo nhạc,,,,NTN_131,,,,2025-10-18 00:04:40.20873,2025-10-18 00:04:40.20873,,0,,x_product_genre,odoo_pg,,
669,,143,,,718,6,447,video,Mỹ Thuật Chuông Xoay,,,,MTCX_139,,,,2025-11-03 06:45:13.41828,2025-12-10 03:39:10.109165,508,0,,x_product_genre,odoo_pg,,
440,33,140,7,,,6,56,music,Jazz House - Label,JH,instrumental,original,JH(L_B_O),,,,2025-08-17 12:30:47.786071,2026-01-13 02:40:12.548808,238,0,,x_product_genre,odoo_pg,,
448,,,,,,6,155,footage,Mùa đông,,,,MĐ_8,,,,2025-08-17 16:00:13.527856,2026-01-30 02:39:12.154675,230,8,,x_product_genre,odoo_pg,,
651,31,126,1,,,56,1,music,Pop Cover - 1 - 2,POP12,lyric,top_hit,POP12(C_V_TH),,,,2025-10-08 10:18:49.189189,2025-10-10 01:13:50.580926,196,0,,x_product_genre,odoo_pg,,
646,,139,,,352,2408,1,video,Performance,,,,P_124,,,,2025-09-19 07:33:11.136461,2025-10-10 01:13:50.580926,200,0,,x_product_genre,odoo_pg,,
631,,,,,,6,1,video,Trà & Sách,,,,T&S_113,,,,2025-09-10 15:29:51.603277,2025-10-10 01:13:50.580926,205,0,,x_product_genre,odoo_pg,,
452,,130,,,323,6,1,video,Nến và khăn,,,,NVK_12,,,,2025-09-10 14:44:54.02161,2025-10-10 01:13:50.580926,226,0,,x_product_genre,odoo_pg,,
451,,,,,,6,1,footage,Các địa danh nổi tiếng trên TG,,,,CĐDNTTT_11,,,,2025-08-17 16:00:13.527856,2025-10-10 01:13:50.580926,227,11,,x_product_genre,odoo_pg,,
450,,,,,,6,1,footage,Các địa danh nổi tiếng ở VN,,,,CĐDNTỞV_10,,,,2025-08-17 16:00:13.527856,2025-10-10 01:13:50.580926,228,10,,x_product_genre,odoo_pg,,
449,,,,,,6,1,footage,Sa mạc,,,,SM_9,,,,2025-08-17 16:00:13.527856,2025-10-10 01:13:50.580926,229,9,,x_product_genre,odoo_pg,,
445,,,,,,6,1,footage,Lửa,,,,L_5,,,,2025-08-17 16:00:13.527856,2025-10-10 01:13:50.580926,233,5,,x_product_genre,odoo_pg,,
444,,,,,,6,1,footage,Mưa,,,,M_4,,,,2025-08-17 16:00:13.527856,2025-10-10 01:13:50.580926,234,4,,x_product_genre,odoo_pg,,
442,,,,,,6,1,footage,Giáng sinh,,,,GS_2,,,,2025-08-17 16:00:13.527856,2025-10-10 01:13:50.580926,236,2,,x_product_genre,odoo_pg,,
