id,project_id,product_genre_id,product_tmpl_id,sequence_id,create_uid,write_uid,order_type,name,subgenre_code,genre_code,description,brief_link,sample_link,note,create_date,write_date,seq,text_code,backstage_ok,temp_sequence_id,_source_id,_source_connection,_batch_id,_loaded_at
489,162,764,1334,621,441,441,music,Pop Cover - 1 - 2 - Red One | Top Hits Cover,POP12(1_V_TH)_A,POP12(1_V_TH),,,,,2026-07-07 08:20:19.96846,2026-07-09 09:32:14.988554,0,A,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
506,132,779,1347,647,150,440,music,Sóng âm - 2 - Red One | Chill Binaural Beats,SA1(1_B_O)_B,SA1(1_B_O),,,,,2026-07-30 10:37:11.611703,2026-08-05 09:48:43.542256,0,B,f,632,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
488,160,747,1332,622,150,440,music,Saxophone Cover - 1 - 2 - Red One | Saxophone Cover - 1,SC12(1_B_TH)_A,SC12(1_B_TH),,,,,2026-07-07 06:44:09.660043,2026-08-04 13:31:21.884637,0,A,f,639,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
391,91,621,804,,447,2407,video,Không gian cổ điển,SWM_103_KGCĐ_154,SWM_103,,,,,2025-12-10 02:52:32.455764,2025-12-25 08:14:30.605321,0,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
375,130,621,,,447,447,video,Phông xanh,SWM_103_PX_147,SWM_103,,,,,2025-11-06 10:40:46.40714,2025-11-06 10:40:46.40714,0,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
486,157,762,1330,620,92,6,music,Baladas Romantic Cover - 1 - 2 | Baladas Romantic -1,BRC12(1_V_TH)_A,BRC12(1_V_TH),,,,,2026-07-06 04:20:38.972219,2026-08-10 05:02:43.985125,0,A,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
498,154,774,1343,650,34,440,music,Neo Classical - SXN | James Quinn,NC3(S_B_O)_A,NC3(S_B_O),,,"<div data-oe-version=""1.2""><a href=""https://www.youtube.com/watch?v=UKbZ4r88z3Q&amp;list=RDUKbZ4r88z3Q&amp;start_radio=1"">https://www.youtube.com/watch?v=UKbZ4r88z3Q&amp;list=RDUKbZ4r88z3Q&amp;start_radio=1</a></div><div><br></div>",,2026-07-17 02:19:44.981829,2026-08-12 06:53:18.949473,0,A,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
394,143,669,812,,2408,2408,video,Có mẫu,MTCX_139_CM_161,MTCX_139,,,,,2025-12-15 04:50:10.937002,2025-12-15 04:52:02.683821,161,,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
494,98,771,1339,623,441,441,music,Deep House Cover - 1 - 2 - An Tuệ | Deep House Cover-1,WDH2(2_V_TH)_A,WDH2(2_V_TH),,,,,2026-07-13 01:51:44.677384,2026-07-13 02:45:59.164035,0,A,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
496,164,770,1340,624,441,441,music,Afro Cover - 1 - 2 - An Tuệ | Afro Cover-1,AFC2(2_V_TH)_A,AFC2(2_V_TH),,,,,2026-07-13 01:52:20.463973,2026-07-13 02:45:59.164035,0,A,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
495,163,772,1341,625,441,441,music,Reggae Cover - 1 - 2 - An Tuệ | Reggae Cover-1,RC2(2_V_TH)_A,RC2(2_V_TH),,,,,2026-07-13 01:52:08.661922,2026-07-13 02:45:59.164035,0,A,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
484,160,747,1328,626,92,34,music,Saxophone Cover - 1 - 2 - Red One | Saxophone cover -1,SC12(1_B_TH)_A,SC12(1_B_TH),,,,,2026-07-06 03:57:14.738699,2026-07-13 09:19:32.219961,0,A,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
275,,,792,373,6,155,footage,BTS - Gimbal,False_B-G_74,,,,,,2025-09-08 02:50:50.276771,2025-12-16 08:03:54.415634,74,,t,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
376,130,621,,,447,447,video,TV,SWM_103_T_149,SWM_103,,,,,2025-11-06 10:41:07.978703,2025-11-06 10:41:07.978703,0,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
335,130,620,414,341,447,1,video,Có mẫu,KGQCP_102_CM_145,KGQCP_102,,,,,2025-09-26 08:21:36.953408,2025-10-10 01:13:50.580926,0,,,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
276,,,321,372,6,155,footage,BTS - Fix,False_B-F_75,,,,,,2025-09-08 02:50:50.276771,2025-12-16 08:03:59.046678,75,,t,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
491,159,766,1338,627,34,34,music,Rock Cover - 1 - 2 - An Tuệ | Rock Cover,RBC(2_V_TH)_A,RBC(2_V_TH),,,"<div data-oe-version=""1.2""><a href=""https://docs.google.com/spreadsheets/d/1o8t4UFOE-83kLWFR9Ip4OEwQQ0o01zaA/edit?usp=drive_web&amp;ouid=112645425941245036701&amp;rtpof=true"">https://docs.google.com/spreadsheets/d/1o8t4UFOE-83kLWFR9Ip4OEwQQ0o01zaA/edit?usp=drive_web&amp;ouid=112645425941245036701&amp;rtpof=true</a></div>",,2026-07-09 03:45:10.574034,2026-07-13 09:19:32.219961,0,A,f,,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
490,161,765,1337,628,34,440,music,Indie Folk Cover - 1 - 2 - An Tuệ | Indie Folk Cover,IFC(2_V_TH)_A,IFC(2_V_TH),,,"<div data-oe-version=""1.2""><br></div>",,2026-07-09 02:29:10.801086,2026-08-04 13:46:52.497721,0,A,f,642,x_product_subgenre,odoo_pg,x_product_subgenre_20260822_052022,2026-08-22 05:20:23.602858
