id,process_id,next_approve_line_id,current_approve_line_id,notif_approve_line_id,create_uid,write_uid,name,project_code,state,has_lyrics,date_start,date_end,note,date_sent,date_approved,create_date,write_date,user_request_id,hg_paymenttool_id,_source_id,_source_connection,_batch_id,_loaded_at
145,,,,,4581,6,Không thuộc dự án,,,,,,,,,2025-11-12 02:57:55.155405,2026-01-15 09:06:34.42724,,43D79E23-80B2-4078-9E2D-ED84E12C1F16,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
144,,,,,6,6,Rock,RK,progress,lyric,2025-10-23,,,,,2025-10-23 10:51:01.094151,2026-01-15 09:06:39.950937,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
150,,,,,447,6,Nhạc Pop Trung Quốc,PTQ,progress,lyric,,,,,,2025-12-09 08:57:43.610145,2026-04-06 10:25:45.961097,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
149,,,,,6,6,Deep Chill House,DCH,progress,,,,,,,2025-12-04 10:46:02.600076,2026-04-06 10:25:50.005171,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
153,,,,,447,6,Sáo Nam Mỹ,SNM,,,,,,,,2026-02-26 02:14:41.940618,2026-04-06 10:31:40.48313,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
152,,,,,447,6,French Instrumental,FI,,instrumental,2026-03-01,,,,,2026-02-09 09:48:18.928485,2026-04-06 10:31:43.134089,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
71,,,,,6,6,Review phim,RP,done,,2024-05-01,,Review phim,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
72,,,,,6,6,Thiền,TH,done,,2023-08-01,,Thiền,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
73,,,,,6,6,Handmade,HM,done,,,,Handmade,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
74,,,,,6,6,Nail,N,done,,,2023-10-01,Nail,,,2025-08-17 10:51:09.832011,2025-08-17 10:51:09.832011,,,x_project,odoo_pg,x_project_20260823_075427,2026-08-23 07:54:28.254659
